Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,39.08,39.24,38.74,39.06,358100,39.06
2014-02-20,38.46,38.90,38.20,38.90,627300,38.90
2014-02-19,39.33,39.35,38.81,38.81,475500,38.81
2014-02-18,39.35,39.40,38.96,39.35,421300,39.35
2014-02-17,39.38,39.77,39.06,39.14,306800,39.14
2014-02-14,39.44,39.85,39.17,39.32,677700,39.32
2014-02-13,38.90,39.45,38.76,39.43,815000,39.43
2014-02-12,39.30,39.30,38.70,38.94,848900,38.94
2014-02-11,38.60,39.30,38.54,39.19,797800,39.19
2014-02-10,38.30,38.63,38.16,38.33,541100,38.33
2014-02-07,37.56,38.27,37.41,38.21,733500,38.21
2014-02-06,36.25,37.39,36.18,37.20,1079900,37.20
2014-02-05,37.46,37.74,35.95,36.03,954800,36.03
2014-02-04,37.76,38.05,37.15,37.56,725000,37.56
2014-02-03,38.51,38.60,38.01,38.04,773400,38.04
2014-01-31,38.14,38.60,38.03,38.44,754200,38.44
2014-01-30,37.81,38.11,37.44,38.01,808800,38.01
2014-01-29,37.63,38.15,37.14,37.81,531500,37.81
2014-01-28,37.01,37.76,36.95,37.49,521800,37.49
2014-01-27,37.85,37.97,36.79,36.81,778000,36.81
2014-01-24,38.60,38.78,37.72,37.80,619300,37.80
2014-01-23,38.58,38.79,38.33,38.60,526200,38.60
2014-01-22,38.24,38.71,38.24,38.56,834600,38.56
2014-01-21,38.46,38.58,38.15,38.23,690400,38.23
2014-01-20,38.10,38.47,38.00,38.32,541100,38.32
2014-01-17,38.48,38.58,38.16,38.20,872500,38.20
2014-01-16,38.28,38.81,38.20,38.35,1367500,38.35
2014-01-15,38.20,38.48,38.00,38.17,1742900,38.17
2014-01-14,37.92,38.13,37.63,38.01,679100,38.01
2014-01-13,37.33,38.13,37.24,37.94,1049900,37.94
2014-01-10,37.33,38.40,36.87,37.24,821000,37.24
2014-01-09,36.06,38.40,35.96,37.28,1105700,37.28
2014-01-08,35.51,36.11,35.40,36.01,981500,36.01
2014-01-07,35.30,35.55,35.01,35.44,1086300,35.44
2014-01-06,34.81,35.42,34.62,35.31,622000,35.31
2014-01-03,34.08,34.60,34.06,34.55,341900,34.55
2014-01-02,34.80,34.94,34.06,34.13,492000,34.13
2014-01-01,34.76,34.76,34.76,34.76,000,34.76
2013-12-31,34.60,34.98,34.60,34.76,133300,34.76
