Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,5.50,5.50,5.39,5.43,2846500,5.43
2014-02-20,5.37,5.48,5.31,5.47,4935200,5.47
2014-02-19,5.47,5.49,5.40,5.43,2703000,5.43
2014-02-18,5.46,5.47,5.39,5.47,3646600,5.47
2014-02-17,5.50,5.50,5.41,5.42,2045500,5.42
2014-02-14,5.41,5.55,5.41,5.47,3721300,5.47
2014-02-13,5.22,5.39,5.13,5.39,3607000,5.39
2014-02-12,5.18,5.25,5.14,5.23,2857000,5.23
2014-02-11,5.14,5.18,5.10,5.16,2787800,5.16
2014-02-10,5.20,5.20,5.05,5.09,1935800,5.09
2014-02-07,5.09,5.17,5.09,5.16,2840400,5.16
2014-02-06,5.00,5.14,4.99,5.07,4649800,5.07
2014-02-05,4.98,5.03,4.88,4.96,3653800,4.96
2014-02-04,4.97,5.03,4.85,4.96,3073200,4.96
2014-02-03,5.09,5.15,4.99,4.99,2601800,4.99
2014-01-31,5.09,5.09,4.95,5.08,5172400,5.08
2014-01-30,4.92,5.10,4.91,5.10,4485900,5.10
2014-01-29,5.00,5.05,4.81,4.90,7599500,4.90
2014-01-28,4.90,4.96,4.87,4.95,3320000,4.95
2014-01-27,4.91,4.94,4.80,4.86,6096300,4.86
2014-01-24,5.22,5.25,4.89,4.90,4938700,4.90
2014-01-23,5.35,5.36,5.18,5.20,3880800,5.20
2014-01-22,5.27,5.36,5.25,5.35,3951500,5.35
2014-01-21,5.17,5.28,5.17,5.24,6288000,5.24
2014-01-20,5.17,5.21,5.15,5.16,5480800,5.16
2014-01-17,5.22,5.23,5.15,5.20,2433900,5.20
2014-01-16,5.27,5.32,5.20,5.23,4079700,5.23
2014-01-15,5.24,5.30,5.18,5.28,4140900,5.28
2014-01-14,5.13,5.25,5.04,5.25,6139700,5.25
2014-01-13,5.16,5.24,5.15,5.17,3600700,5.17
2014-01-10,5.18,5.25,5.11,5.16,4711700,5.16
2014-01-09,5.27,5.36,5.14,5.20,6302200,5.20
2014-01-08,5.19,5.29,5.16,5.27,4392200,5.27
2014-01-07,5.01,5.17,4.97,5.17,9070100,5.17
2014-01-06,4.89,5.02,4.85,4.99,2973100,4.99
2014-01-03,4.86,4.96,4.85,4.92,3187600,4.92
2014-01-02,4.82,4.93,4.81,4.88,4092100,4.88
2014-01-01,4.84,4.84,4.84,4.84,000,4.84
2013-12-31,4.77,4.84,4.76,4.84,1135200,4.84
2013-12-30,4.86,4.86,4.74,4.78,4014000,4.78
2013-12-27,4.82,4.86,4.78,4.83,5065100,4.83
2013-12-26,4.80,4.80,4.80,4.80,000,4.80
2013-12-25,4.80,4.80,4.80,4.80,000,4.80
2013-12-24,4.73,4.82,4.70,4.80,956700,4.80
2013-12-23,4.76,4.76,4.65,4.71,2159900,4.71
2013-12-20,4.68,4.77,4.68,4.74,11124200,4.74
2013-12-19,4.60,4.68,4.59,4.67,5204900,4.67
2013-12-18,4.51,4.56,4.47,4.55,4187100,4.55
2013-12-17,4.51,4.57,4.45,4.46,4682800,4.46
2013-12-16,4.45,4.54,4.45,4.52,2757600,4.52
2013-12-13,4.40,4.49,4.39,4.45,4579400,4.45
2013-12-12,4.41,4.43,4.37,4.40,2345300,4.40
2013-12-11,4.42,4.44,4.30,4.40,10163500,4.40
2013-12-10,4.36,4.46,4.34,4.41,3040800,4.41
2013-12-09,4.26,4.39,4.26,4.38,4741200,4.38
2013-12-06,4.32,4.35,4.23,4.28,4711900,4.28
2013-12-05,4.41,4.43,4.33,4.33,2969200,4.33
2013-12-04,4.41,4.47,4.38,4.41,3165400,4.41
2013-12-03,4.45,4.45,4.35,4.41,4072000,4.41
2013-12-02,4.42,4.48,4.38,4.45,5092000,4.45
2013-11-29,4.45,4.45,4.40,4.42,7106800,4.42
2013-11-28,4.56,4.56,4.42,4.45,6553100,4.45
2013-11-27,4.52,4.56,4.50,4.53,3668500,4.53
2013-11-26,4.45,4.51,4.43,4.47,6159400,4.47
2013-11-25,4.39,4.49,4.39,4.45,6773800,4.45
2013-11-22,4.34,4.41,4.33,4.36,3279800,4.36
2013-11-21,4.23,4.33,4.22,4.33,3414200,4.33
2013-11-20,4.23,4.26,4.20,4.25,3992000,4.25
2013-11-19,4.32,4.35,4.21,4.21,3790800,4.21
2013-11-18,4.36,4.46,4.30,4.32,4466100,4.32
2013-11-15,4.50,4.51,4.32,4.33,4560800,4.33
2013-11-14,4.50,4.54,4.41,4.45,2954600,4.45
2013-11-13,4.53,4.58,4.42,4.44,3731700,4.44
2013-11-12,4.58,4.61,4.52,4.56,3608800,4.56
2013-11-11,4.45,4.63,4.45,4.57,3601800,4.57
2013-11-08,4.23,4.56,4.23,4.53,7801700,4.53
2013-11-07,4.18,4.22,4.10,4.18,3891700,4.18
2013-11-06,4.15,4.24,4.15,4.18,3528800,4.18
2013-11-05,4.17,4.19,4.07,4.12,7977100,4.12
2013-11-04,4.08,4.19,4.05,4.16,6071800,4.16
2013-11-01,4.12,4.19,4.07,4.17,4369500,4.17
2013-10-31,4.09,4.17,4.09,4.10,11874400,4.10
2013-10-30,4.09,4.16,4.08,4.09,8511400,4.09
2013-10-29,4.04,4.11,4.02,4.09,8691800,4.09
2013-10-28,4.11,4.15,4.02,4.05,3936700,4.05
2013-10-25,4.25,4.28,4.09,4.10,8192300,4.10
2013-10-24,4.30,4.33,4.26,4.28,6613500,4.28
2013-10-23,4.22,4.31,4.22,4.29,8974400,4.29
2013-10-22,4.26,4.28,4.15,4.22,4888900,4.22
2013-10-21,4.25,4.36,4.23,4.31,3580600,4.31
2013-10-18,4.18,4.24,4.17,4.24,3982000,4.24
2013-10-17,4.12,4.18,4.09,4.17,2649500,4.17
2013-10-16,4.09,4.15,4.06,4.13,2755200,4.13
2013-10-15,4.06,4.12,4.06,4.11,3978100,4.11
2013-10-14,4.03,4.04,3.98,4.04,3699500,4.04
2013-10-11,4.02,4.06,3.99,4.02,2680100,4.02
2013-10-10,3.89,4.03,3.86,4.00,4369900,4.00
2013-10-09,3.92,3.92,3.83,3.86,5280500,3.86
2013-10-08,3.99,4.00,3.88,3.91,3011400,3.91
2013-10-07,4.02,4.03,3.93,3.98,4103600,3.98
2013-10-04,4.07,4.08,4.03,4.06,8714800,4.06
2013-10-03,4.11,4.18,4.04,4.08,4961400,4.08
2013-10-02,4.11,4.13,4.05,4.13,4690500,4.13
2013-10-01,4.03,4.15,4.03,4.13,4330100,4.13
2013-09-30,3.98,4.05,3.97,4.04,2601700,4.04
2013-09-27,4.04,4.08,3.99,4.03,7090700,4.03
2013-09-26,4.07,4.09,3.99,4.03,2771400,4.03
2013-09-25,3.92,4.07,3.91,4.06,8036200,4.06
2013-09-24,3.90,3.95,3.85,3.94,2595700,3.94
2013-09-23,3.90,3.91,3.86,3.89,1177300,3.89
2013-09-20,3.85,3.92,3.84,3.90,4263600,3.90
2013-09-19,3.90,3.92,3.84,3.85,2766600,3.85
2013-09-18,3.91,3.93,3.83,3.87,3932200,3.87
2013-09-17,3.88,3.93,3.83,3.93,3507200,3.93
2013-09-16,3.80,3.88,3.80,3.88,3609200,3.88
2013-09-13,3.76,3.77,3.66,3.76,3075600,3.76
2013-09-12,3.72,3.79,3.69,3.74,5642800,3.74
2013-09-11,3.79,3.86,3.70,3.71,6209900,3.71
2013-09-10,3.66,3.81,3.65,3.80,6263700,3.80
2013-09-09,3.57,3.63,3.56,3.63,4311300,3.63
2013-09-06,3.56,3.64,3.52,3.59,4056800,3.59
2013-09-05,3.45,3.59,3.44,3.56,8190100,3.56
2013-09-04,3.45,3.48,3.30,3.44,5703200,3.44
2013-09-03,3.48,3.53,3.43,3.46,7758900,3.46
2013-09-02,3.35,3.50,3.35,3.49,12509300,3.49
2013-08-30,3.44,3.47,3.34,3.36,3064000,3.36
2013-08-29,3.37,3.47,3.37,3.43,3917000,3.43
2013-08-28,3.48,3.48,3.25,3.35,9002300,3.35
2013-08-27,3.60,3.65,3.48,3.48,6595100,3.48
2013-08-26,3.68,3.70,3.61,3.66,2344000,3.66
2013-08-23,3.63,3.72,3.62,3.68,2207700,3.68
2013-08-22,3.58,3.67,3.57,3.64,3214100,3.64
