Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,4.70,4.70,4.66,4.68,19516400,4.68
2014-02-20,4.62,4.71,4.62,4.68,34762800,4.68
2014-02-19,4.60,4.70,4.57,4.68,40413400,4.68
2014-02-18,4.61,4.64,4.57,4.61,23854500,4.61
2014-02-17,4.61,4.64,4.60,4.62,15906400,4.62
2014-02-14,4.58,4.63,4.56,4.62,21446600,4.62
2014-02-13,4.56,4.57,4.52,4.57,55549400,4.57
2014-02-12,4.57,4.58,4.54,4.57,16869700,4.57
2014-02-11,4.57,4.59,4.51,4.56,22203000,4.56
2014-02-10,4.58,4.59,4.53,4.55,15858300,4.55
2014-02-07,4.54,4.59,4.50,4.57,23400800,4.57
2014-02-06,4.48,4.54,4.45,4.53,29895300,4.53
2014-02-05,4.47,4.50,4.46,4.47,41460600,4.47
2014-02-04,4.50,4.55,4.47,4.50,23414900,4.50
2014-02-03,4.58,4.63,4.51,4.52,32131400,4.52
2014-01-31,4.57,4.61,4.52,4.58,29579400,4.58
2014-01-30,4.55,4.61,4.53,4.58,22174400,4.58
2014-01-29,4.58,4.60,4.50,4.54,35047800,4.54
2014-01-28,4.57,4.58,4.52,4.55,22291600,4.55
2014-01-27,4.57,4.60,4.51,4.54,31470100,4.54
2014-01-24,4.67,4.67,4.53,4.54,44780800,4.54
2014-01-23,4.63,4.68,4.61,4.65,39281300,4.65
2014-01-22,4.63,4.66,4.62,4.62,42378100,4.62
2014-01-21,4.65,4.68,4.62,4.63,31423900,4.63
2014-01-20,4.70,4.70,4.64,4.65,31904200,4.65
2014-01-17,4.70,4.71,4.67,4.70,37497800,4.70
2014-01-16,4.68,4.70,4.65,4.68,27580000,4.68
2014-01-15,4.65,4.70,4.63,4.67,32254900,4.67
2014-01-14,4.59,4.65,4.58,4.65,31949500,4.65
2014-01-13,4.66,4.67,4.62,4.64,53786300,4.64
2014-01-10,4.76,4.79,4.74,4.76,24735000,4.66
2014-01-09,4.71,4.77,4.70,4.71,30939700,4.61
2014-01-08,4.70,4.73,4.68,4.72,42505700,4.62
2014-01-07,4.62,4.73,4.61,4.70,51644000,4.61
2014-01-06,4.59,4.66,4.59,4.63,28439500,4.53
2014-01-03,4.60,4.63,4.58,4.61,141360200,4.52
2014-01-02,4.62,4.67,4.58,4.59,53448800,4.50
2014-01-01,4.64,4.64,4.64,4.64,000,4.54
2013-12-31,4.65,4.65,4.62,4.64,8931300,4.54
2013-12-30,4.65,4.65,4.61,4.63,17129700,4.53
2013-12-27,4.61,4.67,4.60,4.63,18465800,4.53
2013-12-26,4.60,4.60,4.60,4.60,000,4.50
2013-12-25,4.60,4.60,4.60,4.60,000,4.50
2013-12-24,4.57,4.64,4.55,4.60,11178700,4.50
2013-12-23,4.54,4.59,4.50,4.58,53475000,4.48
2013-12-20,4.55,4.57,4.50,4.54,74861000,4.44
2013-12-19,4.53,4.57,4.51,4.57,50886900,4.47
2013-12-18,4.49,4.51,4.46,4.49,43185400,4.40
2013-12-17,4.43,4.50,4.43,4.47,37138500,4.38
2013-12-16,4.41,4.51,4.41,4.49,30670700,4.39
2013-12-13,4.40,4.47,4.39,4.44,56373300,4.35
2013-12-12,4.43,4.48,4.42,4.43,20862900,4.34
2013-12-11,4.46,4.49,4.42,4.43,81891100,4.34
2013-12-10,4.47,4.51,4.45,4.47,26263000,4.37
2013-12-09,4.45,4.51,4.45,4.48,29790800,4.38
2013-12-06,4.45,4.46,4.37,4.46,31404300,4.37
2013-12-05,4.49,4.52,4.43,4.44,34621700,4.35
2013-12-04,4.54,4.56,4.47,4.49,28870000,4.40
2013-12-03,4.58,4.59,4.53,4.53,88186300,4.43
2013-12-02,4.62,4.64,4.57,4.60,38158500,4.50
2013-11-29,4.70,4.73,4.67,4.69,34910000,4.59
2013-11-28,4.71,4.73,4.70,4.70,14728700,4.61
2013-11-27,4.72,4.73,4.70,4.72,27920100,4.62
2013-11-26,4.75,4.75,4.69,4.70,26565500,4.60
2013-11-25,4.74,4.74,4.69,4.73,29729400,4.63
2013-11-22,4.70,4.74,4.68,4.72,16920300,4.62
2013-11-21,4.66,4.72,4.64,4.70,43810500,4.60
2013-11-20,4.69,4.71,4.63,4.70,36970400,4.60
