Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,13.49,13.58,13.34,13.56,313500,13.56
2014-02-20,13.19,13.40,13.10,13.40,443900,13.40
2014-02-19,13.27,13.39,13.20,13.31,344500,13.31
2014-02-18,13.31,13.39,13.20,13.30,509600,13.30
2014-02-17,13.45,13.50,13.25,13.26,409600,13.26
2014-02-14,13.25,13.44,13.20,13.40,366400,13.40
2014-02-13,13.10,13.24,12.95,13.22,430300,13.22
2014-02-12,13.25,13.27,13.06,13.16,438400,13.16
2014-02-11,13.03,13.30,12.94,13.20,552000,13.20
2014-02-10,13.06,13.16,12.92,12.92,826100,12.92
2014-02-07,13.09,13.23,12.98,13.02,663400,13.02
2014-02-06,12.89,13.06,12.80,13.02,852200,13.02
2014-02-05,12.98,13.13,12.73,12.88,551100,12.88
2014-02-04,12.86,13.07,12.82,12.98,663200,12.98
2014-02-03,13.09,13.32,12.85,12.85,978100,12.85
2014-01-31,13.28,13.44,13.02,13.14,640100,13.14
2014-01-30,13.56,13.57,13.10,13.32,1103300,13.32
2014-01-29,12.90,13.27,12.82,13.18,1325000,13.18
2014-01-28,12.96,12.98,12.68,12.69,1519700,12.69
2014-01-27,13.07,13.22,12.67,12.79,1115100,12.79
2014-01-24,13.76,13.77,13.00,13.06,1065000,13.06
2014-01-23,13.83,13.91,13.67,13.72,628800,13.72
2014-01-22,13.77,13.95,13.76,13.78,750200,13.78
2014-01-21,14.05,14.07,13.74,13.76,2193100,13.76
2014-01-20,14.06,14.19,13.97,14.07,1041100,14.07
2014-01-17,13.90,13.98,13.80,13.86,1547900,13.86
2014-01-16,13.86,14.12,13.85,13.95,1613400,13.95
2014-01-15,13.64,13.91,13.52,13.84,1089000,13.84
2014-01-14,13.50,13.69,13.38,13.61,1492400,13.61
2014-01-13,13.59,13.69,13.48,13.66,1163300,13.66
2014-01-10,13.02,13.60,12.95,13.55,813800,13.55
2014-01-09,13.09,13.60,12.93,13.00,1559100,13.00
2014-01-08,12.67,13.45,12.55,13.12,1456600,13.12
2014-01-07,12.30,12.62,12.08,12.60,1300900,12.60
2014-01-06,11.91,12.25,11.90,12.23,1103400,12.23
2014-01-03,11.95,12.02,11.81,11.97,473000,11.97
2014-01-02,12.20,12.28,11.62,11.97,758300,11.97
2014-01-01,12.15,12.15,12.15,12.15,000,12.15
2013-12-31,12.27,12.30,12.05,12.15,335600,12.15
2013-12-30,12.26,12.36,12.16,12.22,744000,12.22
2013-12-27,12.01,12.23,12.01,12.23,853800,12.23
2013-12-26,12.06,12.06,12.06,12.06,000,12.06
2013-12-25,12.06,12.06,12.06,12.06,000,12.06
2013-12-24,12.20,12.30,12.06,12.06,1176300,12.06
2013-12-23,12.11,12.20,12.03,12.16,1163000,12.16
2013-12-20,11.95,12.20,11.81,12.00,3778600,12.00
2013-12-19,11.40,11.95,11.39,11.95,2419200,11.95
2013-12-18,11.23,11.34,11.09,11.33,1257800,11.33
2013-12-17,11.16,11.38,11.10,11.20,970200,11.20
2013-12-16,10.96,11.29,10.78,11.19,1493800,11.19
2013-12-13,11.07,11.18,10.97,11.00,841600,11.00
2013-12-12,11.15,11.27,11.11,11.11,825600,11.11
2013-12-11,11.25,11.31,11.21,11.21,1238300,11.21
2013-12-10,11.02,11.28,10.85,11.23,1563100,11.23
2013-12-09,10.85,10.99,10.80,10.83,1938100,10.83
2013-12-06,10.97,11.03,10.72,10.84,622800,10.84
2013-12-05,10.90,11.10,10.49,11.00,1116400,11.00
2013-12-04,11.17,11.23,10.90,10.93,562200,10.93
2013-12-03,11.13,11.29,11.09,11.15,1384100,11.15
2013-12-02,11.27,11.29,11.12,11.12,532900,11.12
2013-11-29,11.18,11.30,11.18,11.23,436200,11.23
2013-11-28,11.18,11.37,11.18,11.20,584800,11.20
2013-11-27,11.25,11.33,11.15,11.20,838100,11.20
2013-11-26,11.19,11.28,11.19,11.25,482100,11.25
2013-11-25,11.23,11.29,11.12,11.19,712600,11.19
2013-11-22,11.02,11.18,10.96,11.11,964800,11.11
2013-11-21,10.91,11.07,10.85,11.02,1016000,11.02
2013-11-20,11.23,11.25,10.85,10.91,843900,10.91
2013-11-19,11.38,11.48,11.23,11.26,596100,11.26
2013-11-18,11.34,11.56,11.31,11.38,912500,11.38
2013-11-15,11.40,11.41,11.23,11.34,394000,11.34
2013-11-14,11.39,11.43,11.28,11.39,647300,11.39
2013-11-13,11.24,11.36,11.20,11.26,1057100,11.26
2013-11-12,11.35,11.44,11.24,11.25,689600,11.25
2013-11-11,11.15,11.43,11.07,11.33,648700,11.33
2013-11-08,11.16,11.19,11.00,11.12,875500,11.12
2013-11-07,11.10,11.50,11.10,11.18,1507300,11.18
2013-11-06,11.23,11.28,11.06,11.10,999500,11.10
2013-11-05,11.23,11.45,11.03,11.23,1563000,11.23
2013-11-04,11.33,11.60,11.32,11.44,1446700,11.44
2013-11-01,11.95,11.97,11.29,11.31,2560700,11.31
2013-10-31,12.27,12.28,12.10,12.17,705900,12.17
2013-10-30,12.13,12.40,12.10,12.26,1133900,12.26
2013-10-29,12.01,12.25,11.96,12.12,600000,12.12
2013-10-28,12.07,12.18,11.89,12.02,408700,12.02
2013-10-25,12.04,12.24,12.02,12.07,946100,12.07
2013-10-24,12.12,12.20,11.85,12.09,730700,12.09
2013-10-23,12.39,12.44,12.10,12.12,1059400,12.12
2013-10-22,12.60,12.62,12.30,12.40,822500,12.40
2013-10-21,12.21,12.73,12.06,12.64,1478400,12.64
2013-10-18,11.83,12.17,11.79,12.17,2325300,12.17
2013-10-17,11.56,11.80,11.55,11.77,512900,11.77
2013-10-16,11.63,11.66,11.50,11.65,792100,11.65
2013-10-15,11.68,11.71,11.52,11.64,842700,11.64
2013-10-14,11.58,11.65,11.50,11.60,714800,11.60
2013-10-11,11.68,11.68,11.47,11.58,845700,11.58
2013-10-10,11.11,11.69,11.10,11.69,2399300,11.69
2013-10-09,10.89,11.03,10.85,11.01,1820900,11.01
2013-10-08,11.20,11.23,10.81,10.85,2037000,10.85
2013-10-07,11.72,11.72,11.22,11.26,1131200,11.26
2013-10-04,11.75,11.77,11.59,11.73,614000,11.73
2013-10-03,11.53,11.80,11.53,11.73,1022000,11.73
2013-10-02,11.19,11.52,11.19,11.52,999500,11.52
2013-10-01,11.07,11.35,11.06,11.26,454500,11.26
2013-09-30,11.04,11.11,10.97,11.09,731900,11.09
2013-09-27,11.45,11.45,11.11,11.15,1711300,11.15
2013-09-26,11.48,11.50,11.33,11.40,384600,11.40
2013-09-25,11.43,11.48,11.34,11.35,555900,11.35
2013-09-24,11.37,11.47,11.31,11.40,571500,11.40
2013-09-23,11.38,11.42,11.23,11.31,547500,11.31
2013-09-20,11.48,11.53,11.35,11.38,453300,11.38
2013-09-19,11.51,11.58,11.44,11.52,954000,11.52
2013-09-18,11.53,11.56,11.40,11.43,326700,11.43
2013-09-17,11.62,11.62,11.42,11.47,649500,11.47
2013-09-16,11.57,11.62,11.50,11.56,269400,11.56
2013-09-13,11.39,11.51,11.34,11.40,329500,11.40
2013-09-12,11.46,11.74,11.40,11.44,596300,11.44
2013-09-11,11.33,11.45,11.25,11.44,798400,11.44
2013-09-10,11.16,11.41,11.15,11.31,738600,11.31
2013-09-09,10.94,11.12,10.90,11.05,1052100,11.05
2013-09-06,10.88,10.99,10.81,10.96,853700,10.96
2013-09-05,11.10,11.12,10.82,10.85,1027700,10.85
2013-09-04,11.19,11.28,10.98,11.14,365400,11.14
2013-09-03,11.18,11.35,11.06,11.20,493600,11.20
2013-09-02,11.00,11.30,10.99,11.23,537500,11.23
2013-08-30,11.58,11.60,10.92,10.97,1204100,10.97
2013-08-29,11.62,11.73,11.55,11.60,437600,11.60
2013-08-28,11.56,11.66,11.40,11.57,517200,11.57
2013-08-27,11.80,11.85,11.59,11.62,803800,11.62
2013-08-26,11.77,11.91,11.77,11.80,366800,11.80
2013-08-23,11.90,11.93,11.75,11.81,678100,11.81
2013-08-22,11.65,11.85,11.62,11.81,387500,11.81
2013-08-21,11.59,11.72,11.52,11.59,322400,11.59
2013-08-20,11.89,11.92,11.31,11.64,677300,11.64
2013-08-19,11.90,12.16,11.85,11.97,872300,11.97
2013-08-16,11.82,11.91,11.68,11.90,585100,11.90
2013-08-15,10.22,10.44,10.17,10.41,1120700,10.41
2013-08-14,10.07,10.39,10.09,10.36,3780600,10.36
2013-08-13,10.36,10.50,10.15,10.50,535400,10.50
2013-08-12,10.50,10.59,10.45,10.52,1077800,10.52
2013-08-09,10.52,10.54,10.27,10.33,294600,10.33
2013-08-08,10.33,10.50,10.25,10.32,444400,10.32
2013-08-07,10.32,10.39,10.28,10.35,560400,10.35
2013-08-06,10.35,10.38,10.06,10.12,928000,10.12
2013-08-05,10.12,10.38,10.08,10.35,514600,10.35
2013-08-02,10.35,10.39,10.20,10.39,720200,10.39
2013-08-01,10.39,10.49,10.32,10.37,287700,10.37
2013-07-31,10.37,10.65,10.37,10.55,582800,10.55
2013-07-30,10.55,10.65,10.35,10.50,826100,10.50
2013-07-29,10.50,10.63,10.38,10.58,520600,10.58
2013-07-26,10.58,10.64,10.11,10.20,1185000,10.20
2013-07-25,10.20,10.29,10.10,10.12,333600,10.12
2013-07-24,10.12,10.20,10.01,10.12,3469300,10.12
2013-07-23,10.12,10.22,10.11,10.20,606400,10.20
2013-07-22,10.20,10.30,10.20,10.30,291200,10.30
2013-07-19,10.30,10.46,10.28,10.45,33387100,10.45
2013-07-18,10.45,11.45,10.75,11.41,2845100,11.41
2013-07-17,11.41,11.67,11.15,11.55,11314700,11.55
2013-07-16,11.55,11.55,11.26,11.28,1039500,11.28
2013-07-15,11.28,11.50,11.29,11.46,718900,11.46
2013-07-12,11.45,11.54,11.31,11.40,923900,11.40
2013-07-11,11.40,11.52,11.26,11.39,1231600,11.39
2013-07-10,11.39,11.57,11.37,11.55,792700,11.55
2013-07-09,11.55,12.05,11.54,11.93,1789500,11.93
2013-07-08,11.93,12.06,11.63,11.83,466200,11.56
2013-07-05,10.45,10.45,10.15,10.22,482600,9.99
2013-07-04,10.23,10.44,10.16,10.39,393600,10.15
2013-07-03,10.04,10.20,9.89,10.20,1199200,9.97
2013-07-02,10.08,10.23,10.06,10.15,4142100,9.91
2013-07-01,9.96,10.15,9.95,10.06,315400,9.84
2013-06-28,10.09,10.19,9.86,9.94,482600,9.72
2013-06-27,9.97,10.21,9.90,10.16,512700,9.93
2013-06-26,9.90,10.02,9.86,9.98,690300,9.76
2013-06-25,10.00,10.05,9.85,9.88,833900,9.66
2013-06-24,10.05,10.15,9.85,9.86,588800,9.64
2013-06-21,10.28,10.41,10.08,10.08,893600,9.85
2013-06-20,10.33,10.45,10.15,10.22,1720900,9.99
2013-06-19,10.68,10.68,10.48,10.50,768700,10.26
2013-06-18,10.51,10.79,10.49,10.56,3141100,10.32
2013-06-17,10.48,10.52,10.39,10.41,573600,10.17
2013-06-14,10.40,10.55,10.40,10.42,210600,10.18
2013-06-13,10.51,10.58,10.40,10.48,765500,10.24
2013-06-12,10.60,10.73,10.53,10.55,1142100,10.31
2013-06-11,10.85,10.95,10.62,10.65,763100,10.41
2013-06-10,10.50,10.87,10.50,10.87,954600,10.62
2013-06-07,10.55,10.63,10.48,10.50,953000,10.26
2013-06-06,10.91,10.93,10.58,10.59,594000,10.35
2013-06-05,10.48,11.02,10.48,10.85,1640300,10.60
2013-06-04,10.35,10.59,10.30,10.53,723200,10.30
2013-06-03,10.12,10.35,10.00,10.30,524800,10.06
2013-05-31,10.39,10.40,10.18,10.18,604400,9.94
2013-05-30,10.44,10.56,10.41,10.45,364900,10.21
2013-05-29,10.61,10.61,10.48,10.54,374000,10.30
2013-05-28,10.53,10.79,10.52,10.65,375400,10.40
2013-05-27,10.51,10.59,10.48,10.51,135900,10.27
2013-05-24,10.41,10.58,10.30,10.53,442300,10.30
2013-05-23,10.23,10.52,10.22,10.41,581400,10.17
2013-05-22,10.49,10.56,10.34,10.55,528100,10.31
2013-05-21,10.57,10.64,10.31,10.45,425500,10.22
2013-05-20,10.62,10.77,10.48,10.60,267000,10.36
2013-05-17,10.66,10.80,10.59,10.67,574500,10.43
2013-05-16,10.76,10.79,10.60,10.75,472800,10.51
2013-05-15,10.47,10.82,10.47,10.74,428300,10.50
2013-05-14,10.52,10.58,10.40,10.52,453800,10.28
2013-05-13,10.62,10.65,10.34,10.47,473900,10.23
2013-05-10,10.70,10.82,10.48,10.58,755200,10.34
2013-05-09,10.49,10.60,10.30,10.56,369800,10.32
2013-05-08,10.19,10.54,10.06,10.52,642300,10.28
2013-05-07,10.26,10.37,10.09,10.12,554100,9.90
2013-05-06,10.17,10.23,10.12,10.22,266800,9.99
2013-05-03,10.09,10.27,10.03,10.13,636100,9.90
2013-05-02,10.11,10.33,10.00,10.12,387200,9.89
2013-05-01,10.21,10.21,10.21,10.21,000,9.98
2013-04-30,10.28,10.34,10.10,10.21,486700,9.98
