Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,106.30,106.45,105.35,106.00,674000,106.00
2014-02-20,103.70,105.85,103.25,105.70,1203200,105.70
2014-02-19,104.95,105.35,103.60,104.65,1082200,104.65
2014-02-18,106.70,107.10,104.70,105.15,2274400,105.15
2014-02-17,111.00,111.60,109.40,109.55,691100,109.55
2014-02-14,110.90,111.80,110.50,111.35,599700,111.35
2014-02-13,110.80,111.20,109.75,110.85,1969000,110.85
2014-02-12,111.25,111.75,110.65,111.15,604500,111.15
2014-02-11,110.90,111.00,109.85,110.85,820200,110.85
2014-02-10,112.15,112.15,109.50,110.00,853800,110.00
2014-02-07,110.35,111.55,109.50,111.50,989800,111.50
2014-02-06,108.90,111.45,108.50,109.65,1676800,109.65
2014-02-05,107.60,108.30,107.15,108.00,951700,108.00
2014-02-04,108.15,108.45,106.80,107.90,1077400,107.90
2014-02-03,111.00,111.95,108.10,108.20,1196500,108.20
2014-01-31,111.05,112.00,109.40,110.70,1868500,110.70
2014-01-30,112.35,112.50,110.85,111.35,1091600,111.35
2014-01-29,111.65,113.45,110.75,112.20,1348800,112.20
2014-01-28,112.40,112.60,111.15,111.35,1256400,111.35
2014-01-27,114.00,114.25,111.05,111.20,1756200,111.20
2014-01-24,116.80,117.55,112.80,113.15,1123400,113.15
2014-01-23,116.90,117.85,116.25,116.65,1200700,116.65
2014-01-22,120.60,121.00,118.30,118.85,694800,118.85
2014-01-21,120.00,120.95,119.50,119.90,801400,119.90
2014-01-20,118.55,120.20,118.40,119.90,475100,119.90
2014-01-17,119.85,120.20,118.70,118.90,917300,118.90
2014-01-16,119.85,120.00,118.50,119.50,851700,119.50
2014-01-15,118.90,119.60,118.05,119.55,798100,119.55
2014-01-14,117.20,118.50,116.60,118.50,803400,118.50
2014-01-13,118.20,118.60,117.25,117.90,536500,117.90
2014-01-10,119.25,119.25,117.95,118.50,1113800,118.50
2014-01-09,118.55,120.70,117.80,118.35,891200,118.35
2014-01-08,119.45,119.70,118.10,118.65,908600,118.65
2014-01-07,118.15,119.50,117.20,119.45,2080100,119.45
2014-01-06,118.30,119.60,118.20,118.30,630900,118.30
2014-01-03,118.60,119.45,118.15,118.90,669300,118.90
2014-01-02,119.50,119.80,117.60,118.60,1580800,118.60
2014-01-01,119.80,119.80,119.80,119.80,000,119.80
2013-12-31,119.40,119.80,118.45,119.80,169600,119.80
2013-12-30,119.40,119.80,118.30,119.05,712800,119.05
2013-12-27,117.90,119.00,117.00,119.00,730200,119.00
2013-12-26,117.85,117.85,117.85,117.85,000,117.85
2013-12-25,117.85,117.85,117.85,117.85,000,117.85
2013-12-24,116.90,118.20,116.20,117.85,477500,117.85
2013-12-23,116.75,116.85,115.70,116.85,730500,116.85
2013-12-20,115.95,116.70,115.40,116.00,2198600,116.00
2013-12-19,113.65,115.85,113.50,115.85,2171300,115.85
2013-12-18,112.85,113.65,112.05,113.00,1264500,113.00
2013-12-17,112.40,113.20,111.15,112.10,1388900,112.10
2013-12-16,111.00,113.50,110.90,113.25,1198100,113.25
2013-12-13,110.55,112.85,110.50,110.95,1006800,110.95
2013-12-12,112.50,112.90,110.70,110.90,1295100,110.90
2013-12-11,115.75,115.90,112.95,112.95,2012800,112.95
2013-12-10,116.00,116.00,114.05,114.25,1023700,114.25
2013-12-09,113.60,116.50,113.60,115.95,1490300,115.95
2013-12-06,114.25,114.85,111.50,113.65,1032000,113.65
2013-12-05,115.20,115.75,114.15,114.15,840900,114.15
2013-12-04,115.15,117.40,115.05,115.75,1110300,115.75
2013-12-03,116.35,116.35,115.00,115.10,1258500,115.10
2013-12-02,117.65,117.85,115.75,116.00,2789200,116.00
2013-11-29,117.15,117.90,116.95,117.35,622700,117.35
2013-11-28,116.70,117.85,116.20,117.00,620700,117.00
2013-11-27,116.00,116.20,114.80,115.90,633600,115.90
2013-11-26,115.90,116.15,114.75,115.60,1090600,115.60
2013-11-25,115.95,116.70,115.00,115.50,964500,115.50
2013-11-22,114.80,116.00,114.50,115.65,1491800,115.65
2013-11-21,114.60,115.90,114.10,115.00,527300,115.00
2013-11-20,115.00,115.85,113.65,115.40,1021800,115.40
2013-11-19,117.50,117.50,115.55,115.75,616900,115.75
2013-11-18,117.90,119.25,116.65,118.30,848200,118.30
2013-11-15,118.45,118.50,117.15,117.80,1005600,117.80
