Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,9.90,9.95,9.77,9.80,1140100,9.80
2014-02-20,9.85,9.89,9.68,9.85,1539000,9.85
2014-02-19,9.99,10.10,9.83,9.88,5469100,9.88
2014-02-18,9.53,9.95,9.40,9.65,2149600,9.65
2014-02-17,9.54,9.55,9.44,9.50,700600,9.50
2014-02-14,9.41,9.54,9.32,9.50,1548300,9.50
2014-02-13,9.50,9.50,9.17,9.40,2376700,9.40
2014-02-12,9.40,9.48,9.36,9.48,1713900,9.48
2014-02-11,9.36,9.45,9.23,9.35,3097400,9.35
2014-02-10,9.35,9.44,9.28,9.38,2299900,9.38
2014-02-07,9.19,9.30,9.10,9.27,1633700,9.27
2014-02-06,9.00,9.17,8.98,9.15,1370200,9.15
2014-02-05,9.01,9.10,8.90,8.97,1221000,8.97
2014-02-04,9.00,9.06,8.78,9.00,2255800,9.00
2014-02-03,9.12,9.18,9.00,9.04,2469800,9.04
2014-01-31,9.22,9.24,9.02,9.12,1940400,9.12
2014-01-30,9.20,9.24,8.96,9.14,2831300,9.14
2014-01-29,9.16,9.25,8.80,9.20,3360400,9.20
2014-01-28,8.65,9.19,8.62,9.04,3664600,9.04
2014-01-27,8.65,8.65,8.34,8.60,4022800,8.60
2014-01-24,9.02,9.03,8.71,8.83,2482700,8.83
2014-01-23,8.90,9.07,8.88,9.03,5013700,9.03
2014-01-22,8.60,8.89,8.59,8.86,2520400,8.86
2014-01-21,8.62,8.66,8.51,8.55,981400,8.55
2014-01-20,8.67,8.68,8.50,8.59,971900,8.59
2014-01-17,8.62,8.72,8.59,8.67,1806000,8.67
2014-01-16,8.61,8.63,8.51,8.59,1418000,8.59
2014-01-15,8.45,8.62,8.44,8.62,2154800,8.62
2014-01-14,8.32,8.44,8.21,8.44,1121400,8.44
2014-01-13,8.38,8.44,8.32,8.40,1090900,8.40
2014-01-10,8.32,8.40,8.27,8.36,1057900,8.36
2014-01-09,8.39,8.42,8.11,8.31,1816300,8.31
2014-01-08,8.23,8.42,8.22,8.39,1957300,8.39
2014-01-07,7.97,8.23,7.92,8.22,1830300,8.22
2014-01-06,7.89,7.98,7.86,7.96,629200,7.96
2014-01-03,7.86,7.97,7.81,7.91,897000,7.91
2014-01-02,7.77,7.89,7.77,7.87,1660100,7.87
