Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,2.97,3.06,2.97,3.01,14970900,3.01
2014-02-20,2.93,2.95,2.91,2.92,13762200,2.92
2014-02-19,2.97,2.98,2.90,2.96,14251000,2.96
2014-02-18,3.05,3.06,2.96,2.97,18340500,2.97
2014-02-17,3.08,3.10,3.04,3.04,6085400,3.04
2014-02-14,3.04,3.09,3.02,3.07,8583400,3.07
2014-02-13,3.05,3.05,3.02,3.04,9667200,3.04
2014-02-12,3.10,3.11,3.04,3.05,13305400,3.05
2014-02-11,3.16,3.19,3.03,3.05,17045500,3.05
2014-02-10,3.14,3.16,3.12,3.13,7343800,3.13
2014-02-07,3.10,3.14,3.08,3.12,7836300,3.12
2014-02-06,3.07,3.11,3.04,3.09,8695600,3.09
2014-02-05,3.06,3.09,3.02,3.05,6602700,3.05
2014-02-04,3.01,3.09,3.00,3.07,12572300,3.07
2014-02-03,3.06,3.09,3.02,3.02,5394000,3.02
2014-01-31,3.14,3.14,3.02,3.06,9888100,3.06
2014-01-30,3.13,3.14,3.09,3.13,7472200,3.13
2014-01-29,3.15,3.18,3.06,3.13,9455700,3.13
2014-01-28,3.10,3.14,3.08,3.11,13005300,3.11
2014-01-27,3.10,3.11,3.05,3.07,10810500,3.07
2014-01-24,3.29,3.30,3.10,3.10,24127900,3.10
2014-01-23,3.33,3.38,3.29,3.30,5754700,3.30
2014-01-22,3.38,3.39,3.22,3.32,13384700,3.32
2014-01-21,3.45,3.46,3.36,3.37,6888400,3.37
2014-01-20,3.44,3.45,3.42,3.45,7002600,3.45
2014-01-17,3.45,3.46,3.39,3.46,9499400,3.46
2014-01-16,3.45,3.46,3.42,3.45,20127600,3.45
2014-01-15,3.34,3.45,3.32,3.44,11646200,3.44
2014-01-14,3.38,3.39,3.36,3.38,8032600,3.38
2014-01-13,3.44,3.45,3.40,3.42,9145900,3.42
2014-01-10,3.43,3.44,3.38,3.41,9010000,3.41
2014-01-09,3.37,3.44,3.34,3.41,16222600,3.41
2014-01-08,3.24,3.39,3.23,3.37,33391700,3.37
2014-01-07,3.11,3.25,3.09,3.24,21289800,3.24
2014-01-06,3.05,3.09,3.04,3.08,4405200,3.08
2014-01-03,3.02,3.08,3.01,3.06,4892900,3.06
2014-01-02,3.12,3.13,3.02,3.03,10365900,3.03
2014-01-01,3.11,3.11,3.11,3.11,000,3.11
2013-12-31,3.14,3.14,2.98,3.11,2256200,3.11
2013-12-30,3.14,3.17,3.12,3.13,4325600,3.13
2013-12-27,3.12,3.14,3.09,3.14,6275800,3.14
2013-12-26,3.11,3.11,3.11,3.11,000,3.11
2013-12-25,3.11,3.11,3.11,3.11,000,3.11
2013-12-24,3.07,3.12,3.07,3.11,2331100,3.11
2013-12-23,3.00,3.07,3.00,3.07,17381800,3.07
2013-12-20,2.94,3.01,2.93,3.01,128929500,3.01
2013-12-19,2.91,2.98,2.89,2.98,11303000,2.94
2013-12-18,2.89,2.90,2.86,2.87,10176000,2.83
2013-12-17,2.90,2.91,2.87,2.88,6746900,2.84
2013-12-16,2.83,2.90,2.83,2.90,58031600,2.86
2013-12-13,2.79,2.86,2.79,2.82,42881600,2.78
2013-12-12,2.82,2.83,2.77,2.79,5563800,2.75
2013-12-11,2.83,2.86,2.82,2.82,11421400,2.78
2013-12-10,2.83,2.88,2.83,2.83,19213500,2.79
2013-12-09,2.84,2.85,2.81,2.83,17311700,2.79
2013-12-06,2.83,2.84,2.78,2.84,10314700,2.80
2013-12-05,2.84,2.88,2.81,2.82,8131700,2.78
2013-12-04,2.88,2.90,2.82,2.84,11669600,2.80
2013-12-03,2.98,3.01,2.88,2.88,18172900,2.84
2013-12-02,2.93,2.94,2.89,2.94,6655000,2.90
2013-11-29,2.96,2.97,2.92,2.92,9230900,2.88
2013-11-28,2.92,2.97,2.92,2.95,4880800,2.91
2013-11-27,2.90,2.94,2.88,2.93,5383600,2.89
2013-11-26,2.93,2.94,2.88,2.88,24256900,2.85
2013-11-25,2.91,2.93,2.88,2.93,9764300,2.90
2013-11-22,2.89,2.93,2.88,2.90,6767400,2.86
2013-11-21,2.86,2.90,2.82,2.89,6761900,2.85
2013-11-20,2.90,2.91,2.87,2.88,6996800,2.84
2013-11-19,2.90,2.93,2.89,2.91,6274000,2.87
2013-11-18,2.92,2.94,2.90,2.91,5140400,2.88
2013-11-15,2.90,2.93,2.88,2.92,5486800,2.88
2013-11-14,2.98,3.00,2.88,2.90,13562000,2.86
2013-11-13,3.00,3.03,2.97,3.00,8473000,2.96
2013-11-12,3.03,3.07,3.01,3.02,8550500,2.98
