Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,12.10,12.10,11.95,11.98,712700,11.78
2014-02-20,11.95,12.02,11.90,11.98,1001600,11.78
2014-02-19,12.05,12.15,11.96,12.12,938400,11.92
2014-02-18,12.24,12.30,12.00,12.05,1164300,11.84
2014-02-17,12.30,12.31,12.14,12.24,819000,12.04
2014-02-14,12.26,12.34,12.20,12.23,866900,12.03
2014-02-13,12.23,12.28,12.05,12.18,1228200,11.97
2014-02-12,12.24,12.34,12.18,12.23,1290200,12.03
2014-02-11,12.15,12.18,11.98,12.12,1673800,11.92
2014-02-10,12.56,12.56,12.04,12.09,2543600,11.89
2014-02-07,12.88,12.98,12.32,12.49,3459200,12.29
2014-02-06,12.34,12.42,12.17,12.38,1070600,12.17
2014-02-05,12.23,12.39,12.12,12.25,1078600,12.05
2014-02-04,12.00,12.09,11.91,12.06,1372800,11.85
2014-02-03,12.22,12.39,12.05,12.05,839500,11.84
2014-01-31,12.30,12.33,12.07,12.33,948700,12.12
2014-01-30,12.30,12.35,12.12,12.23,841200,12.03
2014-01-29,12.50,12.64,12.00,12.38,1802600,12.17
2014-01-28,12.03,12.39,12.00,12.33,1342700,12.12
2014-01-27,12.02,12.14,11.76,11.88,1707800,11.68
2014-01-24,12.60,12.61,12.00,12.02,2333200,11.82
2014-01-23,12.61,12.77,12.52,12.56,1392600,12.36
2014-01-22,12.69,12.85,12.52,12.68,1116600,12.47
2014-01-21,12.93,12.97,12.61,12.63,1484600,12.42
2014-01-20,13.10,13.10,12.81,12.85,1695000,12.64
2014-01-17,13.01,13.40,13.00,13.06,3776300,12.84
2014-01-16,12.80,13.05,12.76,12.99,1782700,12.77
2014-01-15,12.65,12.77,12.57,12.73,1130300,12.52
2014-01-14,12.48,12.65,12.35,12.56,1127500,12.36
2014-01-13,12.33,12.73,12.33,12.73,1086800,12.51
2014-01-10,12.47,12.57,12.28,12.29,1212400,12.08
2014-01-09,12.77,12.78,12.41,12.44,1723800,12.23
2014-01-08,12.75,12.80,12.66,12.77,863800,12.55
2014-01-07,12.72,12.81,12.55,12.76,1241100,12.54
2014-01-06,12.85,12.94,12.65,12.70,705100,12.49
2014-01-03,12.81,12.94,12.76,12.88,1139800,12.66
2014-01-02,12.99,13.14,12.77,12.78,1359000,12.57
2014-01-01,12.94,12.94,12.94,12.94,000,12.72
2013-12-31,12.95,12.95,12.84,12.94,386600,12.72
2013-12-30,12.90,12.99,12.85,12.90,777200,12.69
2013-12-27,12.60,12.83,12.56,12.81,918200,12.59
2013-12-26,12.46,12.46,12.46,12.46,000,12.25
2013-12-25,12.46,12.46,12.46,12.46,000,12.25
2013-12-24,12.44,12.48,12.37,12.46,263900,12.25
2013-12-23,12.36,12.48,12.35,12.43,736700,12.22
2013-12-20,12.24,12.43,12.24,12.36,1685800,12.16
2013-12-19,12.14,12.21,11.99,12.18,1681700,11.97
2013-12-18,11.79,11.96,11.79,11.93,800700,11.73
2013-12-17,11.68,11.85,11.67,11.74,908500,11.54
2013-12-16,11.90,11.90,11.61,11.73,1745900,11.53
2013-12-13,11.90,12.11,11.83,12.04,711900,11.84
2013-12-12,12.11,12.19,11.91,11.93,960700,11.73
2013-12-11,12.31,12.42,12.15,12.15,734900,11.95
2013-12-10,12.40,12.47,12.28,12.31,612000,12.10
2013-12-09,12.39,12.44,12.26,12.40,999100,12.19
2013-12-06,12.39,12.52,12.22,12.33,781000,12.12
2013-12-05,12.55,12.62,12.35,12.38,653600,12.17
2013-12-04,12.40,12.61,12.20,12.49,903500,12.29
2013-12-03,12.82,12.82,12.41,12.41,1405700,12.20
2013-12-02,12.81,13.02,12.76,12.85,1243000,12.63
2013-11-29,12.66,12.81,12.60,12.70,629200,12.49
2013-11-28,12.57,12.69,12.51,12.68,795900,12.47
2013-11-27,12.31,12.58,12.29,12.54,795600,12.33
2013-11-26,12.38,12.47,12.27,12.30,919000,12.09
2013-11-25,12.51,12.56,12.40,12.43,734900,12.22
2013-11-22,12.55,12.62,12.43,12.49,869100,12.28
2013-11-21,12.55,12.61,12.40,12.52,742000,12.31
2013-11-20,12.41,12.68,12.40,12.59,1080600,12.38
2013-11-19,12.42,12.52,12.33,12.46,748700,12.25
2013-11-18,12.52,12.67,12.41,12.42,850800,12.21
2013-11-15,12.47,12.63,12.32,12.47,811800,12.26
2013-11-14,12.46,12.56,12.27,12.44,1192500,12.23
2013-11-13,12.41,12.44,12.03,12.26,2423000,12.05
2013-11-12,12.87,12.90,12.53,12.53,1363600,12.32
2013-11-11,12.93,12.93,12.65,12.81,1352300,12.60
2013-11-08,12.44,12.85,12.36,12.81,2038200,12.60
2013-11-07,12.25,12.87,12.15,12.43,4027600,12.22
2013-11-06,12.09,12.10,11.90,11.94,1192100,11.75
2013-11-05,12.00,12.14,11.85,12.02,1344500,11.82
2013-11-04,11.73,11.98,11.70,11.92,1358900,11.72
2013-11-01,11.70,11.72,11.54,11.62,464900,11.43
2013-10-31,11.45,11.69,11.42,11.68,946400,11.49
2013-10-30,11.60,11.74,11.48,11.51,1256500,11.32
2013-10-29,11.31,11.48,11.25,11.38,1239300,11.19
2013-10-28,11.72,11.81,11.26,11.32,1356800,11.14
2013-10-25,11.76,11.76,11.62,11.67,934000,11.48
2013-10-24,11.65,11.73,11.61,11.72,930400,11.52
2013-10-23,11.59,11.69,11.42,11.57,1454200,11.38
2013-10-22,11.89,11.90,11.57,11.60,3475800,11.40
2013-10-21,11.80,12.10,11.80,12.03,2188100,11.83
2013-10-18,11.75,11.80,11.56,11.69,997700,11.49
2013-10-17,11.83,11.83,11.45,11.66,1734100,11.47
2013-10-16,11.83,11.85,11.54,11.74,1765700,11.55
2013-10-15,11.43,11.79,11.43,11.76,2400200,11.56
2013-10-14,10.98,11.37,10.98,11.27,1798300,11.08
2013-10-11,10.82,10.95,10.81,10.93,1339600,10.75
2013-10-10,10.51,10.80,10.45,10.75,1800200,10.57
2013-10-09,10.40,10.59,10.36,10.43,783000,10.25
2013-10-08,10.56,10.56,10.36,10.45,789700,10.28
2013-10-07,10.39,10.58,10.25,10.56,1051100,10.38
2013-10-04,10.35,10.45,10.23,10.40,919500,10.23
2013-10-03,10.45,10.57,10.35,10.39,800100,10.21
2013-10-02,10.31,10.44,10.21,10.43,1428500,10.25
2013-10-01,10.15,10.31,10.11,10.31,1147500,10.14
2013-09-30,10.06,10.16,9.90,10.16,1441300,9.99
2013-09-27,10.41,10.44,10.12,10.18,1280400,10.01
2013-09-26,10.48,10.52,10.38,10.45,673300,10.28
2013-09-25,10.47,10.53,10.34,10.47,674700,10.30
2013-09-24,10.35,10.56,10.28,10.49,834900,10.32
2013-09-23,10.46,10.46,10.26,10.38,1378400,10.21
2013-09-20,10.80,10.80,10.44,10.45,2812300,10.28
2013-09-19,10.86,11.14,10.80,10.85,1656400,10.67
2013-09-18,10.65,10.75,10.56,10.61,586500,10.43
2013-09-17,10.56,10.71,10.44,10.68,921900,10.50
2013-09-16,10.73,10.78,10.59,10.64,1026400,10.46
2013-09-13,10.50,10.52,10.30,10.49,760400,10.32
2013-09-12,10.68,10.75,10.44,10.49,1214700,10.31
2013-09-11,10.64,10.77,10.56,10.68,926300,10.50
2013-09-10,10.53,10.75,10.53,10.65,1264900,10.47
2013-09-09,10.40,10.49,10.36,10.44,459600,10.27
2013-09-06,10.33,10.50,10.25,10.39,831100,10.22
2013-09-05,10.20,10.32,10.15,10.32,700800,10.15
2013-09-04,10.14,10.21,10.05,10.18,942100,10.01
2013-09-03,10.10,10.19,9.97,10.12,669400,9.96
2013-09-02,9.83,10.09,9.83,10.06,614700,9.89
2013-08-30,9.85,9.90,9.65,9.69,676900,9.53
2013-08-29,9.97,9.98,9.77,9.85,502200,9.68
2013-08-28,9.76,9.93,9.69,9.89,706500,9.73
2013-08-27,10.02,10.05,9.83,9.87,862600,9.70
2013-08-26,10.34,10.34,10.05,10.13,488600,9.96
2013-08-23,10.14,10.29,9.98,10.24,880900,10.07
2013-08-22,9.84,10.19,9.82,10.07,889200,9.90
2013-08-21,9.91,9.94,9.81,9.84,573200,9.67
2013-08-20,10.05,10.12,9.75,9.86,1280600,9.70
2013-08-19,10.55,10.55,10.12,10.18,1139100,10.01
2013-08-16,10.36,10.55,10.28,10.51,1481200,10.33
2013-08-15,10.59,10.60,10.14,10.38,1126800,10.20
2013-08-14,10.50,10.68,10.36,10.61,1123200,10.44
2013-08-13,10.42,10.51,10.35,10.47,1551200,10.29
2013-08-12,10.24,10.44,10.12,10.36,1765100,10.19
2013-08-09,9.71,10.20,9.64,10.15,1642800,9.98
2013-08-08,9.29,9.63,9.27,9.62,1033300,9.46
2013-08-07,9.19,9.29,9.02,9.24,910400,9.08
2013-08-06,9.56,9.56,9.16,9.23,944000,9.08
2013-08-05,9.52,9.58,9.30,9.54,795300,9.38
2013-08-02,9.57,9.58,9.41,9.45,1433100,9.29
2013-08-01,9.88,10.03,9.45,9.53,1555300,9.37
2013-07-31,9.91,9.99,9.81,9.90,720800,9.74
2013-07-30,10.06,10.06,9.90,9.92,742400,9.75
2013-07-29,9.92,10.06,9.84,9.95,637000,9.78
2013-07-26,9.86,9.96,9.80,9.89,675700,9.72
2013-07-25,9.77,9.80,9.57,9.76,718300,9.60
2013-07-24,9.92,10.04,9.72,9.77,726600,9.61
2013-07-23,9.72,9.96,9.72,9.81,613000,9.65
2013-07-22,9.75,9.81,9.63,9.65,770300,9.49
2013-07-19,9.63,9.80,9.55,9.74,561400,9.57
2013-07-18,9.46,9.70,9.41,9.69,458200,9.53
2013-07-17,9.39,9.55,9.38,9.47,460000,9.31
2013-07-16,9.28,9.39,9.23,9.37,607200,9.21
2013-07-15,9.31,9.33,9.15,9.23,481700,9.08
2013-07-12,9.50,9.50,9.26,9.31,617400,9.16
2013-07-11,9.27,9.45,9.27,9.44,958900,9.29
2013-07-10,9.00,9.10,8.96,9.08,436100,8.93
2013-07-09,8.90,9.08,8.88,9.02,669500,8.87
2013-07-08,8.76,8.85,8.69,8.81,526600,8.66
2013-07-05,8.96,8.97,8.62,8.65,805200,8.50
2013-07-04,8.58,8.98,8.54,8.93,750100,8.78
2013-07-03,8.57,8.57,8.35,8.49,1298800,8.35
2013-07-02,8.70,8.81,8.61,8.64,532000,8.50
2013-07-01,8.64,8.75,8.53,8.69,1184500,8.55
2013-06-28,8.76,8.85,8.53,8.54,1001200,8.40
2013-06-27,8.65,8.81,8.53,8.75,564600,8.60
2013-06-26,8.70,8.77,8.60,8.61,1038900,8.47
2013-06-25,8.52,8.65,8.49,8.61,813900,8.47
2013-06-24,8.72,8.76,8.42,8.42,1291800,8.28
2013-06-21,8.83,8.92,8.74,8.74,1033400,8.59
2013-06-20,8.91,8.91,8.71,8.78,1101700,8.64
2013-06-19,9.15,9.18,9.00,9.02,600000,8.87
2013-06-18,9.12,9.16,9.03,9.12,384000,8.97
2013-06-17,9.28,9.29,9.13,9.13,460500,8.98
2013-06-14,9.12,9.36,9.12,9.23,572500,9.07
2013-06-13,8.85,9.16,8.78,9.10,871600,8.95
2013-06-12,9.13,9.24,8.94,8.97,989900,8.82
2013-06-11,9.33,9.33,9.05,9.15,1489600,8.99
2013-06-10,9.48,9.51,9.34,9.40,550400,9.24
2013-06-07,9.43,9.52,9.33,9.48,777000,9.33
2013-06-06,9.73,9.73,9.43,9.43,1008700,9.27
2013-06-05,9.80,9.94,9.58,9.60,941800,9.44
2013-06-04,9.98,9.98,9.80,9.82,581900,9.66
2013-06-03,9.87,10.02,9.77,9.89,687700,9.73
2013-05-31,10.07,10.09,9.89,9.90,530700,9.74
2013-05-30,9.97,10.15,9.93,10.07,399500,9.91
2013-05-29,10.00,10.14,9.96,10.01,442800,9.84
2013-05-28,10.12,10.15,9.99,10.07,738300,9.91
2013-05-27,9.98,10.07,9.94,10.06,255400,9.89
2013-05-24,10.01,10.03,9.83,9.93,583600,9.76
2013-05-23,9.95,10.05,9.81,9.95,995800,9.79
2013-05-22,10.29,10.40,10.15,10.24,840900,10.07
2013-05-21,10.09,10.34,10.09,10.30,954300,10.12
2013-05-20,10.05,10.15,9.98,10.10,834700,9.94
2013-05-17,9.74,10.09,9.70,10.00,1431300,9.83
2013-05-16,9.76,9.80,9.60,9.77,635200,9.61
2013-05-15,9.84,9.91,9.70,9.76,834700,9.60
2013-05-14,10.01,10.01,9.62,9.79,1143500,9.63
2013-05-13,10.14,10.23,9.93,9.96,814600,9.80
2013-05-10,10.19,10.39,10.02,10.09,1924500,9.92
2013-05-09,9.61,9.88,9.60,9.84,1008000,9.51
2013-05-08,9.75,9.77,9.40,9.53,1058200,9.21
2013-05-07,9.77,9.79,9.65,9.68,756000,9.35
2013-05-06,9.78,9.79,9.63,9.69,699600,9.36
