Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,31.50,31.56,31.00,31.31,345100,31.31
2014-02-20,30.96,31.45,30.82,31.45,257000,31.45
2014-02-19,31.18,31.50,30.98,31.27,193700,31.27
2014-02-18,31.22,31.45,30.88,31.37,348300,31.37
2014-02-17,31.63,31.76,31.19,31.24,189000,31.24
2014-02-14,31.32,31.61,31.24,31.47,350400,31.47
2014-02-13,31.32,31.49,30.93,31.30,330300,31.30
2014-02-12,31.60,31.74,31.32,31.47,148800,31.47
2014-02-11,31.41,31.63,31.32,31.60,434100,31.60
2014-02-10,32.01,32.01,31.23,31.29,1296900,31.29
2014-02-07,31.50,31.93,31.20,31.93,423200,31.93
2014-02-06,31.23,31.55,30.95,31.43,438300,31.43
2014-02-05,31.00,31.27,30.82,30.97,390100,30.97
2014-02-04,30.84,31.12,30.51,31.00,277500,31.00
2014-02-03,31.33,31.60,30.86,31.03,344600,31.03
2014-01-31,31.47,31.60,30.82,31.33,380300,31.33
2014-01-30,31.50,31.59,30.86,31.35,393800,31.35
2014-01-29,32.10,32.49,31.11,31.50,822200,31.50
2014-01-28,31.93,32.08,31.60,31.90,826400,31.90
2014-01-27,31.75,32.01,31.35,31.67,581700,31.67
2014-01-24,32.74,32.89,31.61,31.66,561200,31.66
2014-01-23,32.60,32.90,32.40,32.61,333400,32.61
2014-01-22,32.65,32.97,32.30,32.61,447500,32.61
2014-01-21,33.51,33.63,32.60,32.65,559100,32.65
2014-01-20,32.88,33.45,32.60,33.45,387400,33.45
2014-01-17,32.26,32.88,32.20,32.88,355100,32.88
2014-01-16,32.16,32.44,31.90,32.22,725400,32.22
2014-01-15,31.40,32.45,31.36,32.22,594100,32.22
2014-01-14,30.70,31.34,30.43,31.32,840500,31.32
2014-01-13,30.29,31.13,30.15,31.13,517400,31.13
2014-01-10,30.00,30.29,29.78,30.19,255300,30.19
2014-01-09,29.84,30.25,29.57,29.81,472100,29.81
2014-01-08,29.82,30.17,29.45,29.82,412400,29.82
2014-01-07,29.45,29.70,29.15,29.68,328700,29.68
2014-01-06,29.17,29.49,29.08,29.35,135200,29.35
2014-01-03,28.95,29.42,28.87,29.24,159000,29.24
2014-01-02,29.45,29.58,28.90,28.95,279800,28.95
2014-01-01,29.44,29.44,29.44,29.44,000,29.44
2013-12-31,29.52,29.52,29.17,29.44,101100,29.44
2013-12-30,29.42,29.74,29.35,29.55,251100,29.55
2013-12-27,29.50,29.65,29.24,29.40,626300,29.40
2013-12-26,29.23,29.23,29.23,29.23,000,29.23
2013-12-25,29.23,29.23,29.23,29.23,000,29.23
2013-12-24,28.94,29.27,28.92,29.23,177900,29.23
2013-12-23,28.78,28.96,28.30,28.93,281600,28.93
2013-12-20,28.61,29.17,28.56,28.64,732000,28.64
2013-12-19,28.32,28.80,28.21,28.62,544400,28.62
2013-12-18,27.95,28.29,27.82,27.99,253900,27.99
2013-12-17,28.22,28.39,27.90,27.90,242700,27.90
2013-12-16,27.92,28.52,27.81,28.23,373900,28.23
2013-12-13,27.50,28.00,27.50,27.77,284100,27.77
2013-12-12,27.85,28.03,27.46,27.46,341700,27.46
2013-12-11,27.89,28.45,27.88,27.99,1315700,27.99
2013-12-10,28.38,28.45,27.80,27.95,1270100,27.95
2013-12-09,27.55,28.41,27.52,28.36,566100,28.36
2013-12-06,27.49,27.60,26.83,27.51,940800,27.51
2013-12-05,27.89,28.06,27.40,27.44,1745600,27.44
2013-12-04,28.34,28.49,27.82,27.90,363600,27.90
2013-12-03,28.83,28.98,28.25,28.33,318300,28.33
2013-12-02,29.25,29.29,28.73,28.85,205400,28.85
2013-11-29,29.36,29.49,29.11,29.17,284000,29.17
2013-11-28,29.04,29.46,29.00,29.30,440900,29.30
2013-11-27,28.51,29.15,28.42,28.95,779100,28.95
2013-11-26,28.12,28.50,28.06,28.46,319700,28.46
2013-11-25,28.71,28.76,28.10,28.22,385100,28.22
2013-11-22,28.29,28.60,28.14,28.45,652600,28.45
2013-11-21,27.85,28.38,27.50,28.25,471300,28.25
2013-11-20,28.75,28.75,27.91,27.93,493700,27.93
2013-11-19,29.12,29.22,28.72,28.77,226000,28.77
2013-11-18,29.12,29.48,28.81,29.15,348400,29.15
2013-11-15,29.30,29.39,28.81,29.12,353800,29.12
2013-11-14,30.59,30.62,28.51,29.08,1109700,29.08
2013-11-13,30.47,30.74,30.06,30.30,456700,30.30
2013-11-12,30.83,31.10,30.45,30.48,334000,30.48
2013-11-11,30.48,30.98,30.25,30.83,424300,30.83
2013-11-08,29.83,30.34,29.60,30.34,317800,30.34
2013-11-07,30.27,30.58,29.60,29.82,603900,29.82
2013-11-06,30.95,31.20,30.15,30.19,435300,30.19
2013-11-05,30.89,30.95,30.42,30.75,328500,30.75
2013-11-04,30.72,30.98,30.65,30.70,714100,30.70
2013-11-01,31.00,31.06,30.50,30.58,178600,30.58
2013-10-31,30.70,31.12,30.59,30.90,244900,30.90
2013-10-30,31.17,31.30,30.50,30.64,354700,30.64
2013-10-29,30.41,31.20,30.41,31.00,285400,31.00
2013-10-28,30.74,31.03,30.12,30.53,272700,30.53
2013-10-25,31.00,31.30,30.48,30.73,1195000,30.73
2013-10-24,30.30,31.10,30.24,30.95,407200,30.95
2013-10-23,30.32,30.34,29.66,30.17,297600,30.17
2013-10-22,30.42,30.69,30.06,30.35,322400,30.35
2013-10-21,29.69,30.35,29.57,30.32,497900,30.32
2013-10-18,29.19,29.70,29.19,29.52,414900,29.52
2013-10-17,29.40,29.44,28.87,29.15,307000,29.15
2013-10-16,28.87,29.35,28.85,29.26,270900,29.26
2013-10-15,28.80,29.14,28.76,29.03,266900,29.03
2013-10-14,28.55,28.83,28.42,28.75,119400,28.75
2013-10-11,29.00,29.00,28.52,28.84,184900,28.84
2013-10-10,28.25,29.00,28.25,28.94,357300,28.94
2013-10-09,28.05,28.25,27.80,28.17,275200,28.17
2013-10-08,28.11,28.25,27.98,28.02,197600,28.02
2013-10-07,28.55,28.58,27.92,28.17,357800,28.17
2013-10-04,28.72,28.88,28.55,28.58,364300,28.58
2013-10-03,29.15,29.20,28.74,28.78,317400,28.78
2013-10-02,28.66,29.21,28.35,29.06,895800,29.06
2013-10-01,28.00,28.70,27.96,28.70,264700,28.70
2013-09-30,28.28,28.28,27.10,28.03,472100,28.03
2013-09-27,28.82,28.90,28.53,28.55,596500,28.55
2013-09-26,28.60,28.99,28.45,28.82,605300,28.82
2013-09-25,27.92,28.62,27.88,28.60,492100,28.60
2013-09-24,27.98,28.10,27.88,28.00,528200,28.00
2013-09-23,28.60,28.60,27.83,27.88,245200,27.88
2013-09-20,28.30,28.64,27.82,28.62,376900,28.62
2013-09-19,28.58,28.60,28.16,28.34,375800,28.34
2013-09-18,28.19,28.37,28.00,28.16,178000,28.16
2013-09-17,28.14,28.19,27.69,28.17,228600,28.17
2013-09-16,28.23,28.42,27.98,28.06,245000,28.06
2013-09-13,27.94,28.23,27.82,28.11,216300,28.11
2013-09-12,27.50,27.99,27.45,27.93,348500,27.93
2013-09-11,27.53,27.64,27.30,27.45,304300,27.45
2013-09-10,27.48,27.80,27.33,27.43,428300,27.43
2013-09-09,27.02,27.16,26.59,27.15,193100,27.15
2013-09-06,27.01,27.36,26.70,27.08,1760300,27.08
2013-09-05,26.73,27.01,26.45,27.01,360000,27.01
2013-09-04,26.27,26.65,25.90,26.59,427900,26.59
2013-09-03,26.16,26.47,26.03,26.22,570900,26.22
2013-09-02,26.31,26.49,26.10,26.16,267300,26.16
2013-08-30,26.49,26.49,25.83,26.00,330000,26.00
2013-08-29,26.50,26.60,26.05,26.41,201100,26.41
2013-08-28,26.30,26.50,25.91,26.37,343700,26.37
2013-08-27,27.60,27.71,26.39,26.41,347200,26.41
2013-08-26,27.69,27.94,27.42,27.63,106600,27.63
2013-08-23,27.73,27.78,27.36,27.50,168200,27.50
2013-08-22,27.23,28.05,27.23,27.54,266600,27.54
2013-08-21,27.40,27.69,27.10,27.28,283600,27.28
2013-08-20,28.30,28.30,27.12,27.25,445500,27.25
2013-08-19,28.55,28.60,28.10,28.33,249100,28.33
2013-08-16,28.42,28.64,28.23,28.44,1347300,28.44
2013-08-15,28.62,28.64,28.03,28.38,147200,28.38
2013-08-14,28.58,28.67,28.26,28.60,258000,28.60
2013-08-13,28.70,28.83,28.48,28.58,269700,28.58
2013-08-12,28.89,29.04,28.56,28.72,171800,28.72
2013-08-09,28.45,28.84,28.20,28.76,6289100,28.76
2013-08-08,27.90,28.53,27.85,28.53,398600,28.53
2013-08-07,28.25,28.30,27.62,27.81,2411400,27.81
2013-08-06,28.20,28.58,28.08,28.28,1130500,28.28
2013-08-05,28.80,28.82,28.22,28.25,709800,28.25
2013-08-02,29.07,29.12,28.61,28.67,329500,28.67
2013-08-01,28.73,29.11,28.57,29.11,441400,29.11
2013-07-31,29.02,29.11,28.26,28.66,364500,28.66
2013-07-30,28.80,29.16,28.67,29.14,435400,29.14
2013-07-29,28.67,29.02,28.59,28.92,251100,28.92
2013-07-26,29.08,29.29,28.09,28.67,772200,28.67
2013-07-25,29.00,29.18,28.69,29.00,205300,29.00
2013-07-24,28.40,29.00,28.40,29.00,256700,29.00
2013-07-23,28.50,28.90,28.24,28.39,257000,28.39
2013-07-22,28.49,28.64,28.02,28.45,213200,28.45
2013-07-19,27.85,28.49,27.85,28.38,511100,28.38
2013-07-18,27.40,28.11,27.34,28.11,517500,28.11
2013-07-17,27.50,27.56,27.02,27.40,564300,27.40
2013-07-16,27.83,27.92,27.23,27.60,510700,27.60
2013-07-15,27.91,28.22,27.57,27.73,209900,27.73
2013-07-12,28.21,28.21,27.73,28.00,418400,28.00
2013-07-11,28.34,28.35,27.85,28.03,812100,28.03
2013-07-10,27.77,28.16,27.46,28.09,339600,28.09
2013-07-09,28.10,28.38,27.81,28.05,325800,28.05
2013-07-08,27.87,28.11,27.58,28.00,528100,28.00
2013-07-05,27.80,27.98,27.38,27.58,569300,27.58
2013-07-04,27.32,27.82,27.18,27.62,612200,27.62
2013-07-03,26.61,27.30,26.39,27.30,571900,27.30
2013-07-02,27.10,27.20,26.67,26.75,339100,26.75
2013-07-01,26.29,27.10,26.22,27.01,490200,27.01
2013-06-28,26.30,26.76,26.06,26.15,432400,26.15
2013-06-27,25.92,26.36,25.75,26.26,380500,26.26
2013-06-26,25.70,26.08,25.45,25.89,535100,25.89
2013-06-25,25.50,26.10,25.42,25.72,479800,25.72
2013-06-24,25.67,25.98,25.05,25.40,520800,25.40
2013-06-21,25.67,26.10,25.42,25.54,1059400,25.54
2013-06-20,26.15,26.22,25.32,25.40,841300,25.40
2013-06-19,27.24,27.24,26.44,26.54,567700,26.54
2013-06-18,27.18,27.49,27.05,27.16,233500,27.16
2013-06-17,26.92,27.38,26.82,27.22,262300,27.22
2013-06-14,26.76,27.04,26.61,26.72,480800,26.72
2013-06-13,27.16,27.16,26.33,26.67,412900,26.67
2013-06-12,27.62,27.75,27.01,27.29,507100,27.29
2013-06-11,28.34,28.34,27.33,27.57,901900,27.57
2013-06-10,28.67,28.85,28.25,28.47,2374300,28.47
2013-06-07,28.28,28.68,27.92,28.65,746400,28.65
2013-06-06,27.95,28.68,27.90,28.06,526300,28.06
2013-06-05,28.10,28.45,27.95,28.01,499800,28.01
