Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,54.64,54.80,54.15,54.66,405900,54.66
2014-02-20,54.07,54.70,53.86,54.40,429000,54.40
2014-02-19,54.17,54.73,54.11,54.31,618100,54.31
2014-02-18,53.90,54.49,53.81,54.05,692000,54.05
2014-02-17,53.94,54.15,53.51,53.74,461300,53.74
2014-02-14,53.78,54.25,53.68,53.99,636500,53.99
2014-02-13,52.92,53.64,52.78,53.60,651500,53.60
2014-02-12,53.13,53.43,52.76,52.96,798700,52.96
2014-02-11,53.02,53.37,52.71,52.96,375200,52.96
2014-02-10,53.06,53.14,52.60,52.89,324600,52.89
2014-02-07,53.12,53.28,52.76,53.00,396000,53.00
2014-02-06,52.72,53.17,52.48,53.00,564700,53.00
2014-02-05,52.36,52.60,51.94,52.45,456100,52.45
2014-02-04,51.89,52.70,51.66,52.34,563200,52.34
2014-02-03,52.18,52.90,51.77,51.97,2144300,51.97
2014-01-31,52.10,52.54,51.20,51.91,1167000,51.91
2014-01-30,52.44,52.57,52.05,52.22,544900,52.22
2014-01-29,53.10,53.45,52.01,52.25,1136600,52.25
2014-01-28,53.00,53.59,52.60,53.08,479200,53.08
2014-01-27,53.15,53.64,52.42,52.42,404300,52.42
2014-01-24,54.00,54.13,52.88,53.02,653000,53.02
2014-01-23,53.63,54.00,53.20,53.76,497100,53.76
2014-01-22,53.50,53.99,53.21,53.50,500200,53.50
2014-01-21,53.92,54.34,53.24,53.30,425500,53.30
2014-01-20,53.90,54.31,53.70,54.00,834500,54.00
2014-01-17,53.81,54.29,53.53,54.06,711300,54.06
2014-01-16,54.13,54.58,53.52,53.63,646000,53.63
2014-01-15,53.47,54.09,52.97,54.00,590400,54.00
2014-01-14,53.29,53.32,52.50,53.19,554100,53.19
2014-01-13,53.25,53.25,51.12,52.68,820900,52.68
2014-01-10,52.23,53.39,52.01,52.60,1464400,52.60
2014-01-09,49.00,50.97,48.69,50.70,2409700,50.70
2014-01-08,49.11,49.11,48.31,48.90,1694900,48.90
2014-01-07,48.50,48.98,48.30,48.98,1249400,48.98
2014-01-06,47.55,48.18,47.48,48.17,380500,48.17
2014-01-03,47.50,48.07,47.35,47.65,2226000,47.65
2014-01-02,48.00,48.22,47.35,47.40,7667600,47.40
2014-01-01,48.50,48.50,48.50,48.50,000,47.93
2013-12-31,48.30,49.05,48.02,48.50,263800,47.93
2013-12-30,47.71,48.29,47.47,48.29,272300,47.73
2013-12-27,48.62,49.00,47.25,47.70,1030900,47.14
2013-12-26,48.12,48.12,48.12,48.12,000,47.55
2013-12-25,48.12,48.12,48.12,48.12,000,47.55
2013-12-24,46.74,48.50,46.63,48.12,5306200,47.55
2013-12-23,46.18,46.62,46.00,46.46,2352100,45.91
2013-12-20,46.88,46.88,46.03,46.19,5548000,45.65
2013-12-19,46.19,46.74,46.10,46.63,642000,46.08
2013-12-18,46.00,46.10,45.55,46.00,508700,45.46
2013-12-17,45.15,46.05,45.00,45.90,751600,45.35
2013-12-16,45.34,45.54,44.81,45.12,433400,44.58
2013-12-13,45.18,45.53,44.91,45.31,301100,44.77
2013-12-12,45.50,45.80,45.05,45.05,429600,44.52
2013-12-11,45.33,45.65,45.20,45.23,643000,44.70
2013-12-10,45.09,45.53,44.96,45.33,303200,44.80
2013-12-09,45.00,45.45,44.81,45.09,767000,44.56
2013-12-06,45.15,45.26,44.24,45.08,384800,44.54
2013-12-05,45.32,45.64,45.00,45.02,340300,44.49
2013-12-04,45.33,45.54,44.83,45.24,671800,44.71
2013-12-03,45.40,45.49,44.90,45.24,764300,44.71
2013-12-02,47.15,47.15,45.50,45.54,592200,45.00
2013-11-29,46.87,47.55,46.55,47.18,307700,46.62
2013-11-28,46.57,46.94,46.50,46.80,187500,46.25
2013-11-27,46.18,47.10,46.08,46.56,518400,46.02
2013-11-26,46.19,46.31,45.87,45.99,395800,45.45
2013-11-25,46.02,46.10,45.72,45.97,289200,45.43
2013-11-22,45.65,46.07,45.35,45.70,1593200,45.16
2013-11-21,45.18,45.65,44.90,45.65,365300,45.12
2013-11-20,45.60,45.67,45.04,45.25,359400,44.72
2013-11-19,46.08,46.08,45.51,45.58,255600,45.04
2013-11-18,46.07,46.60,45.78,46.15,294800,45.60
2013-11-15,46.37,46.37,45.86,46.14,289700,45.60
2013-11-14,46.42,46.42,45.70,46.23,310100,45.69
2013-11-13,45.83,46.40,45.72,45.99,445400,45.45
2013-11-12,46.11,46.35,45.58,45.99,533600,45.44
2013-11-11,45.92,46.24,45.31,46.04,238500,45.50
2013-11-08,45.49,46.03,45.33,45.94,437400,45.40
2013-11-07,46.31,46.93,45.60,45.64,437700,45.10
2013-11-06,46.29,46.90,46.03,46.35,363700,45.81
2013-11-05,46.90,46.98,46.10,46.26,604700,45.71
2013-11-04,46.11,46.85,45.94,46.74,462800,46.19
2013-11-01,46.00,46.69,45.79,45.90,404900,45.36
2013-10-31,46.02,46.36,45.62,45.91,872800,45.37
2013-10-30,46.19,46.50,45.92,46.19,606400,45.65
2013-10-29,46.26,46.96,46.04,46.31,1247200,45.76
2013-10-28,45.79,46.24,45.60,45.99,411700,45.44
2013-10-25,46.12,46.29,45.56,45.70,521500,45.16
2013-10-24,45.99,46.20,45.75,46.03,817400,45.48
2013-10-23,46.24,46.60,45.85,45.90,656600,45.35
2013-10-22,46.51,46.98,46.12,46.14,712300,45.60
2013-10-21,45.79,46.39,45.74,46.34,688600,45.79
2013-10-18,46.42,46.73,45.72,45.90,670100,45.35
2013-10-17,46.01,46.29,45.40,46.28,705000,45.73
2013-10-16,45.46,45.99,45.32,45.94,1030700,45.39
2013-10-15,45.88,45.97,44.75,45.43,914600,44.89
2013-10-14,45.25,45.83,45.11,45.62,457600,45.08
2013-10-11,45.60,45.65,44.61,45.47,567700,44.94
2013-10-10,45.53,45.73,44.80,45.35,1867600,44.82
2013-10-09,44.36,45.22,44.17,45.20,615000,44.67
2013-10-08,44.44,44.47,44.00,44.30,464400,43.78
2013-10-07,43.70,44.99,43.38,44.44,1091300,43.92
2013-10-04,42.88,43.54,42.62,43.53,551100,43.02
2013-10-03,43.30,43.54,42.78,43.00,722800,42.49
2013-10-02,42.79,43.58,42.66,43.28,661600,42.77
