Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,18.08,18.11,17.95,18.08,5035900,18.08
2014-02-20,17.50,18.07,17.47,17.99,8954200,17.99
2014-02-19,17.57,17.71,17.40,17.62,5089400,17.62
2014-02-18,17.65,17.68,17.36,17.58,5055600,17.58
2014-02-17,17.68,17.77,17.59,17.62,3456400,17.62
2014-02-14,17.60,17.75,17.50,17.61,13174700,17.61
2014-02-13,17.51,17.59,17.33,17.57,13011000,17.57
2014-02-12,17.70,17.76,17.53,17.53,6333900,17.53
2014-02-11,17.65,17.75,17.42,17.61,8182200,17.61
2014-02-10,17.78,17.79,17.48,17.57,4719000,17.57
2014-02-07,17.47,17.75,17.31,17.67,6160800,17.67
2014-02-06,17.28,17.50,17.13,17.42,8945200,17.42
2014-02-05,17.10,17.25,17.02,17.15,5802300,17.15
2014-02-04,17.00,17.34,16.94,17.10,7636400,17.10
2014-02-03,17.42,17.50,17.10,17.13,6088300,17.13
2014-01-31,17.56,17.62,17.25,17.38,9139200,17.38
2014-01-30,17.65,17.85,17.54,17.61,7391800,17.61
2014-01-29,17.77,17.80,17.25,17.62,8436600,17.62
2014-01-28,17.65,17.78,17.56,17.65,7112900,17.65
2014-01-27,17.60,17.81,17.46,17.52,9539000,17.52
2014-01-24,18.29,18.35,17.60,17.68,11893200,17.68
2014-01-23,18.54,18.66,18.26,18.35,7406800,18.35
2014-01-22,18.74,18.78,18.50,18.56,4380800,18.56
2014-01-21,19.05,19.10,18.67,18.71,6645100,18.71
2014-01-20,19.05,19.05,18.93,19.00,3103300,19.00
2014-01-17,18.95,19.10,18.87,19.00,7648000,19.00
2014-01-16,18.94,19.07,18.92,19.03,5378500,19.03
2014-01-15,18.93,19.08,18.75,19.00,13798700,19.00
2014-01-14,18.80,18.91,18.72,18.90,4531200,18.90
2014-01-13,19.00,19.05,18.85,18.91,4625800,18.91
2014-01-10,18.82,19.05,18.80,18.93,7595100,18.93
2014-01-09,18.75,18.94,18.62,18.74,7049800,18.74
2014-01-08,18.66,18.70,18.49,18.67,10123900,18.67
2014-01-07,18.16,18.65,18.14,18.61,18965700,18.61
2014-01-06,18.11,18.36,18.10,18.11,13157300,18.11
2014-01-03,18.12,18.18,17.95,18.09,18766700,18.09
2014-01-02,18.33,18.42,18.04,18.06,8249300,18.06
2014-01-01,18.32,18.32,18.32,18.32,000,18.32
2013-12-31,18.35,18.35,18.24,18.32,2113500,18.32
2013-12-30,18.44,18.47,18.28,18.31,5932800,18.31
2013-12-27,18.39,18.48,18.20,18.41,13926000,18.41
2013-12-26,18.28,18.28,18.28,18.28,000,18.28
2013-12-25,18.28,18.28,18.28,18.28,000,18.28
2013-12-24,18.24,18.30,18.16,18.28,1597400,18.28
2013-12-23,18.12,18.25,18.01,18.16,11808200,18.16
2013-12-20,18.56,18.60,18.40,18.53,14286500,18.15
2013-12-19,18.42,18.56,18.36,18.49,12498000,18.11
2013-12-18,18.21,18.24,18.02,18.19,4989700,17.82
2013-12-17,18.16,18.23,18.08,18.08,7842200,17.71
2013-12-16,17.97,18.34,17.92,18.25,17054900,17.88
2013-12-13,18.12,18.23,17.97,18.00,7336300,17.64
2013-12-12,18.13,18.30,18.05,18.11,7132600,17.74
2013-12-11,18.10,18.42,18.08,18.13,51490200,17.76
2013-12-10,18.15,18.39,18.14,18.15,13815000,17.78
2013-12-09,18.24,18.31,18.07,18.27,11860800,17.89
2013-12-06,18.00,18.21,17.81,18.18,6266700,17.81
2013-12-05,18.33,18.50,18.00,18.00,7575400,17.64
2013-12-04,18.67,18.74,18.33,18.33,27298500,17.95
2013-12-03,18.87,18.97,18.68,18.68,38291900,18.30
2013-12-02,19.30,19.31,19.02,19.15,4939800,18.75
2013-11-29,19.25,19.40,19.25,19.33,6605300,18.93
2013-11-28,19.36,19.40,19.25,19.28,4514100,18.88
2013-11-27,19.34,19.39,19.11,19.29,8070400,18.89
2013-11-26,19.25,19.51,19.03,19.24,18223700,18.84
2013-11-25,18.69,18.74,18.42,18.45,6918700,18.07
2013-11-22,18.50,18.67,18.34,18.65,8540900,18.27
2013-11-21,18.25,18.55,18.19,18.52,4329300,18.14
2013-11-20,18.48,18.59,18.27,18.39,6730500,18.01
2013-11-19,18.74,18.81,18.48,18.50,6626300,18.12
2013-11-18,18.45,18.81,18.32,18.67,12900400,18.28
2013-11-15,18.60,18.67,18.41,18.50,7705300,18.12
2013-11-14,18.50,18.59,18.32,18.55,7849600,18.17
2013-11-13,18.31,18.46,18.25,18.41,8071500,18.03
2013-11-12,18.59,18.59,18.25,18.31,27872900,17.93
2013-11-11,18.85,19.04,18.67,18.93,3544400,18.54
2013-11-08,19.15,19.15,18.67,18.88,7354700,18.49
2013-11-07,19.51,19.85,19.00,19.17,14223400,18.78
2013-11-06,19.63,19.84,19.61,19.77,3555400,19.36
2013-11-05,19.75,19.84,19.48,19.59,4291400,19.19
2013-11-04,19.70,19.88,19.63,19.77,10445300,19.36
2013-11-01,19.80,19.86,19.59,19.67,2257100,19.26
2013-10-31,19.42,19.78,19.36,19.78,5014500,19.37
2013-10-30,19.60,19.94,19.39,19.53,4789300,19.13
2013-10-29,19.14,19.51,19.09,19.51,5659800,19.11
2013-10-28,19.20,19.30,19.03,19.17,2738000,18.78
2013-10-25,19.11,19.40,19.09,19.16,4134000,18.76
2013-10-24,19.26,19.30,19.09,19.21,6420200,18.82
2013-10-23,19.32,19.33,19.02,19.20,4408100,18.81
2013-10-22,19.48,19.56,19.35,19.49,6652700,19.09
2013-10-21,19.44,19.58,19.33,19.53,5020300,19.13
2013-10-18,19.38,19.47,19.20,19.37,19746800,18.97
2013-10-17,19.00,19.30,18.97,19.28,5625600,18.89
2013-10-16,18.75,19.10,18.74,19.06,6660000,18.67
2013-10-15,18.70,18.80,18.61,18.78,5992700,18.39
2013-10-14,18.46,18.64,18.45,18.64,3024500,18.26
2013-10-11,18.65,18.65,18.48,18.58,3237800,18.20
2013-10-10,18.38,18.64,18.29,18.59,8038700,18.21
2013-10-09,18.17,18.40,18.14,18.34,4400400,17.96
2013-10-08,18.18,18.34,18.17,18.25,2857000,17.87
2013-10-07,18.26,18.33,18.09,18.23,3988900,17.85
2013-10-04,18.17,18.38,18.08,18.36,4450700,17.99
2013-10-03,18.48,18.52,18.06,18.19,7925000,17.82
2013-10-02,18.56,18.59,18.35,18.44,5217900,18.06
2013-10-01,18.33,18.60,18.27,18.60,5680800,18.22
2013-09-30,18.30,18.44,18.18,18.33,4786300,17.95
2013-09-27,18.69,18.69,18.41,18.51,5186500,18.13
2013-09-26,18.59,18.66,18.48,18.63,3114600,18.25
2013-09-25,18.30,18.60,18.25,18.56,6571600,18.18
2013-09-24,18.14,18.47,18.14,18.41,3952400,18.03
2013-09-23,18.49,18.55,18.08,18.18,11274100,17.81
2013-09-20,18.26,18.58,18.26,18.50,7971200,18.12
2013-09-19,18.25,18.35,18.17,18.35,6506000,17.98
2013-09-18,18.17,18.20,18.01,18.07,7655100,17.69
2013-09-17,18.31,18.34,18.15,18.22,6253500,17.85
2013-09-16,18.57,18.58,18.27,18.38,5434800,18.00
2013-09-13,18.50,18.53,18.35,18.51,4184600,18.13
2013-09-12,18.51,18.59,18.43,18.53,5032200,18.15
2013-09-11,18.35,18.55,18.24,18.51,5470100,18.13
2013-09-10,18.40,18.52,18.31,18.44,5327300,18.07
2013-09-09,18.34,18.34,18.16,18.19,3027300,17.82
2013-09-06,18.19,18.44,18.12,18.36,6227600,17.99
2013-09-05,18.16,18.23,17.97,18.23,4227300,17.86
2013-09-04,18.05,18.19,17.80,18.14,4642200,17.77
2013-09-03,17.88,18.01,17.71,17.90,6891300,17.53
2013-09-02,17.69,17.92,17.67,17.86,4062600,17.49
2013-08-30,17.90,17.98,17.48,17.56,5072700,17.19
2013-08-29,18.15,18.15,17.82,17.99,3544400,17.62
2013-08-28,17.55,18.19,17.50,18.11,12727000,17.74
2013-08-27,17.76,17.85,17.41,17.55,6415300,17.19
2013-08-26,17.77,17.94,17.66,17.83,2135700,17.46
2013-08-23,17.70,17.89,17.46,17.87,7124600,17.50
2013-08-22,17.38,17.72,17.38,17.61,4260600,17.25
2013-08-21,17.52,17.52,17.18,17.32,5541200,16.96
2013-08-20,17.61,17.61,17.28,17.43,7166800,17.07
2013-08-19,18.08,18.10,17.62,17.64,5898900,17.28
2013-08-16,18.02,18.16,17.95,18.09,5441500,17.72
2013-08-15,18.07,18.07,17.75,18.01,2991300,17.64
2013-08-14,18.11,18.17,17.87,18.05,5439900,17.68
2013-08-13,18.17,18.23,18.02,18.22,3546900,17.85
2013-08-12,18.29,18.30,18.08,18.12,4868100,17.75
2013-08-09,18.16,18.22,17.95,18.17,3284600,17.80
2013-08-08,18.13,18.28,18.02,18.06,3670600,17.69
2013-08-07,18.00,18.15,17.82,18.12,5294900,17.75
2013-08-06,18.25,18.42,17.97,18.08,5796500,17.71
2013-08-05,18.27,18.40,18.22,18.33,4452000,17.95
2013-08-02,18.25,18.30,18.14,18.26,4642800,17.88
2013-08-01,18.05,18.24,17.99,18.23,5710200,17.85
2013-07-31,17.90,18.03,17.83,17.99,7169400,17.62
2013-07-30,17.80,17.97,17.67,17.91,7021200,17.54
2013-07-29,17.69,17.84,17.58,17.71,20847000,17.35
2013-07-26,17.50,17.73,17.47,17.65,5334700,17.29
2013-07-25,17.46,17.49,17.12,17.49,6878200,17.13
2013-07-24,17.22,17.37,17.12,17.34,9984300,16.99
2013-07-23,16.80,17.18,16.80,17.08,7077900,16.72
2013-07-22,16.70,16.87,16.64,16.87,6305100,16.52
2013-07-19,16.80,16.84,16.56,16.69,6481000,16.35
2013-07-18,16.40,16.81,16.37,16.81,9697500,16.46
2013-07-17,16.52,16.67,16.23,16.44,5435600,16.10
2013-07-16,16.70,16.70,16.39,16.42,6011100,16.08
2013-07-15,16.62,16.80,16.51,16.65,3705600,16.31
2013-07-12,16.97,16.97,16.47,16.52,5386500,16.18
2013-07-11,17.07,17.09,16.76,16.88,4639300,16.53
2013-07-10,16.56,16.86,16.48,16.81,5470100,16.46
2013-07-09,17.12,17.20,16.40,16.59,10107800,16.25
2013-07-08,16.75,17.06,16.73,16.99,5046200,16.64
2013-07-05,16.90,16.95,16.53,16.62,4925100,16.28
2013-07-04,16.28,16.90,16.27,16.85,9527000,16.51
2013-07-03,16.30,16.30,15.92,16.24,5204300,15.91
2013-07-02,16.44,16.55,16.36,16.43,17664500,16.10
2013-07-01,16.42,16.59,16.33,16.54,7038700,16.20
2013-06-28,16.48,16.57,16.11,16.21,5386200,15.88
2013-06-27,16.05,16.43,15.89,16.40,9303200,16.06
2013-06-26,15.74,16.23,15.57,16.12,9174800,15.79
2013-06-25,15.94,16.05,15.74,15.82,8513700,15.50
2013-06-24,16.05,16.25,15.70,15.76,62151800,15.43
2013-06-21,16.60,16.63,16.14,16.14,66045900,15.81
2013-06-20,16.99,17.03,16.32,16.36,13230500,16.02
2013-06-19,17.15,17.18,16.95,17.01,7585300,16.21
2013-06-18,17.05,17.17,16.93,17.13,7913500,16.32
2013-06-17,16.95,17.23,16.91,17.03,6600900,16.22
2013-06-14,16.88,17.05,16.85,16.94,5080900,16.14
2013-06-13,16.83,16.99,16.72,16.81,16034400,16.02
2013-06-12,16.83,17.14,16.83,16.91,12899500,16.11
2013-06-11,16.89,16.95,16.62,16.87,11015600,16.07
2013-06-10,16.95,17.07,16.89,16.98,60338700,16.17
2013-06-07,16.78,17.04,16.62,16.93,57526400,16.13
2013-06-06,16.94,17.24,16.73,16.73,5647400,15.94
2013-06-05,17.07,17.31,16.86,16.90,7907500,16.09
2013-06-04,17.32,17.43,17.16,17.22,8661500,16.40
2013-06-03,17.11,17.37,16.86,17.21,9804200,16.39
