Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,2.31,2.32,2.28,2.31,14902200,2.31
2014-02-20,2.31,2.33,2.27,2.31,29293100,2.31
2014-02-19,2.36,2.38,2.32,2.34,23126800,2.34
2014-02-18,2.38,2.39,2.34,2.38,15740000,2.38
2014-02-17,2.39,2.40,2.38,2.38,19314200,2.38
2014-02-14,2.39,2.40,2.36,2.39,25650200,2.39
2014-02-13,2.40,2.40,2.34,2.39,37221900,2.39
2014-02-12,2.32,2.44,2.31,2.39,63498600,2.39
2014-02-11,2.27,2.32,2.25,2.31,46661100,2.31
2014-02-10,2.27,2.27,2.23,2.26,19134400,2.26
2014-02-07,2.24,2.27,2.22,2.27,35587700,2.27
2014-02-06,2.19,2.24,2.17,2.24,56148500,2.24
2014-02-05,2.16,2.19,2.14,2.18,25243400,2.18
2014-02-04,2.14,2.18,2.14,2.15,39218000,2.15
2014-02-03,2.18,2.20,2.14,2.15,25452100,2.15
2014-01-31,2.17,2.19,2.13,2.19,31346900,2.19
2014-01-30,2.15,2.17,2.08,2.16,31143300,2.16
2014-01-29,2.18,2.20,2.08,2.16,42452600,2.16
2014-01-28,2.17,2.19,2.14,2.16,37356800,2.16
2014-01-27,2.12,2.16,2.09,2.14,29670800,2.14
2014-01-24,2.15,2.17,2.08,2.12,51000000,2.12
2014-01-23,2.08,2.16,2.08,2.15,77505800,2.15
2014-01-22,2.04,2.07,1.98,2.03,45777300,2.03
2014-01-21,2.10,2.12,2.05,2.05,21165100,2.05
2014-01-20,2.10,2.11,2.08,2.09,12972300,2.09
2014-01-17,2.12,2.14,2.09,2.11,26012200,2.11
2014-01-16,2.14,2.15,2.12,2.13,26391000,2.13
2014-01-15,2.13,2.15,2.09,2.15,43188100,2.15
2014-01-14,2.10,2.13,2.07,2.13,41928900,2.13
2014-01-13,2.04,2.14,2.04,2.13,80017600,2.13
2014-01-10,2.01,2.04,1.99,2.03,24948600,2.03
2014-01-09,2.04,2.08,1.98,2.00,67559200,2.00
2014-01-08,2.00,2.05,1.95,2.05,59846000,2.05
2014-01-07,1.91,2.00,1.91,2.00,51646900,2.00
2014-01-06,1.84,1.92,1.84,1.92,16781400,1.92
2014-01-03,1.84,1.86,1.82,1.85,13958900,1.85
2014-01-02,1.89,1.90,1.82,1.84,21313100,1.84
2014-01-01,1.90,1.90,1.90,1.90,000,1.90
2013-12-31,1.88,1.90,1.88,1.90,4716100,1.90
2013-12-30,1.88,1.90,1.87,1.89,9158500,1.89
2013-12-27,1.86,1.88,1.86,1.88,9889800,1.88
2013-12-26,1.86,1.86,1.86,1.86,000,1.86
2013-12-25,1.86,1.86,1.86,1.86,000,1.86
2013-12-24,1.84,1.86,1.84,1.86,4684000,1.86
2013-12-23,1.83,1.84,1.81,1.84,9830100,1.84
2013-12-20,1.83,1.84,1.82,1.83,30637400,1.83
2013-12-19,1.80,1.84,1.80,1.82,22721700,1.82
2013-12-18,1.77,1.79,1.76,1.78,17550000,1.78
2013-12-17,1.78,1.79,1.76,1.76,12204500,1.76
2013-12-16,1.75,1.80,1.75,1.78,14164400,1.78
2013-12-13,1.74,1.77,1.74,1.76,10787400,1.76
2013-12-12,1.77,1.78,1.73,1.74,13932700,1.74
2013-12-11,1.78,1.80,1.77,1.77,13201900,1.77
2013-12-10,1.79,1.81,1.78,1.79,9721200,1.79
2013-12-09,1.77,1.79,1.76,1.79,11684800,1.79
2013-12-06,1.76,1.77,1.72,1.77,20241800,1.77
2013-12-05,1.81,1.83,1.75,1.76,22093100,1.76
2013-12-04,1.85,1.86,1.80,1.81,16643300,1.81
2013-12-03,1.89,1.89,1.85,1.85,14881400,1.85
2013-12-02,1.91,1.91,1.86,1.89,10365700,1.89
2013-11-29,1.91,1.94,1.89,1.90,20115900,1.90
2013-11-28,1.87,1.91,1.87,1.91,18960400,1.91
2013-11-27,1.84,1.87,1.83,1.87,17664800,1.87
