Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,6.51,6.52,6.43,6.48,48912200,6.48
2014-02-20,6.42,6.50,6.39,6.50,49875700,6.50
2014-02-19,6.48,6.55,6.41,6.50,42723000,6.50
2014-02-18,6.57,6.57,6.45,6.51,40879900,6.51
2014-02-17,6.56,6.57,6.49,6.56,19333400,6.56
2014-02-14,6.55,6.59,6.50,6.53,55531100,6.53
2014-02-13,6.47,6.53,6.37,6.53,63797100,6.53
2014-02-12,6.56,6.58,6.49,6.51,56904900,6.51
2014-02-11,6.48,6.54,6.43,6.54,37574700,6.54
2014-02-10,6.57,6.58,6.41,6.44,90835900,6.44
2014-02-07,6.49,6.58,6.40,6.55,65739000,6.55
2014-02-06,6.40,6.48,6.34,6.47,113385000,6.47
2014-02-05,6.27,6.36,6.22,6.34,60081300,6.34
2014-02-04,6.21,6.32,6.20,6.27,60638600,6.27
2014-02-03,6.37,6.43,6.21,6.22,66799900,6.22
2014-01-31,6.44,6.44,6.27,6.41,70041900,6.41
2014-01-30,6.38,6.46,6.24,6.43,63988000,6.43
2014-01-29,6.45,6.51,6.24,6.39,80903400,6.39
2014-01-28,6.32,6.41,6.29,6.36,60038400,6.36
2014-01-27,6.37,6.41,6.26,6.26,91087200,6.26
2014-01-24,6.57,6.59,6.32,6.34,113863300,6.34
2014-01-23,6.59,6.70,6.56,6.57,70710100,6.57
2014-01-22,6.69,6.72,6.56,6.61,74693800,6.61
2014-01-21,6.71,6.76,6.64,6.67,54559400,6.67
2014-01-20,6.68,6.71,6.65,6.71,32775300,6.71
2014-01-17,6.73,6.78,6.68,6.71,126356800,6.71
2014-01-16,6.84,6.85,6.72,6.73,74403000,6.73
2014-01-15,6.71,6.83,6.69,6.83,90678300,6.83
2014-01-14,6.75,6.83,6.71,6.81,70681700,6.69
2014-01-13,6.83,6.85,6.78,6.81,61932600,6.69
2014-01-10,6.75,6.82,6.70,6.76,53879000,6.64
2014-01-09,6.80,6.84,6.69,6.73,77460200,6.61
2014-01-08,6.75,6.82,6.65,6.78,73364200,6.67
2014-01-07,6.51,6.74,6.49,6.73,179347500,6.61
2014-01-06,6.41,6.52,6.38,6.49,72342300,6.37
2014-01-03,6.39,6.44,6.35,6.41,60834900,6.30
2014-01-02,6.52,6.54,6.36,6.37,91580200,6.26
2014-01-01,6.51,6.51,6.51,6.51,000,6.39
2013-12-31,6.49,6.52,6.48,6.51,14199100,6.39
2013-12-30,6.52,6.55,6.48,6.50,53468900,6.39
2013-12-27,6.47,6.51,6.44,6.51,57435700,6.40
2013-12-26,6.45,6.45,6.45,6.45,000,6.34
2013-12-25,6.45,6.45,6.45,6.45,000,6.34
2013-12-24,6.42,6.46,6.39,6.45,14763100,6.34
2013-12-23,6.38,6.41,6.32,6.41,87209500,6.30
2013-12-20,6.35,6.37,6.28,6.37,200922200,6.26
2013-12-19,6.26,6.36,6.23,6.32,97673000,6.21
2013-12-18,6.13,6.18,6.07,6.17,81953400,6.06
2013-12-17,6.15,6.18,6.07,6.08,77241500,5.97
