Date,Open,High,Low,Close,Volume,Adj Close
2014-02-20,4.10,4.11,4.01,4.11,12887300,4.11
2014-02-19,3.85,3.98,3.81,3.94,7190800,3.94
2014-02-18,4.13,4.15,3.84,3.88,10217000,3.88
2014-02-17,4.11,4.19,4.06,4.08,7217100,4.08
2014-02-14,4.01,4.12,4.00,4.08,7581200,4.08
2014-02-13,4.08,4.10,3.92,4.02,9011200,4.02
2014-02-12,3.89,4.16,3.87,4.03,20968200,4.03
2014-02-11,3.80,3.89,3.78,3.85,7709000,3.85
2014-02-10,3.73,3.78,3.71,3.78,8019700,3.78
2014-02-07,3.73,3.77,3.65,3.68,8527700,3.68
2014-02-06,3.60,3.72,3.58,3.70,8903500,3.70
2014-02-05,3.66,3.70,3.55,3.61,16451700,3.61
2014-02-04,3.65,3.92,3.64,3.88,12744700,3.88
2014-02-03,3.79,3.82,3.64,3.65,7401900,3.65
2014-01-31,3.88,3.94,3.73,3.79,9174600,3.79
2014-01-30,3.76,3.88,3.71,3.87,8548700,3.87
2014-01-29,3.80,3.85,3.60,3.80,11368900,3.80
2014-01-28,3.56,3.71,3.53,3.70,6191500,3.70
2014-01-27,3.62,3.63,3.40,3.52,8381300,3.52
2014-01-24,3.77,3.80,3.60,3.61,8184400,3.61
2014-01-23,3.70,3.83,3.66,3.76,8545500,3.76
2014-01-22,3.67,3.72,3.60,3.67,7940200,3.67
2014-01-21,3.74,3.78,3.56,3.58,10700500,3.58
2014-01-20,3.77,3.77,3.70,3.75,6281400,3.75
2014-01-17,3.78,3.80,3.70,3.78,6202300,3.78
2014-01-16,3.80,3.86,3.75,3.76,9084600,3.76
2014-01-15,3.68,3.79,3.66,3.78,8983500,3.78
2014-01-14,3.64,3.66,3.50,3.64,10186300,3.64
2014-01-13,3.57,3.67,3.48,3.65,10216700,3.65
2014-01-10,3.33,3.48,3.33,3.47,8825100,3.47
2014-01-09,3.45,3.47,3.32,3.34,9795900,3.34
2014-01-08,3.56,3.59,3.41,3.45,13493900,3.45
2014-01-07,3.54,3.62,3.47,3.55,17894200,3.55
2014-01-06,3.15,3.46,3.10,3.39,13487000,3.39
2014-01-03,3.35,3.38,3.14,3.19,20327700,3.19
2014-01-02,3.15,3.54,3.06,3.43,19322500,3.43
2014-01-01,3.77,3.77,3.77,3.77,000,3.77
2013-12-31,3.78,3.79,3.71,3.77,2650000,3.77
2013-12-30,3.86,3.86,3.76,3.79,3337700,3.79
2013-12-27,3.87,3.88,3.81,3.84,2993700,3.84
2013-12-26,3.82,3.82,3.82,3.82,000,3.82
2013-12-25,3.82,3.82,3.82,3.82,000,3.82
2013-12-24,3.87,3.88,3.80,3.82,1456800,3.82
2013-12-23,3.89,3.92,3.84,3.87,4125800,3.87
2013-12-20,3.80,3.89,3.77,3.88,8396100,3.88
2013-12-19,3.71,3.80,3.69,3.80,7554900,3.80
2013-12-18,3.72,3.72,3.65,3.66,3759800,3.66
2013-12-17,3.72,3.77,3.66,3.67,2907600,3.67
2013-12-16,3.62,3.72,3.61,3.71,5183300,3.71
2013-12-13,3.66,3.73,3.58,3.60,3753800,3.60
2013-12-12,3.75,3.76,3.62,3.66,4644400,3.66
2013-12-11,3.80,3.88,3.76,3.77,3481100,3.77
2013-12-10,3.79,3.85,3.70,3.78,4038200,3.78
2013-12-09,3.70,3.81,3.67,3.78,5288100,3.78
2013-12-06,3.62,3.65,3.47,3.64,5668200,3.64
2013-12-05,3.72,3.77,3.56,3.61,6976600,3.61
2013-12-04,3.75,3.81,3.70,3.72,5928600,3.72
2013-12-03,3.82,3.85,3.65,3.72,6137400,3.72
2013-12-02,3.91,3.91,3.78,3.82,5446600,3.82
