Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,11.35,11.39,11.24,11.36,11271700,11.36
2014-02-20,11.23,11.35,11.22,11.34,15195300,11.34
2014-02-19,11.25,11.41,11.20,11.36,12602900,11.36
2014-02-18,11.32,11.33,11.19,11.29,14561600,11.29
2014-02-17,11.38,11.39,11.28,11.29,13820300,11.29
2014-02-14,11.29,11.40,11.23,11.35,17441200,11.35
2014-02-13,11.26,11.34,11.17,11.34,16586600,11.34
2014-02-12,11.36,11.36,11.23,11.31,15082800,11.31
2014-02-11,11.34,11.39,11.23,11.35,16247800,11.35
2014-02-10,11.47,11.48,11.23,11.28,16790700,11.28
2014-02-07,11.35,11.47,11.23,11.41,18809100,11.41
2014-02-06,11.16,11.32,11.10,11.29,25079900,11.29
2014-02-05,11.17,11.21,11.00,11.10,22425600,11.10
2014-02-04,11.17,11.28,11.12,11.17,19116900,11.17
2014-02-03,11.43,11.51,11.20,11.23,21766700,11.23
2014-01-31,11.52,11.55,11.27,11.44,23489600,11.44
2014-01-30,11.38,11.56,11.33,11.52,23485000,11.52
2014-01-29,11.52,11.56,11.23,11.39,28574600,11.39
2014-01-28,11.44,11.48,11.31,11.39,24324100,11.39
2014-01-27,11.55,11.58,11.31,11.40,30671100,11.40
2014-01-24,12.01,12.03,11.47,11.55,55088100,11.55
2014-01-23,12.19,12.27,12.07,12.10,25662800,12.10
2014-01-22,12.40,12.44,12.22,12.22,39004200,12.22
2014-01-21,12.57,12.60,12.35,12.37,19842600,12.37
2014-01-20,12.44,12.54,12.39,12.52,8830600,12.52
2014-01-17,12.41,12.54,12.38,12.48,21942900,12.48
2014-01-16,12.41,12.48,12.34,12.41,15721000,12.41
2014-01-15,12.35,12.50,12.28,12.44,26891500,12.44
2014-01-14,12.14,12.31,12.10,12.31,14962100,12.31
2014-01-13,12.16,12.30,12.11,12.26,15606500,12.26
2014-01-10,12.09,12.19,12.07,12.14,22981500,12.14
2014-01-09,11.98,12.17,11.93,12.01,19041400,12.01
2014-01-08,11.90,12.00,11.82,11.97,17516800,11.97
2014-01-07,11.67,11.94,11.62,11.90,32770100,11.90
2014-01-06,11.64,11.77,11.63,11.67,15494000,11.67
2014-01-03,11.59,11.73,11.59,11.68,15213400,11.68
