Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,8.92,8.92,8.75,8.87,1830500,8.87
2014-02-20,8.71,8.86,8.64,8.86,2015900,8.86
2014-02-19,8.81,8.85,8.70,8.79,5836600,8.79
2014-02-18,9.02,9.02,8.64,8.66,2215400,8.66
2014-02-17,9.00,9.08,8.93,8.96,756200,8.96
2014-02-14,8.96,9.10,8.96,9.00,2214100,9.00
2014-02-13,8.92,9.00,8.78,8.97,825400,8.97
2014-02-12,9.07,9.15,8.89,8.98,1759600,8.98
2014-02-11,8.94,9.06,8.89,9.06,1875700,9.06
2014-02-10,8.97,9.02,8.84,8.86,1200400,8.86
2014-02-07,8.97,9.20,8.91,8.96,1633000,8.96
2014-02-06,8.69,9.03,8.66,8.96,1829500,8.96
2014-02-05,8.76,8.86,8.59,8.66,1059500,8.66
2014-02-04,8.77,8.85,8.67,8.80,1591500,8.80
2014-02-03,9.11,9.17,8.82,8.87,2064800,8.87
2014-01-31,9.19,9.33,8.92,9.15,2018400,9.15
2014-01-30,8.92,9.20,8.83,9.15,1840100,9.15
2014-01-29,9.05,9.16,8.73,8.90,1771700,8.90
2014-01-28,8.82,8.98,8.77,8.97,1620700,8.97
2014-01-27,8.77,8.83,8.66,8.76,1922700,8.76
2014-01-24,8.95,9.00,8.66,8.71,2165000,8.71
2014-01-23,9.08,9.18,8.84,8.92,1504700,8.92
2014-01-22,9.30,9.40,9.06,9.08,2100500,9.08
2014-01-21,9.26,9.34,9.25,9.27,1720200,9.27
2014-01-20,9.20,9.27,9.16,9.25,1237700,9.25
2014-01-17,9.20,9.26,9.10,9.21,1133600,9.21
2014-01-16,9.15,9.20,9.08,9.16,1923800,9.16
2014-01-15,9.02,9.19,9.02,9.15,2553500,9.15
2014-01-14,8.88,9.01,8.77,9.01,2452200,9.01
2014-01-13,8.95,9.04,8.85,8.90,956300,8.90
2014-01-10,8.95,9.02,8.85,8.92,2101500,8.92
2014-01-09,8.80,9.05,8.61,8.93,2069600,8.93
2014-01-08,8.98,9.09,8.91,9.00,2302200,9.00
2014-01-07,8.59,9.00,8.51,8.91,2291000,8.91
2014-01-06,8.39,8.67,8.38,8.56,1657700,8.56
2014-01-03,8.23,8.48,8.17,8.43,934800,8.43
2014-01-02,8.39,8.45,8.23,8.23,1464800,8.23
2014-01-01,8.39,8.39,8.39,8.39,000,8.39
2013-12-31,8.37,8.41,8.27,8.39,584900,8.39
2013-12-30,8.46,8.46,8.32,8.38,1064900,8.38
2013-12-27,8.49,8.49,8.32,8.45,1060200,8.45
2013-12-26,8.44,8.44,8.44,8.44,000,8.44
2013-12-25,8.44,8.44,8.44,8.44,000,8.44
2013-12-24,8.36,8.44,8.30,8.44,352000,8.44
2013-12-23,8.28,8.38,8.25,8.34,1992300,8.34
2013-12-20,8.40,8.43,8.26,8.28,4431200,8.28
2013-12-19,8.46,8.72,8.39,8.45,2023800,8.45
2013-12-18,8.34,8.46,8.26,8.35,1308200,8.35
2013-12-17,8.35,8.39,8.25,8.27,829200,8.27
2013-12-16,8.26,8.44,8.23,8.39,798100,8.39
2013-12-13,8.19,8.37,8.15,8.32,831200,8.32
2013-12-12,8.27,8.33,8.15,8.16,899300,8.16
2013-12-11,8.19,8.32,8.08,8.27,1450000,8.27
2013-12-10,8.34,8.38,8.09,8.17,654700,8.17
2013-12-09,8.10,8.26,8.06,8.23,1391500,8.23
2013-12-06,8.14,8.20,7.95,8.08,1114400,8.08
2013-12-05,8.30,8.32,8.15,8.15,799300,8.15
2013-12-04,8.36,8.42,8.21,8.30,1001100,8.30
2013-12-03,8.76,8.76,8.30,8.30,1579300,8.30
2013-12-02,8.64,8.81,8.48,8.75,1577200,8.75
2013-11-29,8.55,8.68,8.54,8.64,1783400,8.64
2013-11-28,8.63,8.68,8.50,8.54,996500,8.54
2013-11-27,8.56,8.62,8.51,8.61,611900,8.61
2013-11-26,8.69,8.69,8.35,8.49,1267300,8.49
2013-11-25,8.44,8.70,8.44,8.68,1784700,8.68
2013-11-22,7.91,8.36,7.91,8.35,2398300,8.35
2013-11-21,8.16,8.16,7.91,7.93,1957800,7.93
2013-11-20,8.38,8.42,8.15,8.18,1312300,8.18
2013-11-19,8.55,8.63,8.34,8.35,1099100,8.35
2013-11-18,8.55,8.71,8.47,8.61,1347200,8.61
2013-11-15,8.72,8.74,8.57,8.59,749100,8.59
2013-11-14,8.79,8.87,8.66,8.73,1024900,8.73
2013-11-13,8.90,8.97,8.63,8.71,1170500,8.71
2013-11-12,9.00,9.05,8.95,8.98,1270000,8.98
2013-11-11,9.00,9.02,8.75,8.99,1463000,8.99
2013-11-08,8.91,8.98,8.81,8.96,737700,8.96
2013-11-07,9.05,9.09,8.86,8.93,1966600,8.93
2013-11-06,9.07,9.18,9.00,9.07,963500,9.07
2013-11-05,9.00,9.05,8.93,9.00,2151200,9.00
2013-11-04,8.95,9.08,8.94,8.98,1073900,8.98
2013-11-01,9.00,9.14,8.88,8.88,1787800,8.88
2013-10-31,8.66,9.02,8.48,9.00,2698800,9.00
2013-10-30,8.95,9.09,8.44,8.86,1607600,8.86
