Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,39.31,39.40,38.80,39.38,294100,39.38
2014-02-20,38.88,39.90,38.60,39.10,481500,39.10
2014-02-19,39.35,39.50,39.10,39.21,258400,39.21
2014-02-18,39.40,39.60,39.02,39.31,294900,39.31
2014-02-17,39.62,39.85,39.26,39.31,226100,39.31
2014-02-14,39.46,39.85,39.34,39.66,441100,39.66
2014-02-13,39.50,39.62,39.00,39.36,328600,39.36
2014-02-12,39.40,39.77,39.31,39.60,301200,39.60
2014-02-11,39.10,39.28,38.85,39.16,238800,39.16
2014-02-10,39.04,39.24,38.55,38.60,554600,38.60
2014-02-07,38.99,39.10,38.50,38.70,351700,38.70
2014-02-06,39.12,39.15,38.60,38.81,267500,38.81
2014-02-05,38.79,39.01,38.23,38.74,263300,38.74
2014-02-04,38.16,38.80,38.15,38.64,389900,38.64
2014-02-03,38.85,39.29,38.40,38.40,185300,38.40
2014-01-31,39.35,39.80,38.73,39.03,318400,39.03
2014-01-30,39.60,39.87,39.22,39.35,225800,39.35
2014-01-29,39.75,40.38,39.20,39.70,464000,39.70
2014-01-28,38.85,39.58,38.79,39.28,305200,39.28
2014-01-27,39.12,39.33,38.28,38.73,262300,38.73
2014-01-24,40.24,40.35,39.00,39.08,342200,39.08
2014-01-23,40.31,40.94,39.16,40.12,402000,40.12
2014-01-22,40.40,40.74,40.17,40.26,200100,40.26
2014-01-21,40.50,40.65,40.25,40.35,411000,40.35
2014-01-20,40.50,40.79,40.26,40.49,761100,40.49
2014-01-17,40.93,41.04,40.63,40.79,223200,40.79
2014-01-16,41.40,41.40,40.70,40.93,1120400,40.93
2014-01-15,40.92,41.47,40.60,41.40,354900,40.87
2014-01-14,40.08,41.40,39.80,40.47,536000,39.96
2014-01-13,40.27,41.10,39.97,40.22,939100,39.70
2014-01-10,39.60,40.26,39.47,39.78,446200,39.27
2014-01-09,39.67,40.10,39.28,39.54,1049900,39.04
2014-01-08,39.76,39.80,39.26,39.53,575800,39.03
2014-01-07,39.18,39.59,38.90,39.54,347800,39.04
2014-01-06,39.03,39.50,38.98,39.18,181500,38.68
2014-01-03,38.94,39.20,38.67,38.97,223900,38.47
2014-01-02,39.70,39.80,38.20,38.76,344300,38.27
2014-01-01,39.49,39.49,39.49,39.49,000,38.98
2013-12-31,39.69,39.69,39.41,39.49,122200,38.98
2013-12-30,39.60,39.70,39.35,39.65,337500,39.15
2013-12-27,39.30,39.50,39.13,39.50,315800,39.00
2013-12-26,39.00,39.00,39.00,39.00,000,38.50
2013-12-25,39.00,39.00,39.00,39.00,000,38.50
2013-12-24,39.25,39.30,38.82,39.00,109400,38.50
2013-12-23,37.75,38.90,37.75,38.79,376800,38.30
2013-12-20,37.85,37.92,37.55,37.71,475200,37.23
2013-12-19,37.56,37.95,37.48,37.60,330000,37.12
2013-12-18,37.50,37.89,37.11,37.33,408500,36.85
2013-12-17,37.76,37.90,37.46,37.46,225600,36.98
2013-12-16,37.50,37.99,37.40,37.76,348300,37.28
2013-12-13,37.42,37.86,37.32,37.42,272600,36.94
2013-12-12,37.93,38.17,37.42,37.42,236000,36.94
2013-12-11,37.96,38.35,37.90,38.15,181600,37.66
2013-12-10,37.97,38.35,37.75,37.98,199200,37.50
2013-12-09,38.14,38.29,37.75,38.00,301300,37.52
2013-12-06,37.91,38.20,37.10,37.99,242600,37.51
2013-12-05,38.10,38.40,37.64,37.87,215800,37.38
2013-12-04,38.31,38.92,37.55,38.00,352300,37.52
2013-12-03,39.34,39.49,38.28,38.34,356200,37.85
2013-12-02,39.96,39.96,39.25,39.29,392400,38.79
2013-11-29,39.29,39.92,39.25,39.91,338600,39.40
2013-11-28,39.03,39.62,39.01,39.42,314600,38.91
2013-11-27,38.93,39.24,38.75,39.15,366400,38.65
2013-11-26,38.30,38.95,38.00,38.85,534800,38.35
2013-11-25,39.62,39.74,39.13,39.28,328200,38.78
2013-11-22,39.45,39.60,39.08,39.31,247200,38.81
2013-11-21,38.65,39.34,38.50,39.12,267100,38.63
2013-11-20,39.44,39.44,38.21,38.71,382700,38.22
2013-11-19,39.94,40.00,39.27,39.35,319600,38.85
2013-11-18,39.51,40.10,39.45,39.64,411500,39.14
2013-11-15,39.40,39.70,39.06,39.44,305700,38.93
2013-11-14,38.50,39.40,38.31,39.32,668400,38.82
2013-11-13,38.67,38.74,38.22,38.31,366000,37.82
2013-11-12,38.56,38.75,38.20,38.48,229800,37.99
2013-11-11,38.25,38.75,38.00,38.44,250500,37.95
2013-11-08,37.72,38.33,37.67,38.25,343500,37.76
2013-11-07,38.60,38.68,37.72,37.93,293000,37.45
2013-11-06,38.26,38.69,38.20,38.58,219300,38.08
2013-11-05,38.21,38.33,37.66,37.97,446500,37.49
2013-11-04,38.24,38.38,37.92,37.97,287200,37.49
2013-11-01,38.05,38.19,37.78,37.97,70800,37.48
2013-10-31,37.88,38.16,37.65,37.95,258400,37.47
2013-10-30,38.46,38.80,37.50,38.12,386900,37.64
2013-10-29,37.76,38.60,37.76,38.33,465700,37.85
2013-10-28,38.49,38.69,37.76,37.94,236500,37.46
2013-10-25,37.85,38.45,37.70,38.25,357500,37.76
2013-10-24,37.80,38.20,37.71,37.86,298000,37.38
2013-10-23,38.30,38.30,36.36,37.69,432200,37.22
2013-10-22,38.71,39.15,38.03,38.21,534800,37.72
2013-10-21,37.48,38.61,37.33,38.47,855200,37.99
2013-10-18,36.70,37.00,36.55,37.00,786000,36.53
2013-10-17,36.60,36.80,36.40,36.62,281200,36.16
2013-10-16,36.33,36.54,36.00,36.50,274200,36.04
2013-10-15,35.81,36.43,35.65,36.33,617200,35.87
2013-10-14,35.35,35.70,35.23,35.65,233600,35.20
2013-10-11,35.50,35.53,34.92,35.38,307500,34.93
2013-10-10,34.22,35.45,34.12,35.40,650000,34.95
2013-10-09,34.10,34.17,33.75,33.93,316500,33.50
2013-10-08,34.29,34.30,33.96,34.19,342700,33.75
2013-10-07,34.49,34.53,33.94,34.19,322100,33.76
2013-10-04,34.50,34.62,34.19,34.42,223800,33.99
2013-10-03,34.53,34.72,34.26,34.44,321100,34.00
2013-10-02,34.37,34.67,34.06,34.58,333100,34.14
2013-10-01,33.79,34.39,33.72,34.38,222200,33.94
2013-09-30,33.76,34.10,33.53,33.85,428800,33.42
2013-09-27,34.75,34.75,33.80,34.02,685000,33.59
2013-09-26,35.01,35.17,34.52,34.62,485300,34.18
2013-09-25,35.17,35.24,34.63,34.99,560200,34.54
2013-09-24,35.09,35.37,34.88,35.12,329300,34.67
2013-09-23,35.83,35.87,34.85,34.91,551900,34.47
2013-09-20,35.01,35.80,35.01,35.54,693100,35.09
2013-09-19,35.82,35.82,34.90,35.00,532400,34.55
2013-09-18,35.44,35.55,34.90,35.52,362100,35.07
2013-09-17,35.13,35.35,34.80,35.25,388500,34.80
2013-09-16,34.10,35.09,34.08,35.04,609300,34.59
2013-09-13,33.91,34.02,33.60,33.99,417200,33.55
2013-09-12,34.35,34.40,33.91,34.08,604300,33.65
2013-09-11,34.26,34.30,34.00,34.30,289000,33.86
2013-09-10,34.40,34.40,33.90,34.23,669300,33.79
2013-09-09,33.99,34.31,33.69,34.16,374500,33.73
2013-09-06,34.13,34.32,33.75,33.99,343300,33.55
2013-09-05,33.80,34.20,33.45,34.10,256900,33.67
2013-09-04,33.81,33.90,33.37,33.82,170500,33.39
2013-09-03,33.28,33.96,33.13,33.63,305200,33.21
2013-09-02,33.06,33.60,33.06,33.40,166600,32.98
2013-08-30,33.49,33.59,33.00,33.05,250300,32.63
2013-08-29,33.65,33.82,33.27,33.74,196200,33.31
2013-08-28,33.49,33.84,33.25,33.64,251500,33.21
2013-08-27,33.83,33.99,33.33,33.66,329800,33.23
2013-08-26,34.19,34.19,33.84,33.98,133700,33.55
2013-08-23,34.24,34.43,34.12,34.21,242300,33.77
2013-08-22,33.45,34.20,33.42,34.10,284300,33.67
2013-08-21,33.73,33.81,33.23,33.37,200700,32.95
2013-08-20,33.98,34.06,32.94,33.47,201500,33.04
2013-08-19,34.20,34.20,33.80,33.99,125200,33.56
2013-08-16,34.24,34.24,33.85,34.17,227500,33.73
2013-08-15,34.26,34.40,33.81,34.18,248900,33.74
2013-08-14,34.55,34.55,34.21,34.38,169700,33.94
2013-08-13,34.27,34.47,34.13,34.32,282200,33.88
2013-08-12,34.69,34.69,33.83,34.12,362800,33.69
2013-08-09,34.31,34.50,34.01,34.43,541100,33.99
2013-08-08,33.43,34.10,33.08,33.67,557500,33.25
2013-08-07,32.14,33.81,31.65,33.26,836500,32.84
2013-08-06,33.10,33.16,32.05,32.24,831800,31.83
2013-08-05,33.50,33.60,32.95,33.10,632200,32.68
2013-08-02,34.19,34.19,32.93,33.46,903400,33.03
2013-08-01,34.44,34.67,33.91,33.97,1682300,33.53
2013-07-31,36.82,36.85,34.11,34.28,2030000,33.84
2013-07-30,36.96,37.15,36.72,36.85,598200,36.38
2013-07-29,36.77,37.01,36.43,36.81,170900,36.34
2013-07-26,36.70,36.92,36.40,36.58,330100,36.11
2013-07-25,36.35,36.66,36.13,36.62,243800,36.15
2013-07-24,36.19,36.42,35.88,36.33,242500,35.87
2013-07-23,35.61,36.35,35.61,35.88,195500,35.43
2013-07-22,35.95,36.09,35.58,35.62,148000,35.17
2013-07-19,36.06,36.06,35.45,35.76,390600,35.30
2013-07-18,35.38,36.05,35.31,36.03,187600,35.57
2013-07-17,35.24,36.00,35.13,35.45,312900,35.00
2013-07-16,35.39,35.42,34.91,35.15,337800,34.70
2013-07-15,35.72,35.72,35.18,35.27,156600,34.82
