Date,Open,High,Low,Close,Volume,Adj Close
2014-02-21,37.16,37.40,36.74,36.83,285600,36.83
2014-02-20,36.45,37.27,36.33,37.13,515600,37.13
2014-02-19,37.00,37.06,36.53,36.68,581200,36.68
2014-02-18,38.02,38.05,36.75,36.89,577800,36.89
2014-02-17,38.10,38.39,37.77,37.92,207300,37.92
2014-02-14,37.82,38.05,37.72,37.97,191700,37.97
2014-02-13,37.99,38.08,37.64,37.82,283800,37.82
2014-02-12,37.83,38.10,37.62,37.88,515600,37.88
2014-02-11,37.55,37.81,37.20,37.70,352100,37.70
2014-02-10,37.49,37.79,37.25,37.49,353100,37.49
2014-02-07,37.81,37.97,37.32,37.48,570700,37.48
2014-02-06,38.47,38.54,37.17,37.72,716400,37.72
2014-02-05,38.75,39.00,38.03,38.40,446000,38.40
2014-02-04,39.01,39.21,38.60,38.91,295900,38.91
2014-02-03,39.39,39.59,38.90,39.03,412400,39.03
2014-01-31,39.39,39.61,38.90,39.28,345300,39.28
2014-01-30,39.33,39.53,39.12,39.30,285700,39.30
2014-01-29,39.67,39.91,38.90,39.25,454000,39.25
2014-01-28,40.14,40.14,39.40,39.51,443400,39.51
2014-01-27,39.88,40.10,39.58,39.84,527100,39.84
2014-01-24,40.00,40.33,39.54,39.81,437400,39.81
2014-01-23,40.65,40.69,40.05,40.56,412600,40.56
2014-01-22,41.78,41.88,40.45,40.45,648000,40.45
2014-01-21,41.34,41.78,41.26,41.54,996600,41.54
2014-01-20,40.97,41.27,40.51,41.27,479600,41.27
2014-01-17,41.64,41.69,40.85,41.14,329400,41.14
2014-01-16,41.50,41.74,41.20,41.42,349600,41.42
2014-01-15,41.91,42.00,41.22,41.35,414400,41.35
2014-01-14,41.71,42.10,41.32,41.96,219000,41.96
2014-01-13,41.91,42.24,41.82,42.07,193200,42.07
2014-01-10,41.60,42.24,41.60,42.04,156300,42.04
2014-01-09,42.20,42.20,41.60,41.60,174000,41.60
2014-01-08,41.74,42.22,41.47,42.16,154500,42.16
2014-01-07,41.51,41.81,41.24,41.58,637700,41.58
2014-01-06,41.66,42.22,41.33,41.50,269400,41.50
2014-01-03,41.08,42.10,40.90,41.95,178700,41.95
2014-01-02,41.46,41.76,41.05,41.08,303800,41.08
2014-01-01,41.35,41.35,41.35,41.35,000,41.35
2013-12-31,41.48,41.50,41.20,41.35,132700,41.35
2013-12-30,41.09,41.49,40.92,41.42,191700,41.42
2013-12-27,40.77,41.19,40.25,41.06,165500,41.06
2013-12-26,40.55,40.55,40.55,40.55,000,40.55
2013-12-25,40.55,40.55,40.55,40.55,000,40.55
2013-12-24,40.20,40.85,39.94,40.55,48100,40.55
2013-12-23,40.51,40.76,40.41,40.60,1165900,40.60
2013-12-20,40.57,40.89,40.44,40.76,272300,40.44
2013-12-19,40.00,40.60,39.87,40.57,265300,40.25
2013-12-18,39.22,39.95,39.12,39.85,275400,39.53
2013-12-17,39.01,39.85,38.93,39.25,620800,38.94
