Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,16.57,16.58,16.36,16.43,3218700,16.43
2015-03-17,16.50,16.57,16.32,16.50,2258900,16.50
2015-03-16,16.40,16.62,16.38,16.55,2151800,16.55
2015-03-13,16.33,16.39,16.27,16.35,3368000,16.35
2015-03-12,16.35,16.50,16.25,16.25,3069700,16.25
2015-03-11,16.35,16.43,16.25,16.33,2792200,16.33
2015-03-10,16.42,16.47,16.31,16.34,16886500,16.34
2015-03-09,16.50,16.59,16.37,16.42,16338300,16.42
2015-03-06,16.67,16.75,16.51,16.55,8273800,16.55
2015-03-05,16.58,16.62,16.43,16.61,10797300,16.61
2015-03-04,16.40,16.53,16.16,16.53,79620500,16.53
2015-03-03,17.35,17.43,17.16,17.17,1887300,17.17
2015-03-02,17.49,17.53,17.19,17.28,1204400,17.28
2015-02-27,17.28,17.55,17.28,17.45,2802400,17.45
2015-02-26,17.20,17.34,17.17,17.30,1184500,17.30
2015-02-25,17.33,17.40,17.20,17.29,1709800,17.29
2015-02-24,17.39,17.39,17.15,17.30,1527600,17.30
2015-02-23,17.33,17.37,17.12,17.25,1318500,17.25
2015-02-20,17.54,17.54,17.00,17.30,2110400,17.30
2015-02-19,17.32,17.59,17.25,17.53,1455700,17.53
2015-02-18,17.40,17.72,17.28,17.33,2320600,17.33
2015-02-17,17.30,17.64,17.28,17.39,1241300,17.39
2015-02-16,17.64,17.84,17.34,17.35,1167300,17.35
2015-02-13,17.69,17.82,17.62,17.72,1240500,17.72
2015-02-12,17.10,17.70,17.09,17.64,1737600,17.64
2015-02-11,17.42,17.48,17.08,17.10,1053200,17.10
2015-02-10,16.98,17.45,16.88,17.38,1574100,17.38
2015-02-09,17.20,17.26,16.86,16.94,1517900,16.94
2015-02-06,17.32,17.40,17.16,17.33,917400,17.33
2015-02-05,17.20,17.42,17.14,17.40,1148800,17.40
2015-02-04,17.54,17.64,17.33,17.37,2098900,17.37
2015-02-03,17.35,17.69,17.34,17.59,1093000,17.59
2015-02-02,17.35,17.40,17.05,17.30,1297400,17.30
2015-01-30,17.50,17.72,17.33,17.37,1350900,17.37
2015-01-29,17.41,17.50,17.22,17.50,1567400,17.50
2015-01-28,17.83,17.92,17.50,17.64,1552300,17.64
2015-01-27,17.95,18.05,17.57,17.71,1444800,17.71
2015-01-26,17.69,18.03,17.33,17.97,1353300,17.97
2015-01-23,17.76,17.95,17.71,17.80,1560500,17.80
2015-01-22,17.45,17.79,17.43,17.72,1696900,17.72
2015-01-21,17.69,17.69,17.23,17.49,1673000,17.49
2015-01-20,17.43,17.68,17.43,17.60,1957600,17.60
2015-01-19,17.23,17.45,17.15,17.41,1652600,17.41
2015-01-16,17.20,17.25,17.00,17.23,1378700,17.23
2015-01-15,16.85,17.14,16.59,17.11,2326600,17.11
2015-01-14,16.80,17.04,16.66,16.78,1695000,16.78
2015-01-13,16.75,17.08,16.73,17.01,1316900,17.01
2015-01-12,16.82,17.03,16.73,16.81,1977100,16.81
2015-01-09,16.67,16.86,16.55,16.70,2278600,16.70
2015-01-08,16.70,16.82,16.56,16.75,1459500,16.75
2015-01-07,16.28,16.57,16.26,16.48,1572400,16.48
2015-01-06,16.36,16.40,16.12,16.17,9108200,16.17
2015-01-05,16.42,16.64,16.24,16.28,2201800,16.28
2015-01-02,16.60,16.69,16.41,16.57,994200,16.57
2015-01-01,16.43,16.43,16.43,16.43,000,16.43
2014-12-31,16.31,16.55,16.31,16.43,711700,16.43
2014-12-30,16.58,16.58,16.33,16.33,1278000,16.33
2014-12-29,16.61,16.64,16.42,16.56,1280800,16.56
2014-12-26,16.70,16.70,16.70,16.70,000,16.70
2014-12-25,16.70,16.70,16.70,16.70,000,16.70
2014-12-24,16.68,16.76,16.59,16.70,248900,16.70
2014-12-23,16.58,16.64,16.51,16.63,1700100,16.63
2014-12-22,16.40,16.57,16.39,16.55,1449500,16.55
2014-12-19,16.35,16.50,16.20,16.35,2414500,16.35
2014-12-18,15.90,16.27,15.87,16.22,2181000,16.22
2014-12-17,15.84,15.90,15.56,15.69,3045700,15.69
2014-12-16,15.64,15.94,15.26,15.90,4071300,15.90
2014-12-15,15.94,16.08,15.60,15.64,1615700,15.64
2014-12-12,16.15,16.19,15.94,15.97,3963600,15.97
2014-12-11,16.25,16.49,16.16,16.23,1730600,16.23
2014-12-10,16.34,16.58,16.20,16.27,1888500,16.27
2014-12-09,16.57,16.61,16.15,16.20,2112100,16.20
2014-12-08,16.85,16.92,16.72,16.75,2097100,16.75
2014-12-05,16.95,16.95,16.76,16.92,2260500,16.92
2014-12-04,17.22,17.26,16.69,16.75,1847500,16.75
2014-12-03,17.21,17.32,17.12,17.22,1381000,17.22
2014-12-02,17.25,17.27,17.09,17.16,1402100,17.16
2014-12-01,17.10,17.28,17.08,17.22,1471600,17.22
2014-11-28,17.09,17.27,17.07,17.21,2987800,17.21
2014-11-27,16.92,17.12,16.89,17.09,1738000,17.09
2014-11-26,17.00,17.00,16.69,16.88,2026600,16.88
2014-11-25,16.68,16.99,16.67,16.95,3862500,16.95
2014-11-24,16.67,16.91,16.59,16.72,7976400,16.72
2014-11-21,16.36,16.79,16.36,16.73,2193800,16.73
2014-11-20,16.35,16.41,16.18,16.35,1765700,16.35
2014-11-19,16.32,16.48,16.27,16.38,2768800,16.38
2014-11-18,16.25,16.40,16.22,16.33,12123900,16.33
2014-11-17,16.00,16.32,15.95,16.26,2680700,16.26
2014-11-14,16.11,16.18,16.00,16.11,1695500,16.11
2014-11-13,16.16,16.32,16.00,16.02,4772300,16.02
2014-11-12,16.38,16.47,16.11,16.11,3347200,16.11
2014-11-11,16.60,16.67,16.50,16.52,8179000,16.52
2014-11-10,16.06,16.59,15.98,16.58,6499000,16.58
2014-11-07,16.19,16.36,16.01,16.14,2774000,16.14
2014-11-06,16.10,16.44,16.04,16.11,5473700,16.11
2014-11-05,15.95,16.32,15.94,16.19,11017300,16.19
2014-11-04,16.26,16.42,15.82,15.86,5558500,15.86
2014-11-03,16.65,16.80,16.48,16.57,2973600,16.24
2014-10-31,16.79,16.88,16.35,16.60,2833900,16.27
2014-10-30,16.10,16.50,15.53,16.48,11949300,16.15
2014-10-29,15.86,15.92,15.61,15.76,15492000,15.45
2014-10-28,15.30,15.85,15.30,15.81,4454500,15.50
2014-10-27,15.51,15.54,15.02,15.27,3436600,14.97
2014-10-24,15.23,15.34,15.11,15.31,1296500,15.01
2014-10-23,15.15,15.31,15.00,15.26,1059400,14.96
2014-10-22,14.98,15.23,14.92,15.22,2969000,14.91
2014-10-21,14.59,14.95,14.49,14.95,5304000,14.66
2014-10-20,14.65,14.65,14.44,14.59,1458900,14.29
2014-10-17,14.28,14.68,14.22,14.65,2442400,14.36
2014-10-16,14.32,14.44,13.72,14.19,4352500,13.91
2014-10-15,14.85,14.91,14.21,14.24,48096200,13.96
2014-10-14,14.85,14.94,14.58,14.82,3503600,14.52
2014-10-13,14.75,15.05,14.65,14.99,1817700,14.70
2014-10-10,14.80,14.89,14.56,14.85,2054300,14.56
2014-10-09,15.11,15.18,14.86,14.90,1876600,14.60
2014-10-08,14.95,15.03,14.76,14.98,2055100,14.68
2014-10-07,15.31,15.31,14.97,14.97,1508800,14.67
2014-10-06,15.40,15.60,15.35,15.36,1028800,15.05
2014-10-03,15.26,15.35,15.10,15.31,1562200,15.01
2014-10-02,15.48,15.52,15.13,15.15,1388000,14.85
2014-10-01,15.61,15.76,15.45,15.49,1109800,15.19
2014-09-30,15.57,15.70,15.48,15.64,1324400,15.33
2014-09-29,15.69,15.72,15.41,15.52,1239400,15.21
2014-09-26,15.50,15.75,15.33,15.72,1177700,15.40
