Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,3.05,3.05,3.05,3.05,000,2.94
2015-03-17,3.05,3.05,3.05,3.05,000,2.94
2015-03-16,3.05,3.05,3.05,3.05,000,2.94
2015-03-13,3.05,3.05,3.05,3.05,000,2.94
2015-03-12,3.05,3.05,3.05,3.05,000,2.94
2015-03-11,3.05,3.05,3.05,3.05,000,2.94
2015-03-10,3.05,3.05,3.05,3.05,000,2.94
2015-03-09,3.05,3.05,3.05,3.05,000,2.94
2015-03-06,3.05,3.05,3.05,3.05,000,2.94
2015-03-05,3.05,3.05,3.05,3.05,000,2.94
2015-03-04,3.05,3.05,3.05,3.05,000,2.94
2015-03-03,3.05,3.05,3.05,3.05,000,2.94
2015-03-02,3.05,3.05,3.05,3.05,000,2.94
2015-02-27,3.05,3.05,3.05,3.05,000,2.94
2015-02-26,3.05,3.05,3.05,3.05,000,2.94
2015-02-25,3.05,3.05,3.05,3.05,000,2.94
2015-02-24,3.05,3.05,3.05,3.05,000,2.94
2015-02-23,3.05,3.05,3.05,3.05,000,2.94
2015-02-20,3.02,3.09,2.88,3.05,21496400,2.94
2015-02-19,2.88,3.00,2.88,3.00,20892700,2.89
2015-02-18,2.82,2.88,2.81,2.87,12179900,2.77
2015-02-17,2.72,2.86,2.72,2.79,13677700,2.69
2015-02-16,2.73,2.80,2.71,2.77,11383300,2.67
2015-02-13,2.70,2.76,2.68,2.70,22546500,2.60
2015-02-12,2.60,2.69,2.52,2.68,18883400,2.58
2015-02-11,2.70,2.70,2.56,2.57,17453000,2.47
2015-02-10,2.67,2.73,2.61,2.71,14824900,2.61
2015-02-09,2.70,2.70,2.62,2.69,11824600,2.59
2015-02-06,2.74,2.78,2.70,2.71,9462500,2.61
2015-02-05,2.64,2.74,2.61,2.73,10799100,2.63
2015-02-04,2.80,2.82,2.66,2.70,12009100,2.60
2015-02-03,2.75,2.84,2.73,2.78,16016400,2.68
2015-02-02,2.63,2.71,2.48,2.71,13695600,2.61
2015-01-30,2.69,2.72,2.58,2.61,11376500,2.51
2015-01-29,2.72,2.73,2.63,2.70,16266100,2.60
2015-01-28,2.77,2.79,2.68,2.73,15542100,2.63
2015-01-27,2.83,2.87,2.71,2.73,13048600,2.63
2015-01-26,2.66,2.66,2.66,2.66,000,2.56
2015-01-23,2.85,2.87,2.56,2.66,17059700,2.56
2015-01-22,2.85,2.93,2.81,2.83,11579800,2.73
2015-01-21,2.87,2.88,2.75,2.84,11366000,2.73
2015-01-20,2.92,2.92,2.70,2.85,15317600,2.75
2015-01-19,2.90,2.97,2.89,2.92,15025900,2.82
2015-01-16,2.77,2.90,2.75,2.88,16722900,2.77
2015-01-15,2.85,2.88,2.70,2.78,16147600,2.68
2015-01-14,2.71,2.99,2.68,2.77,26557200,2.67
2015-01-13,2.64,2.80,2.51,2.75,28282500,2.65
2015-01-12,2.28,2.67,2.28,2.64,33134500,2.54
2015-01-09,2.15,2.27,2.13,2.26,19049900,2.17
2015-01-08,2.26,2.28,2.11,2.15,15763300,2.07
2015-01-07,2.11,2.23,2.11,2.20,21193000,2.12
2015-01-06,1.91,2.20,1.89,2.10,46453900,2.02
2015-01-05,1.95,2.04,1.88,1.89,8591900,1.82
2015-01-02,1.89,1.97,1.86,1.95,10682200,1.88
2015-01-01,1.83,1.83,1.83,1.83,000,1.76
2014-12-31,1.89,1.90,1.81,1.83,7386600,1.76
2014-12-30,1.94,1.94,1.88,1.89,7743200,1.82
2014-12-29,1.96,1.97,1.90,1.97,6382400,1.90
2014-12-26,1.97,1.97,1.97,1.97,000,1.90
2014-12-25,1.97,1.97,1.97,1.97,000,1.90
2014-12-24,1.99,1.99,1.96,1.97,1025100,1.90
2014-12-23,2.00,2.00,1.93,1.97,6024600,1.90
2014-12-22,1.98,2.01,1.95,1.98,9517300,1.91
2014-12-19,2.06,2.06,1.93,1.95,11954500,1.88
2014-12-18,2.06,2.08,2.00,2.01,12005800,1.94
2014-12-17,1.93,2.00,1.90,1.98,16764500,1.91
2014-12-16,2.00,2.00,1.87,1.96,15012800,1.89
2014-12-15,2.04,2.10,1.92,1.96,20431900,1.89
2014-12-12,2.05,2.12,2.02,2.03,7304700,1.95
2014-12-11,2.01,2.09,1.98,2.07,10126200,2.00
2014-12-10,2.03,2.08,1.96,2.00,10675600,1.93
2014-12-09,2.02,2.03,1.94,1.99,12185100,1.92
2014-12-08,2.10,2.11,2.01,2.05,7328900,1.97
2014-12-05,2.13,2.22,2.08,2.09,19764200,2.01
2014-12-04,2.02,2.14,2.02,2.09,24920600,2.01
2014-12-03,1.92,2.06,1.91,1.97,20729800,1.90
2014-12-02,1.94,1.94,1.81,1.91,17611000,1.84
2014-12-01,2.03,2.03,1.87,1.90,17928400,1.83
2014-11-28,2.02,2.10,1.95,2.04,17170500,1.97
2014-11-27,2.14,2.16,2.02,2.03,21000700,1.96
2014-11-26,2.15,2.18,2.10,2.14,14519800,2.06
2014-11-25,2.05,2.15,2.05,2.14,38712700,2.06
2014-11-24,2.22,2.26,1.98,2.05,28351700,1.97
2014-11-21,2.28,2.37,2.18,2.22,35901100,2.14
2014-11-20,2.44,2.56,2.16,2.27,39656000,2.18
2014-11-19,2.29,2.47,2.25,2.43,71892200,2.34
2014-11-18,2.00,2.46,1.97,2.22,84226700,2.14
2014-11-17,1.55,1.95,1.44,1.84,147226500,1.77
2014-11-14,2.34,2.34,0.90,1.50,207595200,1.44
2014-11-13,2.85,2.85,2.23,2.36,47266600,2.28
2014-11-12,2.85,2.96,2.84,2.89,9076100,2.79
2014-11-11,2.98,3.02,2.85,2.89,17247800,2.78
2014-11-10,2.95,3.03,2.86,2.98,14095400,2.87
2014-11-07,3.00,3.06,2.90,2.95,12702200,2.84
2014-11-06,3.00,3.14,2.80,2.99,27348000,2.88
2014-11-05,3.35,3.35,2.82,2.97,39547600,2.86
2014-11-04,3.45,3.53,3.26,3.29,13549600,3.17
2014-11-03,3.36,3.51,3.35,3.48,16220100,3.35
2014-10-31,3.32,3.39,3.23,3.36,12622400,3.24
2014-10-30,3.23,3.27,3.02,3.21,14248100,3.09
2014-10-29,3.37,3.40,3.20,3.21,16963400,3.09
2014-10-28,3.18,3.38,3.15,3.36,18050900,3.23
2014-10-27,3.33,3.35,3.08,3.15,21927900,3.04
2014-10-24,3.28,3.32,3.22,3.27,15116700,3.15
2014-10-23,3.24,3.32,3.17,3.29,11714900,3.17
2014-10-22,3.39,3.39,3.18,3.28,21254100,3.16
2014-10-21,3.19,3.44,3.17,3.39,13529500,3.26
2014-10-20,3.28,3.30,3.15,3.20,12933300,3.08
2014-10-17,3.00,3.29,3.00,3.26,28199800,3.14
2014-10-16,2.82,2.98,2.66,2.95,50633300,2.84
2014-10-15,3.03,3.04,2.74,2.79,23570500,2.68
