Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,32.46,32.54,31.90,32.46,1076100,32.46
2015-03-17,32.80,32.90,31.97,32.39,998100,32.39
2015-03-16,32.51,33.28,32.51,32.88,693800,32.88
2015-03-13,32.61,32.71,32.17,32.50,711900,32.50
2015-03-12,32.60,32.83,32.31,32.46,1230000,32.46
2015-03-11,32.67,32.96,32.15,32.65,986400,32.65
2015-03-10,32.87,33.13,32.09,32.53,804900,32.53
2015-03-09,33.10,33.30,32.90,33.03,1829100,33.03
2015-03-06,33.28,33.44,32.83,33.24,1561000,33.24
2015-03-05,32.89,33.37,32.78,33.21,1005300,33.21
2015-03-04,32.76,32.92,32.05,32.72,1327700,32.72
2015-03-03,33.30,33.50,32.74,32.79,779900,32.79
2015-03-02,33.22,33.52,32.96,33.23,4235900,33.23
2015-02-27,34.19,34.40,31.81,33.22,1969600,33.22
2015-02-26,33.35,34.37,33.15,34.06,1058100,34.06
2015-02-25,33.89,34.01,33.51,33.87,818700,33.87
2015-02-24,33.88,34.07,33.60,33.99,1374700,33.99
2015-02-23,33.91,34.00,33.67,33.88,1297900,33.88
2015-02-20,33.75,33.87,33.38,33.87,996000,33.87
2015-02-19,33.35,33.85,33.29,33.73,1034500,33.73
2015-02-18,33.14,33.60,33.06,33.40,1099100,33.40
2015-02-17,32.70,33.21,32.56,32.99,922800,32.99
2015-02-16,32.40,33.56,31.31,33.23,1477600,33.23
2015-02-13,32.97,33.48,32.76,33.40,1906300,33.40
2015-02-12,31.32,32.97,31.27,32.74,2074500,32.74
2015-02-11,32.00,32.18,31.32,31.48,1665100,31.48
2015-02-10,30.77,32.14,30.68,32.09,2107000,32.09
2015-02-09,31.03,31.12,30.50,30.55,1038900,30.55
2015-02-06,30.80,31.63,30.74,31.32,1370600,31.32
2015-02-05,30.58,31.17,30.47,30.80,1618100,30.80
2015-02-04,31.31,31.44,30.72,30.95,1448400,30.95
2015-02-03,30.75,31.53,30.73,31.27,1356900,31.27
2015-02-02,30.93,30.93,29.61,30.58,1649200,30.58
2015-01-30,31.29,31.40,30.69,30.86,4947400,30.86
2015-01-29,31.40,31.67,30.88,31.10,1726800,31.10
