Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,38.49,38.49,38.06,38.22,1745800,38.22
2015-03-17,38.49,38.76,38.06,38.33,1040700,38.33
2015-03-16,38.31,38.69,38.30,38.38,1190900,38.38
2015-03-13,38.01,38.33,37.85,38.24,1756400,38.24
2015-03-12,37.89,38.22,37.71,37.79,14676300,37.79
2015-03-11,37.81,38.23,37.69,38.01,1176300,38.01
2015-03-10,37.69,38.35,37.45,37.54,4127400,37.54
2015-03-09,37.88,37.94,37.28,37.55,1270600,37.55
2015-03-06,38.10,38.42,37.98,38.08,2286700,38.08
2015-03-05,37.52,38.37,37.41,38.02,1687600,38.02
2015-03-04,36.76,37.58,36.42,37.43,1940000,37.43
2015-03-03,36.86,37.25,36.81,36.88,3763400,36.88
2015-03-02,37.19,37.34,36.31,36.86,1978200,36.86
2015-02-27,36.75,37.62,36.17,36.85,3481400,36.85
2015-02-26,36.37,36.62,36.20,36.62,1260800,36.62
2015-02-25,35.97,36.60,35.97,36.42,1339500,36.42
2015-02-24,36.41,36.62,35.81,35.92,2546400,35.92
2015-02-23,36.26,36.72,36.20,36.67,1479800,36.67
2015-02-20,36.10,36.29,35.78,35.94,2828800,35.94
2015-02-19,35.64,36.19,35.54,36.04,1457900,36.04
2015-02-18,35.74,35.99,35.62,35.77,1488400,35.77
2015-02-17,35.50,35.88,35.30,35.47,1476600,35.47
2015-02-16,35.44,35.68,35.42,35.47,7022700,35.47
2015-02-13,35.50,35.74,35.37,35.52,1538500,35.52
2015-02-12,34.76,35.49,34.60,35.39,13048200,35.39
2015-02-11,34.90,35.10,34.65,34.82,1707100,34.82
2015-02-10,34.67,35.00,34.67,34.87,2992600,34.87
2015-02-09,35.19,35.19,34.37,34.55,6270500,34.55
2015-02-06,35.46,35.69,35.29,35.54,3890300,35.54
2015-02-05,35.26,35.66,35.19,35.60,2655100,35.60
2015-02-04,35.29,35.57,35.01,35.50,8826300,35.50
2015-02-03,35.58,35.61,35.29,35.31,3233600,35.31
2015-02-02,35.76,35.79,35.15,35.31,10415100,35.31
2015-01-30,35.60,35.90,35.40,35.59,10870600,35.59
2015-01-29,35.65,35.80,35.41,35.66,1966800,35.34
2015-01-28,35.19,35.94,35.05,35.86,3393800,35.54
2015-01-27,34.53,35.00,34.44,34.96,4343700,34.64
2015-01-26,33.99,34.51,33.90,34.51,9115700,34.20
2015-01-23,33.82,34.15,33.74,34.06,34871700,33.75
2015-01-22,33.60,33.80,33.18,33.62,11239500,33.32
2015-01-21,33.67,33.70,33.34,33.51,2911900,33.21
2015-01-20,33.53,33.70,33.35,33.50,8157300,33.20
2015-01-19,33.35,33.60,33.30,33.45,2546700,33.15
2015-01-16,32.90,33.35,32.85,33.27,14485400,32.97
2015-01-15,33.75,34.00,32.99,33.89,1762100,33.59
2015-01-14,33.34,34.11,33.30,33.53,3104100,33.23
2015-01-13,33.72,33.83,33.28,33.80,1508400,33.50
2015-01-12,33.31,34.07,33.31,33.76,2896700,33.46
2015-01-09,32.87,33.40,32.62,33.17,2094500,32.87
2015-01-08,32.78,32.91,32.43,32.69,1888900,32.40
2015-01-07,32.68,32.92,32.32,32.44,1614200,32.15
2015-01-06,32.38,33.01,32.17,32.61,1807700,32.32
2015-01-05,32.64,33.06,32.22,32.35,1445000,32.06
2015-01-02,33.10,33.21,32.69,32.86,903600,32.57
2015-01-01,33.08,33.08,33.08,33.08,000,32.79
2014-12-31,32.50,33.18,32.50,33.08,478800,32.79
2014-12-30,32.72,33.06,32.57,32.66,8717900,32.37
2014-12-29,33.13,33.17,32.40,32.73,866500,32.44
2014-12-26,33.20,33.20,33.20,33.20,000,32.90
