Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,68.27,69.77,67.66,69.30,194400,69.30
2015-03-17,70.13,70.31,67.69,68.27,154900,68.27
2015-03-16,69.55,70.50,69.30,70.26,123000,70.26
2015-03-13,69.68,70.06,68.88,69.40,156700,69.40
2015-03-12,69.67,70.35,69.25,69.45,164200,69.45
2015-03-11,68.97,69.90,68.44,69.47,154500,69.47
2015-03-10,69.59,69.69,67.80,68.56,123800,68.56
2015-03-09,68.97,69.81,67.80,69.30,137000,69.30
2015-03-06,69.96,69.96,69.18,69.31,124400,69.31
2015-03-05,68.76,69.80,68.73,69.79,184800,69.79
2015-03-04,68.17,68.74,67.07,68.74,160100,68.74
2015-03-03,69.65,70.00,68.02,68.22,126500,68.22
2015-03-02,70.25,70.50,68.95,69.42,128300,69.42
2015-02-27,68.55,71.50,68.55,70.02,356600,70.02
2015-02-26,69.00,69.04,68.19,68.55,114800,68.55
2015-02-25,68.82,69.74,68.44,68.90,164700,68.90
2015-02-24,66.39,69.37,66.24,68.69,388600,68.69
2015-02-23,66.95,66.95,65.80,66.22,244300,66.22
2015-02-20,65.94,66.21,65.12,65.87,177100,65.87
2015-02-19,65.00,66.21,64.46,66.12,185200,66.12
2015-02-18,65.25,65.90,64.56,65.03,165800,65.03
2015-02-17,63.66,65.21,63.30,64.69,134200,64.69
2015-02-16,65.72,66.14,65.23,65.34,143800,65.34
2015-02-13,65.14,65.88,64.90,65.75,305200,65.75
2015-02-12,62.95,65.03,62.83,64.75,171000,64.75
2015-02-11,64.32,64.47,62.90,62.94,174800,62.94
2015-02-10,62.88,64.16,62.24,64.11,172500,64.11
2015-02-09,63.94,64.17,62.21,62.46,158300,62.46
2015-02-06,64.22,65.00,63.51,64.50,202700,64.50
2015-02-05,64.09,65.22,63.61,64.31,308900,64.31
2015-02-04,64.75,64.91,63.88,64.75,144100,64.75
2015-02-03,62.97,64.85,62.97,64.72,281600,64.72
