Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,9.09,9.11,8.92,9.02,43029100,9.02
2015-03-17,9.18,9.20,9.00,9.08,84106100,9.08
2015-03-16,9.16,9.25,9.13,9.18,34483500,9.18
2015-03-13,9.13,9.16,9.04,9.13,64577300,9.13
2015-03-12,9.02,9.11,9.00,9.09,40033800,9.09
2015-03-11,8.95,9.03,8.88,9.02,35273200,9.02
2015-03-10,8.99,9.01,8.80,8.90,30372800,8.90
2015-03-09,8.95,9.01,8.88,8.99,49129400,8.99
2015-03-06,8.98,9.06,8.93,9.03,31654200,9.03
2015-03-05,8.92,9.00,8.88,8.97,36732800,8.97
2015-03-04,8.86,8.92,8.75,8.89,20962100,8.89
2015-03-03,8.99,9.01,8.79,8.83,27709500,8.83
2015-03-02,8.98,9.05,8.90,8.97,54739600,8.97
2015-02-27,8.88,8.98,8.86,8.98,65956900,8.98
2015-02-26,8.76,8.94,8.76,8.91,28718500,8.91
2015-02-25,8.82,8.87,8.76,8.80,26833100,8.80
2015-02-24,8.93,8.95,8.80,8.86,33116500,8.86
2015-02-23,8.93,8.95,8.78,8.87,39256100,8.87
2015-02-20,8.75,8.89,8.65,8.78,38559400,8.78
2015-02-19,8.70,8.80,8.61,8.79,43807300,8.79
2015-02-18,8.62,8.74,8.61,8.74,46708800,8.74
2015-02-17,8.41,8.62,8.32,8.55,36555900,8.55
2015-02-16,8.47,8.62,8.41,8.44,74838200,8.44
2015-02-13,8.32,8.56,8.28,8.50,57200300,8.50
2015-02-12,8.00,8.29,7.97,8.24,52952800,8.24
2015-02-11,8.04,8.12,7.98,8.04,30287500,8.04
2015-02-10,8.04,8.20,8.00,8.10,29586400,8.10
2015-02-09,8.12,8.15,7.91,8.00,35639900,8.00
2015-02-06,8.16,8.26,8.08,8.24,44835000,8.24
2015-02-05,8.08,8.14,7.95,8.13,32790400,8.13
2015-02-04,8.10,8.31,8.06,8.16,84536400,8.16
2015-02-03,7.72,7.97,7.71,7.93,95233300,7.93
2015-02-02,7.62,7.64,7.39,7.64,59537500,7.64
2015-01-30,7.69,7.70,7.52,7.60,97331100,7.60
2015-01-29,7.60,7.70,7.48,7.61,33863100,7.61
2015-01-28,7.93,7.95,7.56,7.61,84942700,7.61
2015-01-27,7.97,7.99,7.79,7.90,63738400,7.90
2015-01-26,7.94,8.06,7.85,8.01,33437600,8.01
2015-01-23,8.08,8.14,7.89,7.99,56079400,7.99
2015-01-22,7.91,8.06,7.83,7.98,58794700,7.98
2015-01-21,7.86,7.90,7.66,7.86,43842300,7.86
2015-01-20,7.74,7.87,7.70,7.82,47880500,7.82
2015-01-19,7.59,7.71,7.49,7.65,40268100,7.65
2015-01-16,7.45,7.56,7.41,7.53,38686500,7.53
2015-01-15,7.49,7.55,7.21,7.49,51111700,7.49
2015-01-14,7.38,7.59,7.34,7.40,30519000,7.40
2015-01-13,7.37,7.55,7.35,7.48,30433400,7.48
2015-01-12,7.41,7.44,7.25,7.38,45025600,7.38
2015-01-09,7.50,7.55,7.23,7.32,65420200,7.32
2015-01-08,7.61,7.68,7.35,7.56,72591100,7.56
2015-01-07,7.53,7.65,7.44,7.47,34180900,7.47
2015-01-06,7.63,7.68,7.45,7.45,33824000,7.45
2015-01-05,7.86,7.92,7.55,7.57,93605400,7.57
2015-01-02,8.00,8.03,7.85,7.92,91685900,7.92
2015-01-01,7.85,7.85,7.85,7.85,000,7.85
2014-12-31,7.82,7.88,7.80,7.85,9556600,7.85
2014-12-30,7.95,7.95,7.81,7.86,45160600,7.86
2014-12-29,8.01,8.01,7.79,7.97,40883100,7.97
2014-12-26,8.02,8.02,8.02,8.02,000,8.02
2014-12-25,8.02,8.02,8.02,8.02,000,8.02
2014-12-24,8.00,8.02,7.96,8.02,12206700,8.02
2014-12-23,7.93,8.05,7.83,8.04,152860700,8.04
2014-12-22,7.95,8.02,7.84,7.91,132064100,7.91
2014-12-19,8.11,8.13,7.79,7.98,142872100,7.98
2014-12-18,7.96,8.04,7.86,8.03,64645400,8.03
2014-12-17,7.77,7.83,7.64,7.78,90215400,7.78
2014-12-16,7.78,7.88,7.45,7.86,114536700,7.86
2014-12-15,7.96,8.04,7.72,7.72,54404300,7.72
2014-12-12,8.16,8.22,7.93,7.95,104728500,7.95
2014-12-11,8.19,8.32,8.14,8.22,72712400,8.22
2014-12-10,8.36,8.43,8.18,8.23,75636200,8.23
2014-12-09,8.47,8.48,8.28,8.33,54347000,8.33
2014-12-08,8.64,8.68,8.56,8.56,18084800,8.56
2014-12-05,8.55,8.66,8.49,8.66,58037500,8.66
2014-12-04,8.71,8.73,8.31,8.37,60640100,8.37
2014-12-03,8.63,8.73,8.60,8.66,67812800,8.66
2014-12-02,8.55,8.62,8.50,8.61,24271400,8.61
2014-12-01,8.57,8.60,8.47,8.51,32564800,8.51
2014-11-28,8.57,8.64,8.52,8.64,27958300,8.64
2014-11-27,8.56,8.61,8.50,8.58,30152200,8.58
2014-11-26,8.59,8.61,8.46,8.53,61775100,8.53
2014-11-25,8.48,8.63,8.47,8.55,138734600,8.55
2014-11-24,8.45,8.56,8.41,8.48,319571300,8.48
2014-11-21,8.21,8.43,8.19,8.38,101912600,8.38
2014-11-20,8.24,8.25,8.14,8.16,104974000,8.16
2014-11-19,8.73,8.78,8.59,8.64,36492400,8.64
2014-11-18,8.66,8.82,8.63,8.76,107603200,8.76
2014-11-17,8.41,8.70,8.39,8.66,36821700,8.66
2014-11-14,8.52,8.54,8.40,8.52,22579200,8.52
2014-11-13,8.49,8.57,8.35,8.48,34119600,8.48
2014-11-12,8.68,8.69,8.45,8.47,43509700,8.47
2014-11-11,8.71,8.80,8.65,8.69,35232500,8.69
2014-11-10,8.50,8.63,8.44,8.63,24475100,8.63
2014-11-07,8.68,8.72,8.40,8.51,39310300,8.51
2014-11-06,8.66,8.94,8.59,8.68,37716400,8.68
2014-11-05,8.63,8.76,8.53,8.72,25188800,8.72
2014-11-04,8.77,8.86,8.56,8.59,37340600,8.59
2014-11-03,8.87,8.93,8.75,8.78,27301400,8.78
2014-10-31,8.89,8.96,8.76,8.91,41994100,8.91
2014-10-30,8.86,8.89,8.51,8.69,48244100,8.69
2014-10-29,8.95,9.08,8.74,8.82,61964000,8.82
2014-10-28,9.09,9.23,9.06,9.19,57056600,9.19
2014-10-27,9.39,9.39,8.96,9.06,32793800,9.06
2014-10-24,9.15,9.28,9.11,9.24,25098800,9.24
2014-10-23,9.01,9.20,8.95,9.16,34212400,9.16
2014-10-22,9.05,9.09,8.91,9.09,63294000,9.09
2014-10-21,8.77,9.04,8.72,9.02,46478400,9.02
2014-10-20,8.77,8.86,8.66,8.78,40540700,8.78
2014-10-17,8.63,8.83,8.52,8.79,45670600,8.79
2014-10-16,8.82,8.86,8.29,8.57,117976400,8.57
2014-10-15,9.04,9.08,8.65,8.72,57595400,8.72
2014-10-14,9.04,9.09,8.85,9.03,32445400,9.03
2014-10-13,8.98,9.16,8.98,9.07,31618600,9.07
2014-10-10,9.02,9.19,8.99,9.03,57679700,9.03
2014-10-09,9.24,9.24,8.97,9.09,85480300,9.09
2014-10-08,9.16,9.28,9.10,9.12,40857300,9.12
2014-10-07,9.37,9.39,9.19,9.21,42458000,9.21
2014-10-06,9.46,9.52,9.39,9.41,24556600,9.41
2014-10-03,9.35,9.41,9.20,9.37,31014200,9.37
2014-10-02,9.55,9.60,9.23,9.25,57403300,9.25
2014-10-01,9.51,9.65,9.51,9.59,34935200,9.59
2014-09-30,9.46,9.60,9.44,9.55,117404000,9.55
2014-09-29,9.58,9.61,9.34,9.40,38559500,9.40
2014-09-26,9.55,9.70,9.51,9.67,39182500,9.67
2014-09-25,9.62,9.71,9.50,9.56,38412400,9.56
2014-09-24,9.51,9.60,9.40,9.59,28265800,9.59
2014-09-23,9.65,9.65,9.50,9.51,31257200,9.51
2014-09-22,9.67,9.74,9.61,9.64,57203100,9.64
2014-09-19,9.84,9.90,9.72,9.72,78990800,9.72
2014-09-18,9.66,9.79,9.64,9.76,54758300,9.76
2014-09-17,9.55,9.69,9.53,9.63,26142400,9.63
2014-09-16,9.53,9.54,9.44,9.52,21344200,9.52
2014-09-15,9.55,9.63,9.52,9.54,62483500,9.54
2014-09-12,9.60,9.62,9.53,9.61,18291400,9.61
2014-09-11,9.67,9.67,9.54,9.61,17870500,9.61
2014-09-10,9.57,9.65,9.48,9.64,22316900,9.64
2014-09-09,9.67,9.73,9.56,9.57,26670500,9.57
2014-09-08,9.76,9.78,9.63,9.72,15209700,9.72
2014-09-05,9.70,9.81,9.65,9.75,38289000,9.75
2014-09-04,9.39,9.81,9.37,9.77,58394000,9.77
2014-09-03,9.29,9.48,9.27,9.44,35688000,9.44
2014-09-02,9.24,9.32,9.22,9.26,25527700,9.26
2014-09-01,9.24,9.26,9.12,9.23,11365900,9.23
2014-08-29,9.22,9.29,9.10,9.21,18111900,9.21
2014-08-28,9.31,9.35,9.17,9.23,19152900,9.23
2014-08-27,9.34,9.45,9.29,9.35,19944900,9.35
2014-08-26,9.18,9.37,9.18,9.35,59066400,9.35
2014-08-25,9.08,9.22,9.05,9.21,17048400,9.21
2014-08-22,9.05,9.10,8.92,8.97,22189000,8.97
2014-08-21,8.86,9.04,8.82,9.03,18561000,9.03
2014-08-20,8.87,8.90,8.80,8.87,37861100,8.87
2014-08-19,8.88,8.92,8.83,8.87,18129400,8.87
2014-08-18,8.83,8.87,8.76,8.85,22465300,8.85
2014-08-15,8.81,8.91,8.68,8.71,19754800,8.71
2014-08-14,8.78,8.88,8.71,8.80,26034000,8.80
2014-08-13,8.81,8.86,8.78,8.84,17490700,8.84
2014-08-12,8.69,8.86,8.65,8.76,24656700,8.76
2014-08-11,8.81,8.81,8.64,8.70,28247100,8.70
2014-08-08,8.54,8.78,8.51,8.69,26699800,8.69
2014-08-07,8.81,8.84,8.61,8.64,42335800,8.64
2014-08-06,8.82,8.92,8.66,8.81,32317300,8.81
2014-08-05,9.06,9.10,8.86,8.90,30589100,8.90
2014-08-04,9.15,9.16,8.99,9.03,22888600,9.03
2014-08-01,9.23,9.24,9.01,9.05,29949200,9.05
2014-07-31,9.49,9.51,9.17,9.22,46070400,9.22
2014-07-30,9.49,9.60,9.45,9.52,31465900,9.52
2014-07-29,9.40,9.50,9.32,9.41,58163400,9.41
2014-07-28,9.48,9.51,9.30,9.38,23141100,9.38
2014-07-25,9.40,9.52,9.40,9.45,27470200,9.45
2014-07-24,9.18,9.44,9.13,9.42,37591000,9.42
2014-07-23,9.10,9.25,9.08,9.20,26991200,9.20
2014-07-22,8.99,9.20,8.94,9.14,54064900,9.14
2014-07-21,8.95,8.98,8.86,8.91,64074000,8.91
2014-07-18,8.94,8.98,8.88,8.97,29674100,8.97
2014-07-17,9.11,9.13,8.96,9.00,103892600,9.00
2014-07-16,9.03,9.19,8.97,9.14,108521300,9.14
2014-07-15,9.08,9.15,8.91,8.99,267785500,8.99
2014-07-14,9.10,9.16,8.97,9.11,21890100,9.11
2014-07-11,9.12,9.20,8.98,9.04,112478900,9.04
2014-07-10,9.24,9.24,8.94,9.07,293133600,9.07
2014-07-09,9.25,9.37,9.24,9.34,34431300,9.26
2014-07-08,9.42,9.43,9.19,9.22,69773800,9.14
2014-07-07,9.50,9.55,9.39,9.40,24650600,9.32
2014-07-04,9.61,9.65,9.50,9.53,135365500,9.45
2014-07-03,9.50,9.66,9.42,9.64,553334900,9.56
2014-07-02,9.52,9.53,9.40,9.49,222651900,9.41
2014-07-01,9.34,9.49,9.29,9.49,199195100,9.41
2014-06-30,9.40,9.41,9.23,9.31,21500300,9.23
2014-06-27,9.39,9.48,9.32,9.36,21514600,9.28
2014-06-26,9.46,9.48,9.31,9.38,26255800,9.30
2014-06-25,9.53,9.58,9.38,9.45,35637200,9.37
2014-06-24,9.63,9.66,9.56,9.57,79215100,9.49
2014-06-23,9.64,9.67,9.55,9.60,35792200,9.52
2014-06-20,9.69,9.78,9.64,9.64,54812900,9.55
2014-06-19,9.65,9.80,9.64,9.71,31778000,9.63
2014-06-18,9.58,9.64,9.54,9.57,17885500,9.49
2014-06-17,9.54,9.60,9.50,9.58,24117300,9.50
2014-06-16,9.69,9.75,9.57,9.59,29344200,9.50
2014-06-13,9.68,9.78,9.59,9.75,18486900,9.66
2014-06-12,9.74,9.82,9.66,9.71,17203900,9.63
2014-06-11,9.82,9.86,9.71,9.74,26875500,9.66
2014-06-10,9.84,9.91,9.81,9.86,54633600,9.78
2014-06-09,9.88,9.99,9.79,9.91,20788500,9.83
2014-06-06,9.63,9.97,9.61,9.90,46037600,9.82
2014-06-05,9.43,9.70,9.35,9.63,45306600,9.54
2014-06-04,9.37,9.43,9.28,9.40,18190500,9.31
2014-06-03,9.39,9.46,9.32,9.38,32152600,9.30
2014-06-02,9.42,9.47,9.35,9.40,28702500,9.32
2014-05-30,9.32,9.43,9.25,9.40,22551600,9.32
2014-05-29,9.39,9.41,9.30,9.35,13063500,9.27
2014-05-28,9.33,9.42,9.31,9.40,26415500,9.31
2014-05-27,9.24,9.38,9.23,9.34,25511100,9.26
2014-05-26,9.20,9.30,9.18,9.29,47486400,9.21
2014-05-23,9.11,9.19,9.09,9.18,24355300,9.10
2014-05-22,9.08,9.12,9.01,9.12,21688500,9.04
2014-05-21,8.88,9.07,8.83,9.05,31533100,8.97
2014-05-20,8.83,8.96,8.80,8.92,22573600,8.84
2014-05-19,8.86,8.90,8.71,8.86,23450300,8.78
2014-05-16,8.78,8.92,8.70,8.90,33165200,8.82
2014-05-15,9.00,9.06,8.72,8.77,41811300,8.69
2014-05-14,8.98,9.05,8.90,9.02,21393800,8.94
2014-05-13,8.99,9.01,8.90,9.00,21938600,8.92
2014-05-12,8.95,9.01,8.89,8.98,23031600,8.90
2014-05-09,8.99,9.03,8.88,8.94,23797800,8.86
2014-05-08,8.78,9.02,8.78,9.02,32822000,8.94
