Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,6.88,6.89,6.70,6.73,3864800,6.65
2015-03-17,6.95,6.97,6.76,6.86,6710300,6.78
2015-03-16,6.99,7.03,6.94,6.94,39279000,6.86
2015-03-13,6.96,6.99,6.91,6.95,3615900,6.87
2015-03-12,6.89,6.97,6.88,6.93,5517500,6.85
2015-03-11,6.84,6.93,6.79,6.91,3051600,6.83
2015-03-10,6.87,6.90,6.76,6.84,9959400,6.76
2015-03-09,6.85,6.91,6.82,6.86,3266600,6.78
2015-03-06,6.90,6.93,6.86,6.88,2554800,6.80
2015-03-05,6.87,6.93,6.84,6.87,4038900,6.80
2015-03-04,6.88,6.92,6.75,6.86,3601600,6.78
2015-03-03,7.04,7.05,6.86,6.86,4098600,6.78
2015-03-02,7.03,7.09,6.99,7.02,3069700,6.94
2015-02-27,7.07,7.10,6.93,6.99,5130500,6.91
2015-02-26,6.90,7.08,6.88,7.08,4508900,7.00
2015-02-25,6.97,6.99,6.92,6.93,2765700,6.85
2015-02-24,7.01,7.08,6.94,6.97,6491600,6.90
2015-02-23,6.97,7.05,6.93,6.97,5829100,6.90
2015-02-20,6.75,6.88,6.72,6.88,7432400,6.80
2015-02-19,6.65,6.78,6.60,6.77,4348300,6.69
2015-02-18,6.60,6.76,6.59,6.67,4834400,6.60
2015-02-17,6.45,6.63,6.31,6.54,7531900,6.47
2015-02-16,6.60,6.70,6.53,6.55,3564900,6.48
2015-02-13,6.50,6.73,6.47,6.60,6866200,6.53
2015-02-12,6.24,6.50,6.21,6.45,8257300,6.38
2015-02-11,6.29,6.35,6.19,6.21,4540400,6.14
2015-02-10,6.07,6.31,6.05,6.26,5806200,6.19
2015-02-09,6.22,6.25,6.00,6.04,6837200,5.97
2015-02-06,6.20,6.33,6.17,6.30,5706700,6.23
2015-02-05,6.16,6.22,6.13,6.17,4874900,6.10
2015-02-04,6.30,6.32,6.14,6.25,7516800,6.18
2015-02-03,6.24,6.34,6.20,6.28,7875500,6.21
2015-02-02,6.17,6.18,5.88,6.18,11192600,6.10
2015-01-30,6.28,6.32,6.12,6.17,5700500,6.10
2015-01-29,6.18,6.23,6.02,6.19,8852000,6.12
2015-01-28,6.50,6.54,6.18,6.22,6352300,6.15
2015-01-27,6.49,6.59,6.38,6.45,5523000,6.38
2015-01-26,6.46,6.53,6.40,6.51,7255000,6.43
2015-01-23,6.94,6.98,6.50,6.52,10221200,6.45
2015-01-22,6.91,7.02,6.77,6.92,10897800,6.84
2015-01-21,6.77,6.85,6.53,6.85,6666300,6.77
2015-01-20,6.70,6.86,6.70,6.75,5381600,6.68
2015-01-19,6.55,6.72,6.49,6.68,5512000,6.61
2015-01-16,6.54,6.60,6.35,6.53,7208300,6.45
2015-01-15,6.57,6.64,6.40,6.63,5634400,6.55
2015-01-14,6.49,6.66,6.40,6.51,4089400,6.44
2015-01-13,6.39,6.58,6.39,6.58,5554800,6.50
2015-01-12,6.47,6.49,6.32,6.42,4233300,6.35
2015-01-09,6.43,6.54,6.29,6.40,5264900,6.33
2015-01-08,6.50,6.56,6.34,6.49,12569900,6.41
2015-01-07,6.47,6.57,6.34,6.37,4928700,6.30
2015-01-06,6.63,6.63,6.42,6.42,5946200,6.35
2015-01-05,6.86,6.97,6.59,6.59,4313900,6.52
2015-01-02,6.82,7.00,6.73,6.93,4192600,6.85
2015-01-01,6.70,6.70,6.70,6.70,000,6.62
2014-12-31,6.70,6.80,6.69,6.70,1062600,6.62
2014-12-30,6.73,6.82,6.66,6.78,3362900,6.71
2014-12-29,6.90,6.92,6.65,6.76,3477300,6.69
2014-12-26,6.91,6.91,6.91,6.91,000,6.83
2014-12-25,6.91,6.91,6.91,6.91,000,6.83
2014-12-24,6.88,6.92,6.88,6.91,8728900,6.83
2014-12-23,6.91,6.95,6.81,6.89,6419800,6.82
2014-12-22,6.86,6.99,6.85,6.91,4356200,6.83
2014-12-19,7.08,7.09,6.78,6.86,5255900,6.78
2014-12-18,6.95,6.99,6.87,6.95,5166300,6.87
2014-12-17,6.79,6.91,6.73,6.82,4609500,6.74
2014-12-16,6.66,6.91,6.51,6.90,7808800,6.82
2014-12-15,6.82,6.86,6.62,6.62,5178700,6.55
2014-12-12,7.09,7.17,6.80,6.80,7275600,6.72
2014-12-11,7.01,7.22,6.97,7.18,6437000,7.10
2014-12-10,7.20,7.29,7.09,7.14,5247400,7.06
2014-12-09,7.33,7.39,7.11,7.12,12594700,7.04
2014-12-08,7.24,7.44,7.24,7.40,5046500,7.31
2014-12-05,7.09,7.28,7.06,7.28,6066000,7.20
2014-12-04,7.22,7.29,6.92,7.00,6056300,6.92
2014-12-03,7.20,7.30,7.15,7.22,7885300,7.14
2014-12-02,7.11,7.20,7.03,7.19,6731400,7.11
2014-12-01,7.16,7.19,7.01,7.09,10659400,7.01
2014-11-28,7.08,7.21,7.08,7.21,4953300,7.12
2014-11-27,7.03,7.15,7.02,7.13,23722500,7.05
2014-11-26,7.08,7.14,6.95,7.04,8228600,6.96
2014-11-25,6.99,7.20,6.99,7.04,56609700,6.96
2014-11-24,6.84,7.05,6.79,6.98,8492800,6.90
2014-11-21,6.60,6.84,6.57,6.84,7997700,6.76
2014-11-20,6.66,6.66,6.49,6.61,7242500,6.53
2014-11-19,6.62,6.74,6.62,6.66,5976500,6.59
2014-11-18,6.56,6.66,6.54,6.61,17188300,6.53
2014-11-17,6.27,6.57,6.25,6.56,6432100,6.49
2014-11-14,6.30,6.42,6.23,6.36,8296900,6.29
2014-11-13,6.22,6.33,6.15,6.27,5655400,6.20
2014-11-12,6.34,6.36,6.15,6.19,5493500,6.12
2014-11-11,6.18,6.38,6.16,6.35,6612300,6.28
2014-11-10,6.12,6.20,6.03,6.18,6593800,6.11
2014-11-07,6.18,6.22,5.97,6.09,7186700,6.02
2014-11-06,6.27,6.34,6.03,6.16,7684400,6.09
2014-11-05,6.35,6.35,6.20,6.27,4930200,6.20
2014-11-04,6.39,6.52,6.23,6.28,6834500,6.21
2014-11-03,6.51,6.60,6.34,6.38,4664800,6.31
2014-10-31,6.74,6.74,6.57,6.58,6839100,6.48
2014-10-30,6.62,6.70,6.35,6.63,5509400,6.52
2014-10-29,6.80,6.83,6.52,6.58,8920400,6.48
2014-10-28,6.68,6.77,6.64,6.73,6371000,6.63
2014-10-27,6.89,6.90,6.56,6.66,12736800,6.56
2014-10-24,6.70,6.82,6.65,6.72,8504900,6.62
2014-10-23,6.62,6.84,6.61,6.75,7494200,6.64
2014-10-22,6.64,6.68,6.53,6.61,7835000,6.51
2014-10-21,6.25,6.62,6.25,6.59,6580500,6.48
2014-10-20,6.30,6.30,6.16,6.25,6808400,6.15
2014-10-17,6.18,6.37,6.10,6.32,10944800,6.23
2014-10-16,6.28,6.34,5.87,6.13,12327100,6.03
2014-10-15,6.55,6.62,6.11,6.25,9412900,6.15
2014-10-14,6.48,6.59,6.41,6.57,4511400,6.47
2014-10-13,6.38,6.56,6.38,6.52,5041500,6.42
2014-10-10,6.31,6.56,6.30,6.45,6252400,6.35
2014-10-09,6.63,6.70,6.33,6.38,6526600,6.28
2014-10-08,6.61,6.66,6.50,6.51,6599300,6.41
2014-10-07,6.82,6.84,6.66,6.68,5918100,6.57
2014-10-06,6.80,6.95,6.77,6.84,8449200,6.74
2014-10-03,6.63,6.76,6.53,6.74,7049700,6.64
2014-10-02,6.72,6.81,6.54,6.55,13890100,6.44
2014-10-01,6.70,6.78,6.67,6.70,6440500,6.60
2014-09-30,6.66,6.75,6.62,6.72,6054400,6.61
2014-09-29,6.74,6.80,6.57,6.63,5349800,6.52
2014-09-26,6.67,6.88,6.65,6.76,9020200,6.65
2014-09-25,6.75,6.97,6.74,6.80,8073100,6.69
2014-09-24,6.70,6.76,6.55,6.76,4820900,6.65
2014-09-23,6.74,6.78,6.68,6.71,5204500,6.61
2014-09-22,6.82,6.84,6.74,6.78,5713000,6.68
2014-09-19,7.00,7.09,6.85,6.85,13099700,6.75
2014-09-18,6.86,6.99,6.85,6.91,5556800,6.80
2014-09-17,6.80,6.93,6.78,6.82,4249200,6.71
2014-09-16,6.70,6.78,6.61,6.74,3447700,6.64
2014-09-15,6.84,6.87,6.70,6.72,4111500,6.61
2014-09-12,6.83,6.93,6.79,6.91,5216700,6.80
2014-09-11,6.75,6.85,6.72,6.83,4049400,6.72
2014-09-10,6.67,6.75,6.56,6.72,4403000,6.62
2014-09-09,6.83,6.88,6.65,6.70,5012100,6.59
2014-09-08,6.80,6.82,6.73,6.75,3276400,6.65
2014-09-05,6.56,6.85,6.55,6.82,7902100,6.72
2014-09-04,6.44,6.64,6.39,6.62,11077100,6.52
2014-09-03,6.41,6.49,6.40,6.46,3492000,6.36
2014-09-02,6.32,6.43,6.28,6.39,3569800,6.29
2014-09-01,6.31,6.36,6.25,6.32,2317800,6.22
2014-08-29,6.28,6.36,6.26,6.30,2516100,6.20
2014-08-28,6.37,6.40,6.21,6.29,3078800,6.19
2014-08-27,6.33,6.43,6.33,6.39,7479400,6.29
2014-08-26,6.25,6.36,6.24,6.34,4153600,6.24
2014-08-25,6.24,6.28,6.19,6.27,1802100,6.17
2014-08-22,6.18,6.25,6.11,6.16,3071500,6.07
2014-08-21,6.05,6.18,6.00,6.18,3499400,6.09
2014-08-20,6.02,6.06,5.97,6.06,3138500,5.96
2014-08-19,6.02,6.06,6.00,6.03,3453300,5.94
2014-08-18,6.06,6.07,5.93,5.99,3927500,5.89
2014-08-15,6.07,6.10,5.96,5.98,2518700,5.89
2014-08-14,6.10,6.12,6.00,6.03,2635200,5.94
2014-08-13,6.04,6.14,6.03,6.14,3560400,6.04
2014-08-12,5.99,6.09,5.94,6.01,5833300,5.91
2014-08-11,6.01,6.06,5.96,5.99,3391800,5.90
2014-08-08,5.83,6.04,5.78,5.92,5714500,5.82
2014-08-07,6.08,6.21,5.87,5.91,6327400,5.81
2014-08-06,6.16,6.25,6.00,6.09,5151400,6.00
2014-08-05,6.50,6.51,6.16,6.21,6940900,6.11
2014-08-04,6.36,6.50,6.34,6.49,6645900,6.39
2014-08-01,6.41,6.43,6.26,6.31,4482700,6.19
2014-07-31,6.55,6.56,6.34,6.47,7130700,6.35
2014-07-30,6.44,6.55,6.37,6.53,8873000,6.41
2014-07-29,6.40,6.49,6.37,6.43,5658100,6.30
2014-07-28,6.29,6.41,6.26,6.37,11962900,6.24
2014-07-25,6.25,6.30,6.21,6.28,10025200,6.16
2014-07-24,6.18,6.25,6.12,6.25,8879700,6.12
2014-07-23,6.06,6.16,6.03,6.12,5561300,6.00
2014-07-22,5.95,6.10,5.90,6.08,5723700,5.96
2014-07-21,5.91,5.93,5.83,5.90,2327200,5.78
2014-07-18,5.87,5.96,5.83,5.91,6586300,5.79
2014-07-17,5.91,5.99,5.87,5.91,4573000,5.79
2014-07-16,5.80,5.99,5.78,5.95,5574300,5.83
2014-07-15,5.82,5.89,5.68,5.80,3946400,5.68
2014-07-14,5.80,5.89,5.74,5.84,8456400,5.73
2014-07-11,5.61,5.80,5.55,5.69,5587900,5.58
2014-07-10,5.69,5.69,5.43,5.57,10666600,5.46
2014-07-09,5.72,5.78,5.69,5.70,5898000,5.59
2014-07-08,5.80,5.82,5.67,5.68,6197000,5.57
2014-07-07,5.82,5.85,5.78,5.81,3933400,5.70
2014-07-04,5.91,5.97,5.82,5.84,4077300,5.73
2014-07-03,5.86,5.97,5.84,5.95,3259500,5.83
2014-07-02,5.80,5.90,5.74,5.89,8092600,5.77
2014-07-01,5.76,5.78,5.69,5.77,4148800,5.65
2014-06-30,5.85,5.85,5.67,5.72,4198100,5.60
2014-06-27,5.94,5.94,5.81,5.82,3104800,5.70
2014-06-26,5.84,5.94,5.80,5.89,5737100,5.77
2014-06-25,5.77,5.90,5.70,5.79,4526200,5.67
2014-06-24,5.95,5.96,5.73,5.78,4334200,5.67
2014-06-23,5.95,5.97,5.88,5.91,2888700,5.80
2014-06-20,6.01,6.04,5.92,5.93,5142100,5.81
2014-06-19,6.09,6.10,6.02,6.03,3976700,5.91
2014-06-18,6.04,6.06,5.97,6.04,3465900,5.92
2014-06-17,5.97,6.07,5.95,6.01,4684900,5.89
2014-06-16,5.97,6.04,5.90,5.94,7102900,5.83
2014-06-13,6.03,6.03,5.88,6.02,4127100,5.90
2014-06-12,5.97,6.05,5.93,6.04,4182300,5.92
2014-06-11,6.03,6.05,5.87,5.94,3733900,5.82
2014-06-10,6.10,6.12,6.02,6.05,5642900,5.93
2014-06-09,6.10,6.20,5.98,6.10,8241500,5.98
2014-06-06,5.94,6.10,5.92,6.09,5854600,5.97
2014-06-05,5.85,6.04,5.82,5.94,5891100,5.82
2014-06-04,5.74,5.83,5.72,5.83,2732400,5.71
2014-06-03,5.86,5.89,5.72,5.75,3800100,5.64
2014-06-02,5.82,5.89,5.82,5.86,4229900,5.75
2014-05-30,5.69,5.81,5.67,5.81,4505100,5.70
2014-05-29,5.74,5.75,5.60,5.69,2358800,5.58
2014-05-28,5.70,5.76,5.66,5.73,3663500,5.62
2014-05-27,5.59,5.72,5.58,5.71,8182600,5.60
2014-05-26,5.56,5.61,5.55,5.60,3650900,5.49
2014-05-23,5.52,5.56,5.51,5.55,3998000,5.44
2014-05-22,5.48,5.55,5.47,5.52,4415300,5.41
2014-05-21,5.40,5.49,5.36,5.48,4654400,5.37
2014-05-20,5.31,5.46,5.27,5.46,8445400,5.35
2014-05-19,5.24,5.30,5.14,5.26,4718600,5.15
2014-05-16,5.10,5.28,5.10,5.24,7632700,5.14
2014-05-15,5.26,5.29,5.02,5.10,10710300,5.00
2014-05-14,5.35,5.36,5.23,5.27,4833500,5.17
2014-05-13,5.37,5.38,5.29,5.34,5026000,5.23
2014-05-12,5.28,5.38,5.23,5.34,4830300,5.23
2014-05-09,5.45,5.47,5.21,5.26,16691800,5.16
2014-05-08,5.30,5.44,5.29,5.43,6567700,5.32
2014-05-07,5.34,5.36,5.26,5.26,4725000,5.16
2014-05-06,5.38,5.47,5.33,5.39,4962500,5.29
2014-05-05,5.42,5.45,5.30,5.37,4994700,5.26
2014-05-02,5.48,5.53,5.44,5.45,3370400,5.32
2014-05-01,5.51,5.51,5.51,5.51,000,5.37
2014-04-30,5.54,5.56,5.46,5.51,3912300,5.37
2014-04-29,5.49,5.60,5.45,5.59,5272100,5.44
2014-04-28,5.57,5.60,5.38,5.43,7642700,5.28
2014-04-25,5.66,5.73,5.53,5.54,4657700,5.39
2014-04-24,5.87,5.89,5.65,5.73,5229000,5.57
2014-04-23,5.84,5.91,5.66,5.80,9237300,5.64
2014-04-22,5.77,5.80,5.63,5.77,10711100,5.62
2014-04-21,5.70,5.70,5.70,5.70,000,5.55
2014-04-18,5.70,5.70,5.70,5.70,000,5.55
2014-04-17,5.61,5.75,5.55,5.70,4869900,5.55
2014-04-16,5.51,5.61,5.46,5.59,6423200,5.44
2014-04-15,5.65,5.71,5.40,5.42,7573800,5.27
2014-04-14,5.79,5.83,5.53,5.63,9215400,5.48
2014-04-11,5.91,5.95,5.75,5.83,5675100,5.67
2014-04-10,6.15,6.15,5.94,5.97,6686000,5.81
2014-04-09,6.19,6.25,6.01,6.03,8570000,5.87
2014-04-08,6.40,6.42,6.12,6.17,11104200,6.00
2014-04-07,6.40,6.47,6.30,6.41,5945300,6.24
2014-04-04,6.25,6.50,6.24,6.50,10940400,6.32
2014-04-03,6.00,6.25,5.99,6.22,8103500,6.06
2014-04-02,5.97,6.05,5.92,5.98,4841500,5.82
2014-04-01,5.87,5.95,5.86,5.95,11411700,5.79
2014-03-31,5.92,5.96,5.84,5.84,5855800,5.68
2014-03-28,5.93,5.96,5.89,5.90,3509800,5.74
2014-03-27,5.77,5.91,5.75,5.91,3778500,5.75
2014-03-26,5.71,5.79,5.63,5.76,3032900,5.61
2014-03-25,5.64,5.72,5.60,5.65,5210700,5.50
2014-03-24,5.81,5.85,5.57,5.59,4493000,5.44
2014-03-21,5.93,5.95,5.80,5.80,4559500,5.64
2014-03-20,5.88,5.96,5.84,5.90,2852800,5.74
2014-03-19,5.92,5.96,5.89,5.91,2799300,5.75
2014-03-18,5.82,5.94,5.77,5.91,3001800,5.75
2014-03-17,5.69,5.82,5.67,5.79,2469800,5.63
2014-03-14,5.82,5.84,5.58,5.68,5765700,5.52
2014-03-13,5.94,5.97,5.88,5.89,2371000,5.73
2014-03-12,5.92,5.97,5.82,5.90,3182800,5.74
2014-03-11,6.00,6.02,5.94,5.96,2219400,5.80
2014-03-10,5.90,6.03,5.90,5.97,7395100,5.81
2014-03-07,6.01,6.07,5.90,5.91,3538000,5.75
2014-03-06,5.94,6.04,5.93,6.01,5064700,5.85
