Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,39.19,39.20,38.62,38.79,163600,38.79
2015-03-17,39.65,39.70,38.63,39.03,238800,39.03
2015-03-16,39.01,39.70,38.97,39.52,262000,39.52
2015-03-13,38.74,39.01,38.56,39.01,127900,39.01
2015-03-12,38.97,39.15,38.63,38.74,147700,38.74
2015-03-11,38.30,39.10,38.24,39.10,347400,39.10
2015-03-10,38.26,38.26,37.31,38.10,364300,38.10
2015-03-09,38.58,38.58,38.03,38.04,857100,38.04
2015-03-06,39.19,39.31,38.52,38.69,382000,38.69
2015-03-05,38.15,39.45,38.15,39.15,400800,39.15
2015-03-04,38.75,38.94,37.75,38.12,436600,38.12
2015-03-03,39.12,39.12,38.50,38.72,174400,38.72
2015-03-02,38.97,39.14,38.43,38.74,326600,38.74
2015-02-27,39.01,39.60,38.71,38.96,495600,38.96
2015-02-26,39.50,39.78,38.25,39.40,265300,39.40
2015-02-25,39.81,39.95,39.40,39.56,293700,39.56
2015-02-24,39.44,39.89,39.13,39.72,275400,39.72
2015-02-23,39.00,39.29,38.88,39.20,310900,39.20
2015-02-20,37.45,38.51,37.45,38.51,1638600,38.51
2015-02-19,37.42,37.59,37.15,37.56,382300,37.56
2015-02-18,37.40,37.47,37.18,37.21,323600,37.21
2015-02-17,36.75,37.35,36.67,37.01,395800,37.01
2015-02-16,37.31,37.47,36.76,36.76,210500,36.76
2015-02-13,37.60,38.02,37.47,37.47,405400,37.47
2015-02-12,37.00,37.51,36.97,37.51,200200,37.51
2015-02-11,37.35,37.37,36.81,37.06,242300,37.06
2015-02-10,36.55,37.40,36.53,37.26,211900,37.26
2015-02-09,37.17,37.21,36.15,36.72,342900,36.72
2015-02-06,37.00,37.47,36.92,37.19,214000,37.19
2015-02-05,36.42,37.14,36.41,37.14,208400,37.14
2015-02-04,36.74,37.06,36.24,37.00,280100,37.00
2015-02-03,35.50,37.10,35.44,36.93,385700,36.93
2015-02-02,36.40,36.45,35.15,35.50,476000,35.50
2015-01-30,36.71,36.88,36.17,36.46,212700,36.46
2015-01-29,36.40,36.75,36.12,36.75,272600,36.75
2015-01-28,36.99,37.20,36.22,36.69,326100,36.69
2015-01-27,36.80,37.12,36.17,36.85,432100,36.85
2015-01-26,35.83,36.82,34.80,36.69,366700,36.69
2015-01-23,36.00,37.10,35.85,36.26,580400,36.26
2015-01-22,34.99,36.00,34.99,35.83,463400,35.83
2015-01-21,35.12,35.37,34.80,34.99,284500,34.99
2015-01-20,35.45,35.60,35.01,35.09,189500,35.09
2015-01-19,35.47,35.75,35.01,35.21,401200,35.21
2015-01-16,34.02,35.90,33.49,35.47,723800,35.47
2015-01-15,33.94,34.21,32.51,34.03,276700,34.03
2015-01-14,33.83,34.31,33.60,33.68,188600,33.68
2015-01-13,33.90,34.33,33.58,34.32,460300,34.32
2015-01-12,33.80,34.15,33.67,33.89,373600,33.89
2015-01-09,33.49,34.16,33.34,33.66,388900,33.66
2015-01-08,32.74,34.18,32.69,33.62,802600,33.62
2015-01-07,31.82,32.56,31.77,32.40,348600,32.40
2015-01-06,32.14,32.50,31.78,31.78,227100,31.78
2015-01-05,32.85,33.21,32.20,32.31,223800,32.31
2015-01-02,32.29,32.90,32.01,32.89,166600,32.89
