Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,4.12,4.14,4.03,4.05,20981800,4.05
2015-03-17,4.18,4.19,4.10,4.13,15531800,4.13
2015-03-16,4.17,4.22,4.16,4.20,14208400,4.20
2015-03-13,4.19,4.20,4.13,4.16,19795700,4.16
2015-03-12,4.13,4.19,4.13,4.17,19140000,4.17
2015-03-11,4.12,4.16,4.08,4.13,16147200,4.13
2015-03-10,4.15,4.16,4.08,4.11,25553000,4.11
2015-03-09,4.11,4.23,4.08,4.16,26576700,4.16
2015-03-06,3.99,4.17,3.99,4.15,45757400,4.15
2015-03-05,3.99,4.00,3.95,3.98,28795900,3.98
2015-03-04,4.03,4.04,3.95,3.99,24978300,3.99
2015-03-03,4.12,4.17,4.01,4.01,28162600,4.01
2015-03-02,4.16,4.18,4.12,4.13,30649100,4.13
2015-02-27,4.10,4.15,4.07,4.15,38220700,4.15
2015-02-26,4.00,4.12,4.00,4.11,18041300,4.11
2015-02-25,4.05,4.05,4.00,4.01,12094800,4.01
2015-02-24,4.00,4.07,3.98,4.06,33514900,4.06
2015-02-23,4.00,4.02,3.96,3.99,29534600,3.99
2015-02-20,3.99,4.01,3.90,3.93,45657500,3.93
2015-02-19,4.01,4.04,3.98,4.02,30711300,4.02
2015-02-18,4.02,4.05,3.97,4.02,33703700,4.02
2015-02-17,4.01,4.10,3.96,3.98,37328000,3.98
2015-02-16,4.11,4.16,4.10,4.11,14600700,4.11
2015-02-13,3.98,4.18,3.97,4.12,33552600,4.12
2015-02-12,3.90,3.98,3.88,3.96,22632800,3.96
2015-02-11,3.96,3.98,3.88,3.89,14357300,3.89
2015-02-10,3.90,3.99,3.87,3.95,16140900,3.95
2015-02-09,3.94,3.97,3.84,3.89,18136000,3.89
2015-02-06,3.92,3.98,3.88,3.97,20595400,3.97
2015-02-05,3.79,3.90,3.75,3.90,21374900,3.90
2015-02-04,3.91,3.95,3.79,3.85,22799900,3.85
2015-02-03,3.86,3.92,3.85,3.90,24568500,3.90
2015-02-02,3.88,3.89,3.71,3.83,35811000,3.83
2015-01-30,4.00,4.00,3.84,3.86,65299900,3.86
2015-01-29,3.93,4.05,3.90,4.03,29889400,4.03
2015-01-28,4.14,4.14,3.90,3.94,38589900,3.94
