Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,6.82,6.85,6.70,6.85,5319300,6.85
2015-03-17,6.84,6.90,6.66,6.80,3573600,6.80
2015-03-16,6.93,6.97,6.83,6.84,2868100,6.84
2015-03-13,6.93,6.98,6.81,6.91,4846600,6.91
2015-03-12,6.85,7.00,6.85,6.89,5932500,6.89
2015-03-11,6.80,6.90,6.78,6.84,3573200,6.84
2015-03-10,6.93,6.96,6.71,6.79,6229600,6.79
2015-03-09,6.95,6.96,6.87,6.92,3319200,6.92
2015-03-06,6.94,7.10,6.92,6.98,10232300,6.98
2015-03-05,6.79,6.99,6.79,6.93,7623900,6.93
2015-03-04,6.71,6.80,6.62,6.79,5472200,6.79
2015-03-03,6.80,6.87,6.71,6.73,5528900,6.73
2015-03-02,6.80,6.86,6.72,6.80,4918500,6.80
2015-02-27,6.76,6.83,6.64,6.80,4600200,6.80
2015-02-26,6.66,6.80,6.60,6.77,6727600,6.77
2015-02-25,6.50,6.66,6.50,6.65,5697700,6.65
2015-02-24,6.55,6.59,6.45,6.50,4815700,6.50
2015-02-23,6.39,6.64,6.32,6.48,16793500,6.48
2015-02-20,6.24,6.24,6.13,6.21,5885300,6.21
2015-02-19,6.26,6.30,6.16,6.23,4184900,6.23
2015-02-18,6.27,6.33,6.23,6.26,2601000,6.26
2015-02-17,6.21,6.35,6.13,6.24,4007500,6.24
2015-02-16,6.30,6.37,6.23,6.25,3571700,6.25
2015-02-13,6.21,6.35,6.20,6.33,6968900,6.33
2015-02-12,6.10,6.21,6.07,6.18,8527700,6.18
2015-02-11,6.16,6.24,6.12,6.14,6956100,6.14
2015-02-10,6.11,6.19,6.07,6.17,6875800,6.17
2015-02-09,5.99,6.14,5.96,6.10,6665100,6.10
2015-02-06,5.90,6.12,5.90,6.04,9281600,6.04
2015-02-05,5.62,5.95,5.61,5.93,10068600,5.93
2015-02-04,5.70,5.75,5.60,5.69,14352500,5.69
2015-02-03,5.66,5.73,5.59,5.72,4539700,5.72
2015-02-02,5.76,5.78,5.55,5.61,6033800,5.61
2015-01-30,5.86,5.94,5.73,5.75,11056800,5.75
2015-01-29,5.60,5.88,5.57,5.86,5248000,5.86
2015-01-28,5.85,5.85,5.61,5.65,5045600,5.65
2015-01-27,5.80,5.82,5.71,5.80,5067900,5.80
2015-01-26,5.76,5.83,5.68,5.80,6094400,5.80
2015-01-23,5.74,5.84,5.70,5.80,7652000,5.80
2015-01-22,5.74,5.79,5.67,5.70,5924900,5.70
2015-01-21,5.55,5.78,5.55,5.75,8585800,5.75
2015-01-20,5.63,5.73,5.54,5.56,10419600,5.56
2015-01-19,5.61,5.70,5.57,5.59,3346000,5.59
2015-01-16,5.49,5.63,5.49,5.61,4296900,5.61
2015-01-15,5.53,5.54,5.31,5.50,10892500,5.50
2015-01-14,5.28,5.55,5.26,5.47,7256600,5.47
2015-01-13,5.28,5.41,5.26,5.34,7630800,5.34
2015-01-12,5.35,5.39,5.21,5.28,6228700,5.28
2015-01-09,5.59,5.62,5.26,5.30,8744500,5.30
2015-01-08,5.39,5.65,5.32,5.63,4638600,5.63
2015-01-07,5.40,5.41,5.25,5.27,4829600,5.27
2015-01-06,5.46,5.48,5.26,5.35,5297000,5.35
2015-01-05,5.70,5.72,5.46,5.47,3138500,5.47
2015-01-02,5.63,5.74,5.63,5.72,2400900,5.72
2015-01-01,5.63,5.63,5.63,5.63,000,5.63
2014-12-31,5.67,5.71,5.61,5.63,723000,5.63
2014-12-30,5.69,5.71,5.60,5.68,2806700,5.68
2014-12-29,5.62,5.72,5.57,5.71,2714100,5.71
2014-12-26,5.61,5.61,5.61,5.61,000,5.61
2014-12-25,5.61,5.61,5.61,5.61,000,5.61
