Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,17.77,17.80,17.53,17.62,5129000,17.62
2015-03-17,17.80,17.85,17.66,17.76,1674500,17.76
2015-03-16,17.89,17.95,17.63,17.82,2490000,17.82
2015-03-13,17.87,17.99,17.78,17.83,2088900,17.83
2015-03-12,18.07,18.07,17.73,17.80,2292700,17.80
2015-03-11,17.75,18.02,17.65,17.99,6689200,17.99
2015-03-10,17.66,17.75,17.50,17.63,4670400,17.63
2015-03-09,17.47,17.64,17.25,17.64,5414700,17.64
2015-03-06,17.94,17.94,17.42,17.49,2874800,17.49
2015-03-05,17.73,17.92,17.58,17.88,2111000,17.88
2015-03-04,17.90,17.94,17.57,17.67,3223100,17.67
2015-03-03,18.15,18.17,17.77,17.85,5593300,17.85
2015-03-02,18.16,18.19,18.06,18.07,7052800,18.07
2015-02-27,18.02,18.18,17.96,18.07,31527100,18.07
2015-02-26,18.07,18.13,17.79,18.05,9512200,18.05
2015-02-25,17.28,18.13,17.28,17.95,12213600,17.95
2015-02-24,17.10,17.12,16.95,17.10,6378100,17.10
2015-02-23,16.95,17.09,16.90,17.00,14561600,17.00
2015-02-20,16.83,16.89,16.72,16.89,2349000,16.89
2015-02-19,16.75,16.91,16.70,16.83,6859100,16.83
2015-02-18,16.75,16.95,16.70,16.75,4178900,16.75
2015-02-17,16.50,16.64,16.27,16.56,3338300,16.56
2015-02-16,17.00,17.02,16.40,16.51,3860800,16.51
2015-02-13,17.10,17.23,16.91,17.00,4408600,17.00
2015-02-12,16.83,17.04,16.72,17.00,3629100,17.00
2015-02-11,17.12,17.18,16.81,16.87,2895200,16.87
2015-02-10,16.86,17.09,16.74,17.06,2574800,17.06
2015-02-09,17.10,17.13,16.82,16.90,2274700,16.90
2015-02-06,17.35,17.36,16.99,17.24,2588700,17.24
2015-02-05,17.50,17.51,17.11,17.33,5284200,17.33
2015-02-04,17.60,17.61,17.35,17.59,3805100,17.59
2015-02-03,17.62,17.89,17.47,17.81,4448700,17.81
2015-02-02,17.74,17.75,17.06,17.50,2774700,17.50
2015-01-30,18.04,18.05,17.60,17.68,2105200,17.68
2015-01-29,17.58,18.02,17.52,17.97,2926400,17.97
2015-01-28,17.78,17.83,17.45,17.61,2193100,17.61
2015-01-27,17.94,18.00,17.57,17.69,2313700,17.69
2015-01-26,17.42,18.03,17.41,17.95,2519000,17.95
2015-01-23,17.77,17.87,17.47,17.55,3480100,17.55
2015-01-22,17.00,17.80,16.93,17.77,4778400,17.77
2015-01-21,16.96,16.99,16.67,16.91,2872900,16.91
2015-01-20,17.00,17.18,16.75,16.88,2803100,16.88
2015-01-19,16.93,17.03,16.85,16.95,2205200,16.95
2015-01-16,16.50,16.90,16.42,16.87,3136800,16.87
2015-01-15,16.42,16.64,16.01,16.50,2337600,16.50
2015-01-14,16.07,16.38,16.02,16.27,5155300,16.27
2015-01-13,16.24,16.48,16.11,16.22,3546400,16.22
2015-01-12,16.25,16.60,16.06,16.32,4609000,16.32
2015-01-09,16.10,16.40,15.97,16.14,8006100,16.14
2015-01-08,15.84,16.05,15.73,15.94,7227300,15.94
2015-01-07,15.67,15.78,15.55,15.67,2634700,15.67
2015-01-06,15.72,15.85,15.47,15.60,6033500,15.60
2015-01-05,15.95,16.12,15.51,15.56,4183900,15.56
2015-01-02,16.32,16.32,15.87,16.08,13039900,16.08
2015-01-01,16.55,16.55,16.55,16.55,000,16.17
2014-12-31,16.40,16.60,16.33,16.55,1105500,16.17
2014-12-30,16.50,16.58,16.38,16.49,2517100,16.11
2014-12-29,16.48,16.57,16.20,16.57,8813900,16.19
2014-12-26,16.57,16.57,16.57,16.57,000,16.18
2014-12-25,16.57,16.57,16.57,16.57,000,16.18
2014-12-24,16.40,16.70,16.40,16.57,441600,16.18
2014-12-23,16.20,16.51,16.08,16.47,12020600,16.09
2014-12-22,16.10,16.30,15.98,16.17,3675800,15.80
2014-12-19,15.94,16.17,15.77,16.10,19443600,15.73
2014-12-18,15.73,15.95,15.51,15.85,2582300,15.49
