Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,26.49,26.81,26.33,26.81,1639500,26.03
2015-03-17,26.39,26.73,26.35,26.53,1222500,25.76
2015-03-16,26.23,26.51,26.15,26.44,2188800,25.67
2015-03-13,26.26,26.47,26.00,26.12,1662400,25.36
2015-03-12,26.36,26.65,26.14,26.17,1483100,25.41
2015-03-11,26.23,26.46,26.10,26.36,1161500,25.60
2015-03-10,26.36,26.51,26.05,26.08,4344700,25.33
2015-03-09,26.10,26.46,25.73,26.23,7044200,25.46
2015-03-06,26.78,26.81,26.24,26.24,4415500,25.48
2015-03-05,26.39,26.86,26.38,26.76,1478400,25.98
2015-03-04,26.57,26.64,26.05,26.40,2235000,25.63
2015-03-03,27.08,27.25,26.50,26.53,1449100,25.76
2015-03-02,27.44,27.49,27.01,27.03,1627600,26.24
2015-02-27,27.30,27.57,27.30,27.42,1673300,26.62
2015-02-26,27.34,27.36,27.08,27.35,2427900,26.55
2015-02-25,27.45,27.83,27.05,27.39,2134900,26.59
2015-02-24,27.48,27.84,26.82,27.72,3049800,26.91
2015-02-23,27.20,27.41,27.11,27.41,1853800,26.61
2015-02-20,26.93,27.07,26.86,27.00,1330000,26.21
2015-02-19,26.81,27.05,26.74,26.94,870500,26.16
2015-02-18,27.05,27.25,26.84,26.90,1273000,26.12
2015-02-17,26.65,26.99,26.65,26.90,1230600,26.12
2015-02-16,26.86,26.93,26.65,26.75,1135400,25.97
2015-02-13,26.93,27.00,26.76,26.88,1170600,26.10
2015-02-12,26.53,27.00,26.52,26.87,1361500,26.09
2015-02-11,26.59,26.86,26.53,26.69,1264400,25.91
2015-02-10,26.57,27.40,26.35,27.04,1849800,26.25
2015-02-09,27.00,27.01,26.38,26.60,1477500,25.83
2015-02-06,27.30,27.60,27.14,27.21,3902900,26.42
2015-02-05,27.14,27.27,27.00,27.24,2835500,26.45
2015-02-04,27.70,27.86,27.26,27.39,1605700,26.59
2015-02-03,27.58,27.99,27.43,27.67,3051500,26.86
2015-02-02,28.11,28.13,26.97,27.52,1749900,26.72
2015-01-30,28.47,28.55,27.92,28.10,1438300,27.28
2015-01-29,28.26,28.50,28.13,28.45,4610500,27.62
2015-01-28,28.52,28.55,28.05,28.42,1038300,27.60
2015-01-27,28.28,28.54,28.23,28.43,1211300,27.60
2015-01-26,27.78,28.35,27.58,28.25,944400,27.43
2015-01-23,27.65,28.12,27.60,28.05,1643200,27.23
2015-01-22,27.00,27.65,26.85,27.56,2147300,26.75
