Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,20.76,20.91,20.51,20.84,2952500,20.84
2015-03-17,20.82,20.97,20.56,20.73,2367900,20.73
2015-03-16,20.75,20.85,20.54,20.75,2407400,20.75
2015-03-13,20.90,20.97,20.44,20.73,1776000,20.73
2015-03-12,21.03,21.14,20.72,20.81,2056700,20.81
2015-03-11,20.84,21.18,20.81,21.02,1520100,21.02
2015-03-10,21.17,21.22,20.77,20.83,4916700,20.83
2015-03-09,20.88,21.13,20.77,21.11,2533500,21.11
2015-03-06,21.63,21.63,21.01,21.08,4934500,21.08
2015-03-05,21.55,21.65,21.35,21.57,2540200,21.57
2015-03-04,21.50,21.69,21.30,21.55,2849200,21.55
2015-03-03,21.80,21.84,21.48,21.50,2330600,21.50
2015-03-02,21.66,21.77,21.41,21.74,4401900,21.74
2015-02-27,21.32,21.65,21.20,21.59,2535700,21.59
2015-02-26,21.27,21.39,21.23,21.36,2519800,21.36
2015-02-25,21.29,21.34,21.15,21.30,2474700,21.30
2015-02-24,20.96,21.29,20.74,21.25,3022400,21.25
2015-02-23,20.76,20.95,20.65,20.92,2858600,20.92
2015-02-20,20.44,20.62,20.39,20.62,7580200,20.62
2015-02-19,20.42,20.67,20.40,20.51,2648300,20.51
2015-02-18,20.77,20.84,20.31,20.49,4644800,20.49
2015-02-17,20.74,20.83,20.36,20.61,3013200,20.61
2015-02-16,21.16,21.16,20.92,21.02,1844100,21.02
2015-02-13,20.88,21.21,20.74,21.14,3919100,21.14
2015-02-12,20.23,20.89,20.18,20.81,3051100,20.81
2015-02-11,20.63,20.70,20.21,20.25,2290900,20.25
2015-02-10,20.32,20.61,20.16,20.55,2070200,20.55
2015-02-09,20.34,20.35,20.10,20.26,3118400,20.26
2015-02-06,20.39,20.72,20.32,20.56,3378600,20.56
2015-02-05,20.25,20.39,20.00,20.39,1996700,20.39
2015-02-04,20.87,20.90,20.28,20.41,2291700,20.41
2015-02-03,20.80,21.01,20.68,20.88,1930300,20.88
2015-02-02,20.90,20.91,20.38,20.66,2276800,20.66
2015-01-30,21.50,21.70,20.64,20.80,6906500,20.80
2015-01-29,21.08,21.33,20.95,21.33,4214100,21.33
2015-01-28,21.17,21.22,20.81,21.14,4944200,21.14
2015-01-27,20.96,21.18,20.94,21.02,3124500,21.02
2015-01-26,20.60,21.10,20.50,21.01,4600700,21.01
2015-01-23,20.78,21.16,20.68,20.83,3247600,20.83
