Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,39.50,39.67,39.21,39.38,591900,39.38
2015-03-17,39.71,39.91,38.90,39.42,559800,39.42
2015-03-16,38.85,39.72,38.75,39.58,645400,39.58
2015-03-13,37.60,39.08,37.50,38.85,1775300,38.85
2015-03-12,37.00,37.50,36.93,37.44,946500,37.44
2015-03-11,36.96,37.40,36.80,36.97,570500,36.97
2015-03-10,37.03,37.08,36.26,36.81,894700,36.81
2015-03-09,36.70,37.38,36.55,36.90,1065100,36.90
2015-03-06,36.73,37.19,36.56,36.76,583500,36.76
2015-03-05,35.87,37.00,35.78,36.67,894600,36.67
2015-03-04,35.20,35.78,35.12,35.78,4110300,35.78
2015-03-03,35.96,36.50,35.12,35.19,699500,35.19
2015-03-02,36.21,36.37,35.42,35.80,1141600,35.80
2015-02-27,36.67,37.32,36.00,36.26,1313300,36.26
2015-02-26,36.00,38.45,34.50,36.72,4365100,36.72
2015-02-25,36.54,36.86,36.01,36.86,885300,36.86
2015-02-24,36.81,36.96,36.26,36.38,3446600,36.38
2015-02-23,36.51,36.87,36.02,36.80,559800,36.80
2015-02-20,36.69,36.70,35.88,36.22,532100,36.22
2015-02-19,36.59,36.72,36.04,36.65,1030300,36.65
2015-02-18,35.97,36.60,35.87,36.49,852200,36.49
2015-02-17,35.78,35.95,35.20,35.87,423000,35.87
2015-02-16,35.62,35.78,35.50,35.71,549700,35.71
2015-02-13,35.10,35.83,35.00,35.60,967800,35.60
2015-02-12,35.36,35.99,34.37,34.94,1284700,34.94
2015-02-11,35.88,35.88,33.80,35.20,2271900,35.20
2015-02-10,36.15,36.33,35.78,36.12,659800,36.12
2015-02-09,36.42,36.58,35.75,35.96,568500,35.96
2015-02-06,36.45,36.57,36.01,36.50,539700,36.50
2015-02-05,36.51,36.83,36.17,36.50,725500,36.50
2015-02-04,36.88,37.06,36.51,36.65,630200,36.65
2015-02-03,37.07,37.30,36.64,36.64,713500,36.64
2015-02-02,37.35,37.44,36.51,37.00,569800,37.00
2015-01-30,37.48,37.80,37.10,37.25,880200,37.25
2015-01-29,37.60,37.79,36.91,37.24,3281800,37.24
2015-01-28,37.01,37.69,36.56,37.61,1743200,37.61
2015-01-27,36.78,37.40,36.31,36.50,989700,36.50
2015-01-26,35.54,36.84,35.42,36.63,1100300,36.63
2015-01-23,35.25,35.99,35.10,35.61,1149700,35.61
2015-01-22,35.33,35.53,34.67,35.04,935200,35.04
2015-01-21,35.33,35.68,34.85,35.35,905000,35.35
2015-01-20,34.97,35.29,34.49,35.19,861000,35.19
2015-01-19,33.30,34.93,33.21,34.83,1298800,34.83
2015-01-16,32.84,33.23,32.13,33.19,993900,33.19
2015-01-15,32.92,33.28,31.81,33.19,819000,33.19
2015-01-14,32.32,32.96,32.15,32.67,603300,32.67
