Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,5.93,6.03,5.93,6.02,36278000,6.02
2015-03-17,5.96,5.96,5.89,5.94,32138700,5.94
2015-03-16,5.96,6.00,5.94,5.97,60762600,5.97
2015-03-13,5.97,5.99,5.93,5.94,72854000,5.94
2015-03-12,5.98,5.99,5.95,5.95,65506100,5.95
2015-03-11,5.93,6.01,5.93,5.99,25380200,5.99
2015-03-10,5.94,5.95,5.89,5.90,28903400,5.90
2015-03-09,5.89,5.93,5.85,5.93,21501600,5.93
2015-03-06,6.02,6.03,5.93,5.94,26848000,5.94
2015-03-05,6.01,6.05,5.99,6.04,13722100,6.04
2015-03-04,6.00,6.01,5.93,6.01,50458200,6.01
2015-03-03,6.06,6.07,5.95,5.96,22338000,5.96
2015-03-02,6.09,6.15,6.05,6.06,32188800,6.06
2015-02-27,6.13,6.14,6.06,6.11,35877000,6.11
2015-02-26,6.05,6.12,6.03,6.11,40678400,6.11
2015-02-25,6.11,6.15,6.04,6.05,24308700,6.05
2015-02-24,5.99,6.12,5.98,6.10,44111000,6.10
2015-02-23,5.97,5.99,5.92,5.96,15918400,5.96
2015-02-20,5.94,5.96,5.85,5.91,32415200,5.91
2015-02-19,5.80,5.95,5.79,5.93,49903200,5.93
2015-02-18,5.86,5.89,5.78,5.80,24905600,5.80
2015-02-17,5.75,5.83,5.69,5.82,20698400,5.82
2015-02-16,5.85,5.85,5.75,5.77,27843700,5.77
2015-02-13,5.86,5.89,5.84,5.85,23945500,5.85
2015-02-12,5.76,5.89,5.74,5.83,35337300,5.83
2015-02-11,5.91,5.93,5.77,5.78,51690600,5.78
2015-02-10,5.88,5.93,5.82,5.91,26724800,5.91
2015-02-09,5.92,5.93,5.82,5.86,31031700,5.86
2015-02-06,6.02,6.03,5.97,5.99,33248200,5.99
2015-02-05,6.02,6.05,5.97,6.01,35255000,6.01
2015-02-04,6.11,6.15,6.06,6.09,42148400,6.09
2015-02-03,6.11,6.17,6.07,6.12,59431000,6.12
2015-02-02,6.13,6.13,5.98,6.06,30427100,6.06
2015-01-30,6.21,6.24,6.09,6.13,38992300,6.13
2015-01-29,6.11,6.19,6.09,6.18,23055000,6.18
2015-01-28,6.18,6.18,6.06,6.14,36254800,6.14
2015-01-27,6.15,6.18,6.10,6.13,49018700,6.13
2015-01-26,6.02,6.15,6.01,6.13,23265000,6.13
2015-01-23,6.00,6.12,5.98,6.10,47576700,6.10
2015-01-22,5.83,5.97,5.82,5.96,53366000,5.96
2015-01-21,5.74,5.80,5.70,5.77,30331100,5.77
2015-01-20,5.67,5.73,5.66,5.70,25165800,5.70
2015-01-19,5.62,5.68,5.61,5.67,24622600,5.67
2015-01-16,5.50,5.61,5.50,5.59,33657600,5.59
2015-01-15,5.51,5.55,5.35,5.53,42629200,5.53
2015-01-14,5.47,5.58,5.44,5.48,46823900,5.48
2015-01-13,5.49,5.57,5.49,5.54,27056900,5.54
2015-01-12,5.55,5.58,5.47,5.51,43154300,5.51
2015-01-09,5.53,5.61,5.44,5.51,39882000,5.51
2015-01-08,5.54,5.59,5.48,5.57,29829600,5.57
2015-01-07,5.49,5.51,5.43,5.47,23362500,5.47
2015-01-06,5.54,5.54,5.45,5.47,38831800,5.47
2015-01-05,5.55,5.62,5.48,5.49,40732600,5.49
2015-01-02,5.65,5.68,5.54,5.60,42306900,5.60
2015-01-01,5.60,5.60,5.60,5.60,000,5.60
2014-12-31,5.57,5.62,5.56,5.60,10622900,5.60
2014-12-30,5.62,5.63,5.55,5.59,25677700,5.59
2014-12-29,5.60,5.64,5.53,5.64,32838500,5.64
