Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,28.75,29.20,28.60,29.15,10931700,29.15
2015-03-17,28.84,28.90,28.03,28.17,6247400,28.17
2015-03-16,28.42,28.86,28.30,28.81,7230500,28.81
2015-03-13,27.83,28.23,27.77,28.16,6786100,28.16
2015-03-12,27.81,27.89,27.59,27.62,7008100,27.62
2015-03-11,27.47,27.80,27.07,27.65,5012300,27.65
2015-03-10,27.78,27.85,27.22,27.36,4669800,27.36
2015-03-09,27.86,27.88,27.66,27.78,3990200,27.78
2015-03-06,27.95,28.30,27.93,28.06,6659800,28.06
2015-03-05,27.89,27.95,27.67,27.88,6082200,27.88
2015-03-04,28.10,28.16,27.48,27.77,9880700,27.77
2015-03-03,28.40,28.56,28.17,28.17,3508800,28.17
2015-03-02,28.00,28.40,28.00,28.40,3066600,28.40
2015-02-27,27.89,28.11,27.78,28.08,12313000,28.08
2015-02-26,27.80,28.04,27.73,28.04,4971700,28.04
2015-02-25,27.88,28.06,27.83,27.92,6779100,27.92
2015-02-24,27.93,28.17,27.88,28.15,10181300,28.15
2015-02-23,27.68,27.92,27.50,27.79,2968200,27.79
2015-02-20,27.50,27.50,27.01,27.30,4918400,27.30
2015-02-19,26.80,27.58,26.70,27.58,6011600,27.58
2015-02-18,26.52,26.99,26.44,26.89,4883300,26.89
2015-02-17,26.13,26.44,25.97,26.41,2766400,26.41
2015-02-16,26.60,26.61,26.31,26.40,1868200,26.40
2015-02-13,26.50,26.85,26.41,26.65,3427500,26.65
2015-02-12,25.80,26.63,25.75,26.32,4508100,26.32
2015-02-11,26.49,26.49,25.77,25.85,3731500,25.85
2015-02-10,25.70,26.41,25.68,26.41,3920700,26.41
2015-02-09,26.05,26.09,25.46,25.64,4022000,25.64
2015-02-06,26.35,26.38,26.12,26.22,2725800,26.22
2015-02-05,26.11,26.44,26.11,26.40,3250400,26.40
2015-02-04,26.54,26.73,26.32,26.47,4981000,26.47
2015-02-03,26.32,26.66,26.28,26.60,6380100,26.60
2015-02-02,26.25,26.34,25.85,26.12,4808600,26.12
2015-01-30,26.38,26.55,26.05,26.14,10476900,26.14
2015-01-29,26.13,26.42,26.00,26.28,9393200,26.28
2015-01-28,26.90,26.90,26.32,26.46,16797900,26.46
2015-01-27,26.90,27.13,26.50,26.61,6422700,26.61
2015-01-26,26.64,27.10,26.36,27.04,5051500,27.04
2015-01-23,26.25,27.09,26.20,26.60,8975800,26.60
2015-01-22,26.00,26.26,25.57,26.11,7921600,26.11
2015-01-21,25.51,25.97,25.36,25.97,6990300,25.97
2015-01-20,24.82,25.42,24.82,25.42,10022300,25.42
2015-01-19,24.67,24.89,24.55,24.75,5806200,24.75
2015-01-16,24.30,24.69,24.25,24.52,5099800,24.52
2015-01-15,24.88,24.99,23.80,24.43,7650400,24.43
2015-01-14,24.08,24.84,24.04,24.57,6729600,24.57
2015-01-13,23.59,24.48,23.56,24.33,6901600,24.33
2015-01-12,23.65,23.98,23.39,23.62,8794900,23.62
2015-01-09,23.90,23.99,23.25,23.47,5931300,23.47
2015-01-08,23.32,23.93,23.24,23.92,4634100,23.92
2015-01-07,22.83,23.20,22.61,22.96,4434400,22.96
2015-01-06,23.08,23.12,22.68,22.69,12968900,22.69
2015-01-05,23.49,23.88,22.95,22.98,5259300,22.98
2015-01-02,24.00,24.05,23.59,23.78,3200100,23.78
2015-01-01,23.70,23.70,23.70,23.70,000,23.70
2014-12-31,23.84,23.96,23.68,23.70,1440900,23.70
2014-12-30,23.84,23.87,23.68,23.73,3931400,23.73
2014-12-29,23.82,23.89,23.47,23.85,3989600,23.85
2014-12-26,23.91,23.91,23.91,23.91,000,23.91
2014-12-25,23.91,23.91,23.91,23.91,000,23.91
2014-12-24,23.91,24.00,23.86,23.91,306100,23.91
2014-12-23,23.83,23.92,23.67,23.91,9181200,23.91
2014-12-22,23.66,23.85,23.62,23.75,7416300,23.75
2014-12-19,23.88,23.88,23.25,23.64,10500300,23.64
2014-12-18,22.62,23.55,22.49,23.55,11568700,23.55
2014-12-17,22.24,22.56,22.13,22.28,17983400,22.28
2014-12-16,22.17,22.49,21.56,22.44,11487100,22.44
2014-12-15,22.54,22.89,22.08,22.08,4613400,22.08
2014-12-12,23.22,23.24,22.55,22.59,13924000,22.59
2014-12-11,22.95,23.44,22.80,23.30,9323500,23.30
2014-12-10,22.85,22.92,22.26,22.35,5607100,22.35
2014-12-09,23.16,23.20,22.63,22.63,6959200,22.63
2014-12-08,23.49,23.55,23.38,23.38,3108400,23.38
2014-12-05,23.39,23.60,23.27,23.58,5751900,23.58
2014-12-04,23.69,23.78,23.05,23.05,6444100,23.05
2014-12-03,23.44,23.62,23.30,23.58,5463700,23.58
2014-12-02,23.55,23.60,23.36,23.39,2986100,23.39
2014-12-01,23.19,23.55,23.19,23.39,3642900,23.39
