Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,12.53,12.60,12.53,12.57,1390900,12.57
2015-03-17,12.45,12.55,12.45,12.53,3072700,12.53
2015-03-16,12.42,12.49,12.41,12.47,1800500,12.47
2015-03-13,12.44,12.50,12.43,12.43,2145900,12.43
2015-03-12,12.46,12.49,12.45,12.45,1962100,12.45
2015-03-11,12.44,12.49,12.41,12.48,4349100,12.48
2015-03-10,12.30,12.45,12.29,12.42,5537100,12.42
2015-03-09,12.32,12.35,12.30,12.35,2585200,12.35
2015-03-06,12.39,12.43,12.38,12.38,3321600,12.38
2015-03-05,12.44,12.49,12.40,12.40,1153700,12.40
2015-03-04,12.48,12.48,12.40,12.44,4430600,12.44
2015-03-03,12.51,12.52,12.43,12.44,3718600,12.44
2015-03-02,12.50,12.52,12.48,12.52,2697400,12.52
2015-02-27,12.50,12.51,12.41,12.50,1495400,12.50
2015-02-26,12.44,12.52,12.40,12.48,1973500,12.48
2015-02-25,12.43,12.47,12.41,12.47,5598300,12.47
2015-02-24,12.43,12.47,12.40,12.42,1230800,12.42
2015-02-23,12.44,12.47,12.37,12.43,2744500,12.43
2015-02-20,12.42,12.45,12.38,12.41,3107500,12.41
2015-02-19,12.44,12.47,12.42,12.44,2290200,12.44
2015-02-18,12.45,12.47,12.44,12.44,1259600,12.44
2015-02-17,12.52,12.53,12.44,12.44,1980100,12.44
2015-02-16,12.50,12.53,12.50,12.52,2330300,12.52
2015-02-13,12.46,12.50,12.46,12.50,1969300,12.50
2015-02-12,12.46,12.48,12.46,12.47,1566600,12.47
2015-02-11,12.45,12.48,12.45,12.47,4419200,12.47
2015-02-10,12.47,12.49,12.45,12.47,3109100,12.47
2015-02-09,12.50,12.52,12.46,12.48,3359900,12.48
2015-02-06,12.52,12.55,12.49,12.52,1053800,12.52
2015-02-05,12.53,12.55,12.52,12.55,6967200,12.55
2015-02-04,12.57,12.57,12.52,12.55,2081100,12.55
2015-02-03,12.56,12.57,12.53,12.55,1833900,12.55
2015-02-02,12.55,12.56,12.50,12.55,2291100,12.55
2015-01-30,12.57,12.59,12.55,12.55,1243800,12.55
