Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,3.16,3.18,3.14,3.18,5035300,3.18
2015-03-17,3.20,3.20,3.12,3.17,5487100,3.17
2015-03-16,3.17,3.20,3.16,3.19,5621000,3.19
2015-03-13,3.14,3.16,3.13,3.16,5006400,3.16
2015-03-12,3.14,3.14,3.10,3.13,13281400,3.13
2015-03-11,3.10,3.14,3.10,3.12,7937000,3.12
2015-03-10,3.17,3.17,3.08,3.09,12252700,3.09
2015-03-09,3.15,3.18,3.14,3.18,4055600,3.18
2015-03-06,3.18,3.19,3.16,3.17,5930500,3.17
2015-03-05,3.15,3.18,3.15,3.17,5690700,3.17
2015-03-04,3.13,3.15,3.10,3.14,4900500,3.14
2015-03-03,3.17,3.18,3.11,3.11,6185500,3.11
2015-03-02,3.14,3.17,3.14,3.16,5522500,3.16
2015-02-27,3.15,3.15,3.11,3.14,7780100,3.14
2015-02-26,3.11,3.16,3.11,3.15,6369700,3.15
2015-02-25,3.15,3.16,3.12,3.12,5039100,3.12
2015-02-24,3.13,3.15,3.10,3.14,7781700,3.14
2015-02-23,3.15,3.16,3.11,3.13,5625100,3.13
2015-02-20,3.12,3.13,3.09,3.12,6613600,3.12
2015-02-19,3.11,3.13,3.08,3.13,7430600,3.13
2015-02-18,3.09,3.12,3.08,3.11,13052500,3.11
2015-02-17,3.04,3.07,3.00,3.06,6262000,3.06
2015-02-16,3.09,3.10,3.06,3.07,6470300,3.07
2015-02-13,3.07,3.11,3.06,3.08,8468800,3.08
2015-02-12,2.98,3.07,2.98,3.05,11003800,3.05
2015-02-11,3.02,3.03,2.97,2.97,8447000,2.97
2015-02-10,2.99,3.01,2.96,3.01,9083000,3.01
2015-02-09,2.98,3.01,2.95,2.96,8844700,2.96
2015-02-06,2.99,3.01,2.97,2.98,6940400,2.98
2015-02-05,2.97,2.99,2.95,2.99,8765700,2.99
2015-02-04,3.02,3.03,2.98,3.01,5622200,3.01
2015-02-03,2.98,3.03,2.98,3.02,11494900,3.02
2015-02-02,2.98,3.00,2.93,2.96,5225500,2.96
2015-01-30,2.97,3.00,2.96,2.98,8047100,2.98
2015-01-29,2.97,3.00,2.92,2.97,11804600,2.97
2015-01-28,3.05,3.07,3.00,3.02,6425000,3.02
