Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,9.53,9.53,9.27,9.39,1677100,9.19
2015-03-17,9.65,9.70,9.46,9.53,835200,9.32
2015-03-16,9.66,9.77,9.61,9.62,989000,9.41
2015-03-13,9.80,9.80,9.53,9.57,1105600,9.37
2015-03-12,9.85,9.90,9.76,9.76,926500,9.56
2015-03-11,9.76,9.86,9.69,9.83,858900,9.62
2015-03-10,10.03,10.03,9.70,9.77,1532900,9.56
2015-03-09,9.98,10.04,9.80,10.03,2261000,9.82
2015-03-06,9.69,10.02,9.66,9.86,3023300,9.65
2015-03-05,9.60,9.71,9.25,9.68,948600,9.47
2015-03-04,9.65,9.66,9.47,9.55,1006400,9.35
2015-03-03,9.73,9.78,9.61,9.62,786300,9.42
2015-03-02,9.82,9.87,9.52,9.62,1185000,9.41
2015-02-27,9.75,9.83,9.69,9.78,671400,9.57
2015-02-26,9.63,9.85,9.63,9.76,1150000,9.55
2015-02-25,9.72,9.76,9.57,9.62,603200,9.41
2015-02-24,9.56,9.73,9.51,9.68,1498100,9.48
2015-02-23,9.83,9.83,9.51,9.55,1355900,9.34
2015-02-20,9.69,9.80,9.62,9.64,1525800,9.43
2015-02-19,9.87,9.87,9.47,9.65,2457100,9.44
2015-02-18,9.78,9.95,9.72,9.88,1446500,9.67
2015-02-17,9.76,9.91,9.54,9.69,1460900,9.48
2015-02-16,9.75,9.86,9.61,9.84,3985500,9.63
2015-02-13,8.80,9.59,8.64,9.56,5044900,9.35
2015-02-12,8.75,9.20,8.73,9.12,2081000,8.93
2015-02-11,8.94,8.95,8.70,8.73,943300,8.55
2015-02-10,9.07,9.09,8.82,8.88,1247400,8.69
2015-02-09,8.75,9.05,8.67,9.04,1469700,8.85
2015-02-06,8.84,8.94,8.74,8.74,952600,8.55
2015-02-05,8.62,8.85,8.52,8.84,919200,8.65
2015-02-04,8.95,9.00,8.60,8.70,1331300,8.52
2015-02-03,8.56,8.91,8.56,8.90,2134000,8.71
2015-02-02,8.50,8.60,8.40,8.54,1146800,8.36
2015-01-30,8.38,8.50,8.27,8.47,763100,8.29
2015-01-29,8.40,8.46,8.28,8.34,1109300,8.16
2015-01-28,8.54,8.60,8.37,8.45,1970800,8.27
2015-01-27,8.50,8.57,8.26,8.40,1208900,8.22
2015-01-26,8.25,8.48,8.12,8.46,1818200,8.28
2015-01-23,8.79,8.84,8.25,8.29,2545600,8.12
2015-01-22,8.70,8.95,8.67,8.75,1511500,8.57
2015-01-21,8.67,8.70,8.46,8.69,1148800,8.50
2015-01-20,8.38,8.60,8.31,8.59,1815900,8.41
2015-01-19,8.42,8.42,8.18,8.30,1399700,8.12
2015-01-16,8.15,8.40,8.07,8.38,1474400,8.20
2015-01-15,8.10,8.22,7.76,8.13,2863500,7.95
2015-01-14,8.39,8.39,7.93,7.99,5088800,7.82
2015-01-13,8.47,8.56,8.39,8.49,1426700,8.31
2015-01-12,8.77,8.77,8.42,8.51,2630700,8.33
2015-01-09,8.93,8.95,8.62,8.76,1833700,8.57
2015-01-08,8.72,9.00,8.70,8.99,1069400,8.79
2015-01-07,8.74,8.85,8.61,8.66,896700,8.47
2015-01-06,8.71,8.87,8.63,8.67,872100,8.48
2015-01-05,8.98,9.07,8.66,8.67,1190000,8.49
2015-01-02,9.17,9.28,9.00,9.01,1163800,8.82
2015-01-01,9.05,9.05,9.05,9.05,000,8.86
2014-12-31,9.13,9.20,9.05,9.05,868900,8.86
2014-12-30,9.14,9.20,9.06,9.09,1120100,8.90
2014-12-29,9.21,9.27,9.05,9.21,1518700,9.01
2014-12-26,9.16,9.16,9.16,9.16,000,8.96
2014-12-25,9.16,9.16,9.16,9.16,000,8.96
2014-12-24,9.19,9.24,9.15,9.16,346200,8.96
