Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,20.60,20.67,20.02,20.14,1681700,20.14
2015-03-17,20.72,20.74,20.34,20.60,1030800,20.60
2015-03-16,20.31,20.92,20.29,20.63,1260900,20.63
2015-03-13,20.07,20.31,19.80,20.29,1440500,20.29
2015-03-12,20.50,20.59,20.01,20.07,1399900,20.07
2015-03-11,20.82,20.90,20.36,20.56,1008700,20.56
2015-03-10,21.06,21.14,20.40,20.73,1251100,20.73
2015-03-09,20.65,21.10,20.30,21.02,1433900,21.02
2015-03-06,21.20,21.25,20.81,20.82,1246100,20.82
2015-03-05,21.17,21.30,20.90,21.17,1201300,21.17
2015-03-04,21.56,21.56,20.78,21.08,2368900,21.08
2015-03-03,22.00,22.12,21.56,21.66,1228000,21.66
2015-03-02,21.50,21.93,21.21,21.89,2254000,21.89
2015-02-27,22.70,22.70,21.02,21.44,4259100,21.44
2015-02-26,24.00,24.00,22.37,22.50,3726000,22.50
2015-02-25,24.85,24.89,24.11,24.38,964900,24.38
2015-02-24,24.77,24.88,24.11,24.80,992600,24.80
2015-02-23,24.85,24.93,24.32,24.55,1031900,24.55
2015-02-20,23.98,24.44,23.65,24.22,711700,24.22
2015-02-19,23.49,24.05,23.11,23.98,702600,23.98
2015-02-18,23.67,23.77,23.21,23.43,616100,23.43
2015-02-17,23.15,23.88,23.00,23.30,660900,23.30
2015-02-16,22.96,23.92,22.87,23.44,1172800,23.44
2015-02-13,21.22,22.93,21.22,22.93,1683300,22.93
2015-02-12,21.08,21.65,21.05,21.11,738600,21.11
2015-02-11,21.45,21.51,21.00,21.08,425500,21.08
2015-02-10,21.55,21.63,21.20,21.40,795400,21.40
2015-02-09,21.54,21.67,21.20,21.46,465000,21.46
2015-02-06,21.28,21.89,21.24,21.73,807800,21.73
2015-02-05,21.17,21.40,20.86,21.31,715400,21.31
2015-02-04,21.50,21.68,21.02,21.42,907000,21.42
2015-02-03,20.78,21.67,20.78,21.57,857100,21.57
2015-02-02,20.52,20.68,20.03,20.66,497300,20.66
2015-01-30,20.37,20.74,20.14,20.50,519800,20.50
2015-01-29,20.51,20.80,20.08,20.27,772600,20.27
2015-01-28,21.32,21.42,20.51,20.58,854300,20.58
2015-01-27,21.75,21.84,20.94,21.15,648900,21.15
2015-01-26,20.89,21.93,20.50,21.75,738600,21.75
2015-01-23,21.98,21.98,21.10,21.14,1135300,21.14
2015-01-22,21.55,22.03,21.48,21.81,1200900,21.81
2015-01-21,21.53,21.62,21.10,21.55,753200,21.55
2015-01-20,21.40,21.84,21.21,21.45,992800,21.45
2015-01-19,21.11,21.43,20.97,21.31,636100,21.31
2015-01-16,20.94,21.25,20.45,21.05,920500,21.05
2015-01-15,19.70,21.21,19.70,21.00,1971300,21.00
2015-01-14,19.03,19.61,18.94,19.27,848200,19.27
2015-01-13,18.65,19.33,18.60,19.27,626900,19.27
2015-01-12,18.67,18.90,18.53,18.76,815600,18.76
2015-01-09,18.78,19.16,18.27,18.59,708300,18.59
2015-01-08,18.58,18.90,18.14,18.88,689800,18.88
2015-01-07,18.35,18.68,18.15,18.25,760100,18.25
2015-01-06,18.37,18.67,18.00,18.25,592300,18.25
2015-01-05,19.08,19.78,18.30,18.39,1024900,18.39
2015-01-02,18.70,19.38,18.68,19.12,810600,19.12
2015-01-01,18.55,18.55,18.55,18.55,000,18.55
2014-12-31,18.56,18.66,18.22,18.55,396400,18.55
2014-12-30,18.98,18.98,18.40,18.59,711200,18.59
2014-12-29,19.21,19.32,18.65,19.07,967800,19.07
2014-12-26,19.25,19.25,19.25,19.25,000,19.25
2014-12-25,19.25,19.25,19.25,19.25,000,19.25
2014-12-24,19.39,19.69,19.20,19.25,136300,19.25
2014-12-23,19.00,19.53,18.89,19.48,542200,19.48
2014-12-22,19.08,19.47,18.82,19.00,882200,19.00
2014-12-19,18.70,19.31,18.47,19.02,969600,19.02
2014-12-18,18.70,18.97,18.40,18.50,1337800,18.50
2014-12-17,18.01,18.49,17.89,18.31,1006100,18.31
2014-12-16,17.96,18.20,17.33,18.20,2225800,18.20
2014-12-15,18.17,18.39,17.73,18.02,1301400,18.02
2014-12-12,18.55,18.61,18.06,18.11,1184400,18.11
2014-12-11,19.13,19.23,18.51,18.68,1329300,18.68
2014-12-10,19.70,19.75,18.89,19.18,1081600,19.18
2014-12-09,20.13,20.15,19.20,19.58,1182500,19.58
