Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,4.01,4.03,3.92,3.94,12557400,3.94
2015-03-17,4.07,4.08,3.96,3.99,15369100,3.99
2015-03-16,4.05,4.11,4.05,4.05,9381500,4.05
2015-03-13,4.09,4.09,4.01,4.04,14121400,4.04
2015-03-12,4.08,4.12,4.03,4.07,20318100,4.07
2015-03-11,3.95,4.07,3.94,4.06,21944600,4.06
2015-03-10,4.03,4.04,3.93,3.96,32654300,3.96
2015-03-09,4.06,4.08,3.98,4.03,22877000,4.03
2015-03-06,4.09,4.13,4.07,4.11,9913500,4.11
2015-03-05,4.00,4.09,3.96,4.08,15514300,4.08
2015-03-04,4.03,4.08,3.95,3.99,20643400,3.99
2015-03-03,4.09,4.12,4.01,4.02,14609500,4.02
2015-03-02,4.12,4.16,4.05,4.07,15442500,4.07
2015-02-27,4.11,4.14,4.04,4.11,12641200,4.11
2015-02-26,4.05,4.13,4.04,4.11,14270100,4.11
2015-02-25,4.17,4.18,4.04,4.05,20138900,4.05
2015-02-24,4.10,4.19,4.08,4.19,23384000,4.19
2015-02-23,4.10,4.12,4.05,4.08,18704200,4.08
2015-02-20,3.99,4.04,3.95,4.01,16277000,4.01
2015-02-19,3.94,4.02,3.89,3.99,18255500,3.99
2015-02-18,3.87,3.97,3.86,3.95,19128700,3.95
2015-02-17,3.81,3.92,3.78,3.83,28977700,3.83
2015-02-16,3.89,3.99,3.88,3.90,10482100,3.90
2015-02-13,3.82,3.97,3.81,3.89,24275100,3.89
2015-02-12,3.65,3.81,3.63,3.79,18696400,3.79
2015-02-11,3.71,3.72,3.64,3.66,11372200,3.66
2015-02-10,3.68,3.76,3.63,3.69,14536300,3.69
2015-02-09,3.72,3.74,3.62,3.66,16993900,3.66
2015-02-06,3.74,3.80,3.70,3.76,12144300,3.76
2015-02-05,3.73,3.76,3.64,3.75,25381000,3.75
2015-02-04,3.89,3.94,3.75,3.79,26990900,3.79
2015-02-03,3.80,3.90,3.79,3.88,21399200,3.88
2015-02-02,3.75,3.77,3.53,3.75,21668000,3.75
2015-01-30,3.90,3.93,3.72,3.75,28825300,3.75
2015-01-29,3.75,3.83,3.71,3.79,20736600,3.79
2015-01-28,3.92,3.95,3.72,3.73,26307400,3.73
2015-01-27,3.99,4.01,3.86,3.88,21834600,3.88
2015-01-26,3.89,4.02,3.83,3.98,27370600,3.98
2015-01-23,4.20,4.21,3.91,3.92,27410300,3.92
2015-01-22,4.09,4.21,4.02,4.15,26597000,4.15
2015-01-21,4.09,4.10,3.91,4.08,36951300,4.08
2015-01-20,4.00,4.22,3.98,4.11,24751800,4.11
2015-01-19,3.94,3.99,3.88,3.96,12753200,3.96
2015-01-16,3.93,3.98,3.83,3.91,20807800,3.91
2015-01-15,3.88,4.03,3.77,3.99,26656700,3.99
2015-01-14,3.83,3.91,3.79,3.85,24761100,3.85
2015-01-13,3.96,3.97,3.80,3.90,25933300,3.90
2015-01-12,4.06,4.09,3.92,3.99,22987500,3.99
2015-01-09,4.03,4.10,3.90,4.05,47881000,4.05
2015-01-08,4.11,4.14,3.98,4.07,25757600,4.07
