Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,72.95,72.95,72.15,72.85,690600,70.68
2015-03-17,73.20,73.33,72.50,72.82,428500,70.65
2015-03-16,73.63,73.75,73.00,73.42,625900,71.24
2015-03-13,72.55,73.79,72.44,73.23,1077700,71.05
2015-03-12,72.72,72.96,72.05,72.25,744500,70.10
2015-03-11,72.66,73.55,72.18,72.62,512700,70.46
2015-03-10,74.36,74.60,72.48,72.67,695900,70.51
2015-03-09,72.55,73.11,71.55,72.82,2697700,70.65
2015-03-06,75.45,75.45,72.81,72.92,998000,70.75
2015-03-05,74.84,75.20,74.22,74.98,1658200,72.75
2015-03-04,74.91,74.91,73.45,74.62,784000,72.40
2015-03-03,76.68,76.80,74.63,74.63,562100,72.41
2015-03-02,76.03,76.52,75.62,76.34,1131200,74.07
2015-02-27,76.36,76.76,75.75,76.14,737800,73.87
2015-02-26,75.83,76.73,74.74,76.36,1012100,74.09
2015-02-25,75.90,77.25,75.00,75.78,1015400,73.53
2015-02-24,74.72,75.69,74.00,75.57,1552400,73.32
2015-02-23,73.20,74.50,72.82,74.40,2392600,72.19
2015-02-20,72.82,73.19,72.56,73.00,606400,70.83
2015-02-19,72.03,73.06,72.03,72.78,1028300,70.61
2015-02-18,73.23,73.46,71.81,72.48,874900,70.32
2015-02-17,71.50,72.94,71.11,72.80,481500,70.63
2015-02-16,73.61,73.72,71.59,71.75,905800,69.62
2015-02-13,74.16,74.64,73.65,73.77,1088100,71.57
2015-02-12,73.90,74.25,73.17,73.95,511400,71.75
2015-02-11,74.50,75.19,73.90,73.97,1106200,71.77
2015-02-10,72.25,74.29,71.69,74.11,866600,71.90
2015-02-09,73.75,73.86,72.03,72.15,930200,70.00
2015-02-06,74.74,74.97,73.96,74.37,1104500,72.16
2015-02-05,74.26,74.99,74.11,74.94,1358500,72.71
2015-02-04,75.66,75.77,74.29,74.91,592300,72.68
2015-02-03,74.50,76.26,74.41,75.56,1226800,73.31
2015-02-02,75.73,75.73,72.68,73.92,805900,71.72
2015-01-30,76.84,77.12,75.08,75.56,492400,73.31
2015-01-29,76.32,76.59,75.61,76.36,513200,74.09
2015-01-28,76.91,76.98,76.03,76.46,1013100,74.18
2015-01-27,77.05,77.40,76.25,76.42,529900,74.15
2015-01-26,76.44,77.26,75.91,76.97,1096900,74.68
2015-01-23,78.72,78.78,76.92,77.00,954200,74.71
2015-01-22,74.89,78.61,74.78,78.16,760600,75.83
2015-01-21,74.53,74.73,73.58,74.71,592300,72.49
2015-01-20,73.50,74.32,73.40,74.01,576900,71.81
2015-01-19,72.95,73.44,71.74,73.36,520000,71.18
2015-01-16,72.37,73.22,71.63,73.10,636400,70.92
2015-01-15,72.54,73.16,70.45,72.68,1032100,70.52
2015-01-14,71.31,73.19,71.14,72.16,534200,70.01
2015-01-13,71.72,72.71,71.47,72.22,453800,70.07
2015-01-12,72.58,72.88,71.51,71.84,912900,69.70
2015-01-09,71.81,73.44,71.39,72.14,1519900,69.99
2015-01-08,71.40,72.39,70.74,72.04,2189800,69.90
2015-01-07,71.42,71.42,69.43,70.44,2201800,68.34
2015-01-06,71.99,72.04,70.50,71.16,896100,69.04
2015-01-05,72.95,74.08,71.23,71.43,800200,69.30
2015-01-02,73.10,73.57,71.91,73.00,5240000,70.83
2015-01-01,73.21,73.21,73.21,73.21,000,70.22
2014-12-31,73.12,74.00,72.67,73.21,281100,70.22
2014-12-30,74.02,74.44,73.50,74.11,405100,71.09
2014-12-29,74.75,75.17,73.02,73.86,711500,70.85
2014-12-26,74.95,74.95,74.95,74.95,000,71.89
2014-12-25,74.95,74.95,74.95,74.95,000,71.89
2014-12-24,73.77,75.10,73.68,74.95,1844800,71.89
2014-12-23,73.65,74.29,73.39,74.29,4264600,71.26
2014-12-22,73.76,74.56,73.06,73.67,2414600,70.67
2014-12-19,73.97,74.37,72.94,73.60,1651200,70.60
2014-12-18,72.22,73.57,71.56,73.57,740100,70.57
2014-12-17,70.09,70.85,69.86,70.80,3179800,67.91
2014-12-16,69.31,70.67,67.88,70.56,700200,67.68
2014-12-15,70.25,70.62,68.91,68.91,562600,66.10
2014-12-12,71.52,71.70,70.40,70.43,491900,67.56
2014-12-11,71.91,72.53,71.72,71.89,1144900,68.96
2014-12-10,72.10,72.85,71.45,71.88,491700,68.95
2014-12-09,73.44,73.50,71.33,71.45,462500,68.54
2014-12-08,73.97,74.32,73.14,73.23,385400,70.24
2014-12-05,73.68,74.48,73.42,74.20,363200,71.17
2014-12-04,74.01,74.25,72.20,72.69,482500,69.73
2014-12-03,73.00,74.45,72.73,74.05,504100,71.03
2014-12-02,73.50,73.58,72.36,72.81,459600,69.84
2014-12-01,73.35,74.41,73.23,73.24,636500,70.25
2014-11-28,72.60,73.85,72.60,73.67,360900,70.67
2014-11-27,72.72,72.98,71.95,72.76,437400,69.79
2014-11-26,72.71,73.04,72.26,72.48,3061800,69.52
2014-11-25,72.06,72.70,72.06,72.53,1821600,69.57
2014-11-24,72.65,73.12,72.07,72.30,479800,69.35
2014-11-21,70.88,72.55,70.66,72.28,625700,69.33
2014-11-20,71.77,71.91,69.96,70.54,432000,67.66
2014-11-19,71.02,72.06,70.91,71.65,536400,68.73
2014-11-18,69.84,71.14,69.84,70.86,2330000,67.97
2014-11-17,68.50,69.87,68.05,69.64,691400,66.80
2014-11-14,68.60,69.26,68.24,69.19,516000,66.37
2014-11-13,68.54,68.86,67.52,68.47,384900,65.68
2014-11-12,69.51,69.58,67.82,68.20,981400,65.42
2014-11-11,68.95,69.70,68.79,69.51,1372800,66.67
2014-11-10,66.82,68.70,66.66,68.70,633700,65.90
2014-11-07,67.93,67.95,66.51,67.12,977900,64.38
2014-11-06,68.25,68.65,67.10,67.65,772300,64.89
2014-11-05,67.86,68.61,67.61,68.31,303500,65.52
2014-11-04,67.63,68.73,67.32,67.55,940400,64.79
2014-11-03,69.43,70.03,67.50,67.50,1222300,64.75
2014-10-31,69.93,70.38,69.34,69.64,596800,66.80
2014-10-30,67.50,68.54,66.32,68.53,477200,65.73
2014-10-29,69.65,70.09,67.49,67.72,469000,64.96
2014-10-28,67.74,69.50,67.72,69.17,447200,66.35
2014-10-27,68.17,68.45,66.72,67.14,838700,64.40
2014-10-24,67.81,68.03,67.23,67.68,3260900,64.92
2014-10-23,67.56,68.44,66.92,67.89,427500,65.12
2014-10-22,65.87,67.79,65.50,67.61,843000,64.85
2014-10-21,64.70,65.86,64.42,65.77,587600,63.09
2014-10-20,64.50,65.12,64.16,64.70,674200,62.06
2014-10-17,62.97,64.86,62.37,64.79,973300,62.15
2014-10-16,66.02,66.03,60.83,62.82,1856600,60.26
2014-10-15,67.33,67.56,64.92,64.94,1027400,62.29
2014-10-14,67.06,67.81,66.48,67.40,634800,64.65
2014-10-13,66.35,67.27,66.11,67.19,850200,64.45
2014-10-10,65.75,67.11,65.61,66.77,760500,64.05
