Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,16.35,16.50,16.24,16.42,7992600,16.42
2015-03-17,16.28,16.60,16.21,16.38,9710000,16.38
2015-03-16,16.28,16.39,16.20,16.25,10073000,16.25
2015-03-13,16.70,16.70,16.20,16.27,9315600,16.27
2015-03-12,16.70,16.78,16.58,16.60,7800600,16.60
2015-03-11,16.73,16.82,16.39,16.64,13371300,16.64
2015-03-10,17.10,17.10,16.64,16.70,8992000,16.70
2015-03-09,16.99,17.15,16.88,17.08,6754100,17.08
2015-03-06,17.17,17.23,17.04,17.04,8095200,17.04
2015-03-05,17.15,17.28,17.03,17.15,6170300,17.15
2015-03-04,17.18,17.28,16.91,17.07,15402300,17.07
2015-03-03,17.23,17.34,17.06,17.08,5084100,17.08
2015-03-02,17.26,17.38,17.14,17.24,8856900,17.24
2015-02-27,17.18,17.27,17.07,17.27,8239000,17.27
2015-02-26,17.20,17.25,17.10,17.17,7598400,17.17
2015-02-25,17.10,17.17,17.00,17.10,6509500,17.10
2015-02-24,16.95,17.10,16.86,17.08,11234000,17.08
2015-02-23,17.02,17.12,16.77,16.92,6715800,16.92
2015-02-20,16.92,17.02,16.67,16.87,8184600,16.87
2015-02-19,16.97,17.00,16.68,16.95,11822700,16.95
2015-02-18,16.98,17.05,16.86,17.04,7570400,17.04
2015-02-17,16.72,16.98,16.60,16.86,8388500,16.86
2015-02-16,16.86,16.98,16.78,16.87,4205300,16.87
2015-02-13,16.64,16.98,16.58,16.93,8971400,16.93
2015-02-12,16.10,16.66,16.05,16.44,6850600,16.44
2015-02-11,16.31,16.35,16.00,16.07,10248200,16.07
2015-02-10,16.53,16.62,16.17,16.34,9851100,16.34
2015-02-09,16.44,16.50,16.23,16.47,9090500,16.47
2015-02-06,16.64,16.68,16.45,16.57,13975800,16.57
2015-02-05,16.23,16.63,15.97,16.56,12005000,16.56
2015-02-04,16.81,16.87,16.33,16.51,12649300,16.51
2015-02-03,16.22,16.91,16.14,16.74,15249700,16.74
2015-02-02,15.81,16.02,15.55,15.97,12358200,15.97
2015-01-30,15.75,15.97,15.57,15.69,9817800,15.69
2015-01-29,15.65,15.94,15.44,15.90,10219400,15.90
2015-01-28,16.36,16.36,15.82,15.90,9185600,15.90
2015-01-27,16.19,16.31,15.98,16.27,12762000,16.27
2015-01-26,15.98,16.29,15.69,16.24,12903700,16.24
2015-01-23,16.19,16.25,16.08,16.16,11494500,16.16
2015-01-22,15.90,16.24,15.79,16.00,11911900,16.00
2015-01-21,15.56,15.73,15.31,15.69,11369000,15.69
2015-01-20,15.31,15.62,15.29,15.47,26901600,15.47
2015-01-19,15.32,15.35,15.08,15.27,8858600,15.27
2015-01-16,14.82,15.27,14.76,15.20,11577500,15.20
2015-01-15,14.78,14.98,14.29,14.86,15533800,14.86
2015-01-14,14.41,14.64,14.31,14.37,9934600,14.37
