Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,2.23,2.24,2.19,2.20,37572200,2.20
2015-03-17,2.27,2.27,2.21,2.22,50747800,2.22
2015-03-16,2.28,2.32,2.25,2.26,46736900,2.26
2015-03-13,2.32,2.33,2.24,2.27,78255200,2.27
2015-03-12,2.49,2.49,2.20,2.32,153886600,2.32
2015-03-11,2.48,2.50,2.45,2.49,16897700,2.49
2015-03-10,2.46,2.48,2.43,2.47,29416200,2.47
2015-03-09,2.41,2.45,2.41,2.44,13084800,2.44
2015-03-06,2.42,2.44,2.40,2.43,13642500,2.43
2015-03-05,2.40,2.43,2.38,2.41,16797500,2.41
2015-03-04,2.40,2.42,2.36,2.40,13075400,2.40
2015-03-03,2.45,2.45,2.40,2.40,15505600,2.40
2015-03-02,2.45,2.49,2.42,2.44,15832700,2.44
2015-02-27,2.43,2.46,2.41,2.45,32733700,2.45
2015-02-26,2.40,2.45,2.39,2.45,25497600,2.45
2015-02-25,2.46,2.47,2.40,2.41,28880200,2.41
2015-02-24,2.46,2.48,2.43,2.47,20570300,2.47
2015-02-23,2.45,2.49,2.43,2.46,35564200,2.46
2015-02-20,2.37,2.43,2.36,2.43,33711600,2.43
2015-02-19,2.34,2.39,2.32,2.38,32232300,2.38
2015-02-18,2.31,2.35,2.30,2.34,24847500,2.34
2015-02-17,2.23,2.33,2.23,2.28,25110300,2.28
2015-02-16,2.29,2.35,2.29,2.30,15789600,2.30
2015-02-13,2.25,2.32,2.24,2.30,35701200,2.30
2015-02-12,2.19,2.24,2.18,2.23,24209500,2.23
2015-02-11,2.22,2.22,2.17,2.18,14350900,2.18
2015-02-10,2.18,2.23,2.17,2.21,22689200,2.21
2015-02-09,2.23,2.23,2.17,2.18,27054600,2.18
2015-02-06,2.25,2.29,2.21,2.26,22972400,2.26
2015-02-05,2.23,2.26,2.19,2.25,22147700,2.25
2015-02-04,2.30,2.33,2.24,2.27,31565500,2.27
2015-02-03,2.27,2.32,2.26,2.29,25416100,2.29
2015-02-02,2.25,2.26,2.08,2.24,59935900,2.24
2015-01-30,2.35,2.37,2.23,2.24,29420300,2.24
2015-01-29,2.24,2.34,2.24,2.33,43702400,2.33
2015-01-28,2.35,2.37,2.20,2.22,28703900,2.22
2015-01-27,2.37,2.38,2.30,2.33,16501300,2.33
2015-01-26,2.30,2.39,2.27,2.37,26390100,2.37
2015-01-23,2.46,2.47,2.33,2.36,32326300,2.36
2015-01-22,2.39,2.47,2.35,2.45,43235300,2.45
2015-01-21,2.35,2.39,2.32,2.39,26021100,2.39
2015-01-20,2.32,2.39,2.32,2.35,22893700,2.35
2015-01-19,2.28,2.33,2.26,2.31,25146800,2.31
2015-01-16,2.26,2.30,2.22,2.28,32583900,2.28
2015-01-15,2.27,2.30,2.17,2.28,34328200,2.28
2015-01-14,2.19,2.29,2.18,2.23,32662200,2.23
2015-01-13,2.11,2.24,2.11,2.24,69925800,2.24
2015-01-12,2.12,2.15,2.08,2.11,30791100,2.11
