Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,6.47,6.49,6.36,6.45,89366200,6.30
2015-03-17,6.49,6.51,6.39,6.46,81769000,6.31
2015-03-16,6.47,6.53,6.44,6.49,86719700,6.34
2015-03-13,6.49,6.49,6.41,6.43,124664300,6.28
2015-03-12,6.39,6.49,6.38,6.44,67964100,6.29
2015-03-11,6.35,6.43,6.32,6.41,56493700,6.26
2015-03-10,6.48,6.49,6.30,6.31,71036800,6.17
2015-03-09,6.41,6.50,6.41,6.48,41560800,6.33
2015-03-06,6.55,6.56,6.46,6.48,55761400,6.33
2015-03-05,6.51,6.57,6.48,6.53,52602700,6.38
2015-03-04,6.47,6.51,6.39,6.50,49947100,6.35
2015-03-03,6.54,6.56,6.42,6.43,126324400,6.28
2015-03-02,6.55,6.59,6.48,6.54,52469700,6.39
2015-02-27,6.53,6.54,6.44,6.53,66076900,6.38
2015-02-26,6.42,6.50,6.41,6.50,47998300,6.35
2015-02-25,6.44,6.45,6.37,6.42,57584600,6.27
2015-02-24,6.47,6.49,6.39,6.46,72652400,6.31
2015-02-23,6.48,6.50,6.40,6.45,61239400,6.30
2015-02-20,6.43,6.47,6.30,6.41,72384000,6.26
2015-02-19,6.39,6.49,6.34,6.45,64585400,6.30
2015-02-18,6.34,6.45,6.34,6.41,200948700,6.26
2015-02-17,6.23,6.33,6.15,6.31,48889500,6.16
2015-02-16,6.27,6.35,6.26,6.28,37329700,6.14
2015-02-13,6.16,6.34,6.15,6.29,86779500,6.14
2015-02-12,5.98,6.16,5.95,6.14,64367500,5.99
2015-02-11,6.07,6.10,5.96,5.98,88831000,5.84
2015-02-10,6.02,6.15,5.98,6.07,50382500,5.93
2015-02-09,6.07,6.07,5.94,6.01,66818500,5.87
2015-02-06,6.12,6.15,6.05,6.14,82443500,6.00
2015-02-05,6.09,6.11,6.01,6.11,81884200,5.97
2015-02-04,6.21,6.28,6.11,6.18,105926900,6.04
2015-02-03,6.03,6.23,6.01,6.21,135122400,6.06
2015-02-02,5.94,5.96,5.77,5.93,104160500,5.80
2015-01-30,6.09,6.09,5.90,5.96,86725500,5.82
2015-01-29,5.91,6.03,5.87,6.03,74745000,5.88
2015-01-28,6.20,6.20,5.90,5.96,199855600,5.82
2015-01-27,6.22,6.23,6.07,6.14,123246700,6.00
2015-01-26,6.16,6.25,6.07,6.25,64784400,6.10
2015-01-23,6.18,6.25,6.11,6.21,137218300,6.07
2015-01-22,6.09,6.17,6.00,6.12,142908700,5.98
2015-01-21,6.12,6.14,5.91,6.05,115914400,5.91
2015-01-20,6.07,6.16,6.05,6.09,202147600,5.95
2015-01-19,6.03,6.08,5.96,6.06,167292700,5.92
2015-01-16,6.02,6.04,5.93,6.01,123712200,5.87
2015-01-15,6.03,6.04,5.78,6.03,195376500,5.89
2015-01-14,5.96,6.07,5.88,5.95,213570400,5.81
2015-01-13,6.02,6.17,5.98,6.15,349168600,5.86
2015-01-12,6.00,6.05,5.90,6.05,262146100,5.77
2015-01-09,6.17,6.20,5.78,5.89,522602100,5.62
2015-01-08,6.78,6.88,6.72,6.86,24780200,6.40
2015-01-07,6.65,6.78,6.57,6.64,76132800,6.20
2015-01-06,6.74,6.77,6.59,6.59,85250400,6.16
2015-01-05,6.98,7.08,6.70,6.71,106747900,6.27
2015-01-02,7.09,7.12,6.94,7.03,78427100,6.57
2015-01-01,7.00,7.00,7.00,7.00,000,6.53
2014-12-31,7.01,7.04,6.98,7.00,19678000,6.53
2014-12-30,7.11,7.11,7.02,7.02,75952800,6.56
2014-12-29,7.16,7.17,6.94,7.14,57581500,6.67
2014-12-26,7.17,7.17,7.17,7.17,000,6.69
2014-12-25,7.17,7.17,7.17,7.17,000,6.69
2014-12-24,7.14,7.19,7.13,7.17,7255700,6.69
2014-12-23,7.09,7.18,7.02,7.18,79685800,6.70
2014-12-22,7.12,7.14,7.03,7.09,79428400,6.62
2014-12-19,7.14,7.16,6.85,7.09,236150500,6.62
2014-12-18,6.93,7.09,6.90,7.08,120789200,6.61
2014-12-17,6.73,6.88,6.67,6.83,140985000,6.38
2014-12-16,6.71,6.84,6.45,6.82,133593700,6.37
2014-12-15,6.82,6.91,6.64,6.64,82592500,6.20
2014-12-12,6.95,7.01,6.77,6.78,74718500,6.33
2014-12-11,6.97,7.08,6.95,7.01,54848600,6.55
2014-12-10,7.10,7.14,6.94,6.98,78127600,6.52
2014-12-09,7.23,7.24,7.02,7.03,87746000,6.57
2014-12-08,7.35,7.40,7.29,7.29,26277700,6.81
2014-12-05,7.25,7.38,7.22,7.38,63590800,6.89
2014-12-04,7.39,7.42,7.06,7.14,86254100,6.67
2014-12-03,7.27,7.39,7.27,7.38,79810900,6.89
2014-12-02,7.20,7.28,7.16,7.27,48982400,6.79
2014-12-01,7.19,7.22,7.14,7.18,46229800,6.70
2014-11-28,7.19,7.25,7.14,7.25,58885700,6.77
2014-11-27,7.13,7.20,7.13,7.18,39652100,6.71
