Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,3.90,3.93,3.80,3.89,4971300,3.89
2015-03-17,4.00,4.02,3.85,3.88,6214600,3.88
2015-03-16,4.01,4.06,3.98,4.00,4869300,4.00
2015-03-13,4.05,4.06,3.95,4.01,4629700,4.01
2015-03-12,4.07,4.09,4.01,4.02,4015000,4.02
2015-03-11,4.06,4.09,3.97,4.07,7634000,4.07
2015-03-10,4.09,4.10,3.98,4.07,4602000,4.07
2015-03-09,4.05,4.12,4.01,4.09,6099100,4.09
2015-03-06,4.10,4.10,4.05,4.07,10778200,4.07
2015-03-05,4.04,4.10,4.01,4.09,5543500,4.09
2015-03-04,4.05,4.08,3.95,4.03,6501600,4.03
2015-03-03,4.11,4.14,4.01,4.01,5098100,4.01
2015-03-02,4.07,4.15,4.06,4.09,9097500,4.09
2015-02-27,4.16,4.16,3.92,4.04,16372000,4.04
2015-02-26,4.12,4.19,4.06,4.18,7472500,4.18
2015-02-25,4.10,4.10,4.02,4.05,15217700,4.05
2015-02-24,4.00,4.09,3.99,4.09,8382900,4.09
2015-02-23,3.96,4.01,3.94,3.98,9472200,3.98
2015-02-20,3.90,3.93,3.84,3.88,8201200,3.88
2015-02-19,3.88,3.93,3.86,3.90,8683300,3.90
2015-02-18,3.86,3.90,3.83,3.85,6763900,3.85
2015-02-17,3.72,3.88,3.69,3.80,10296700,3.80
2015-02-16,3.82,3.92,3.74,3.77,11162200,3.77
2015-02-13,3.73,3.83,3.71,3.77,7911000,3.77
2015-02-12,3.61,3.74,3.59,3.69,7341700,3.69
2015-02-11,3.74,3.75,3.51,3.59,8275400,3.59
2015-02-10,3.68,3.72,3.62,3.72,8848700,3.72
2015-02-09,3.62,3.70,3.61,3.67,8263900,3.67
2015-02-06,3.57,3.69,3.54,3.65,9756600,3.65
2015-02-05,3.40,3.55,3.37,3.55,8939000,3.55
2015-02-04,3.49,3.57,3.43,3.49,9170200,3.49
2015-02-03,3.37,3.49,3.36,3.48,10130200,3.48
2015-02-02,3.30,3.33,3.13,3.33,8268600,3.33
2015-01-30,3.36,3.40,3.26,3.28,4655000,3.28
2015-01-29,3.26,3.36,3.16,3.32,9274900,3.32
2015-01-28,3.45,3.45,3.26,3.27,8986500,3.27
2015-01-27,3.48,3.51,3.36,3.40,11814700,3.40
2015-01-26,3.32,3.55,3.20,3.50,13253200,3.50
2015-01-23,3.52,3.52,3.30,3.31,12470100,3.31
2015-01-22,3.48,3.59,3.24,3.46,17447200,3.46
2015-01-21,3.45,3.47,3.35,3.45,8644300,3.45
2015-01-20,3.41,3.48,3.38,3.40,9946500,3.40
2015-01-19,3.31,3.43,3.29,3.38,9526000,3.38
2015-01-16,3.26,3.32,3.22,3.28,8004800,3.28
2015-01-15,3.20,3.30,3.16,3.28,8846400,3.28
2015-01-14,3.15,3.22,3.10,3.13,4813800,3.13
2015-01-13,3.13,3.20,3.10,3.20,7238800,3.20
2015-01-12,3.10,3.15,3.05,3.14,6702800,3.14
2015-01-09,3.06,3.11,2.97,3.03,7115500,3.03
2015-01-08,3.01,3.07,2.96,3.07,8710100,3.07
2015-01-07,2.95,2.99,2.90,2.92,5083300,2.92
2015-01-06,2.93,3.02,2.89,2.92,5418500,2.92
2015-01-05,3.07,3.09,2.91,2.94,6646000,2.94
2015-01-02,3.14,3.14,2.96,3.05,7872900,3.05
2015-01-01,2.86,2.86,2.86,2.86,000,2.86
2014-12-31,2.92,2.95,2.84,2.86,5484000,2.86
2014-12-30,3.07,3.08,2.93,2.95,7387800,2.95
2014-12-29,3.13,3.17,3.03,3.08,4533000,3.08
2014-12-26,3.16,3.16,3.16,3.16,000,3.16
2014-12-25,3.16,3.16,3.16,3.16,000,3.16
2014-12-24,3.15,3.18,3.08,3.16,1939500,3.16
2014-12-23,3.14,3.15,3.04,3.14,4726100,3.14
2014-12-22,3.17,3.21,3.08,3.13,6162000,3.13
2014-12-19,3.20,3.24,3.05,3.14,14438700,3.14
2014-12-18,3.10,3.23,3.08,3.17,10237500,3.17
2014-12-17,3.00,3.04,2.93,3.02,5644800,3.02
2014-12-16,2.93,3.04,2.76,3.03,10378600,3.03
2014-12-15,3.00,3.08,2.91,2.91,9988200,2.91
2014-12-12,3.04,3.09,2.99,2.99,8342300,2.99
2014-12-11,3.11,3.16,2.92,3.10,9325800,3.10
2014-12-10,3.24,3.26,3.13,3.13,7127300,3.13
2014-12-09,3.24,3.26,3.15,3.20,10016700,3.20
2014-12-08,3.32,3.40,3.28,3.29,5164000,3.29
2014-12-05,3.22,3.33,3.18,3.32,6309000,3.32
2014-12-04,3.27,3.35,3.14,3.15,10275800,3.15
2014-12-03,3.21,3.27,3.20,3.26,7296300,3.26
2014-12-02,3.15,3.22,3.13,3.20,4377500,3.20
2014-12-01,3.16,3.17,3.03,3.11,13234100,3.11
2014-11-28,3.27,3.31,3.13,3.15,8529500,3.15
2014-11-27,3.28,3.30,3.23,3.24,5289000,3.24
2014-11-26,3.29,3.31,3.21,3.24,5564700,3.24
2014-11-25,3.20,3.33,3.18,3.27,10137100,3.27
2014-11-24,3.19,3.25,3.12,3.21,11484500,3.21
2014-11-21,2.95,3.16,2.95,3.11,10945300,3.11
2014-11-20,3.01,3.03,2.86,2.94,6182200,2.94
2014-11-19,2.99,3.06,2.94,3.02,6169200,3.02
2014-11-18,2.96,3.03,2.91,2.96,13720000,2.96
2014-11-17,2.82,2.96,2.76,2.94,8416700,2.94
2014-11-14,3.16,3.17,2.66,2.75,21490200,2.75
2014-11-13,3.16,3.17,3.07,3.13,10173000,3.13
2014-11-12,3.29,3.31,3.10,3.11,15309400,3.11
2014-11-11,3.42,3.44,3.31,3.31,6911800,3.31
2014-11-10,3.34,3.42,3.28,3.40,4570200,3.40
2014-11-07,3.48,3.51,3.33,3.35,5347000,3.35
2014-11-06,3.45,3.58,3.38,3.45,5245400,3.45
2014-11-05,3.44,3.51,3.37,3.45,5639900,3.45
2014-11-04,3.56,3.62,3.37,3.38,9292400,3.38
2014-11-03,3.50,3.63,3.50,3.55,4671000,3.55
2014-10-31,3.53,3.57,3.45,3.49,9044200,3.49
2014-10-30,3.52,3.56,3.31,3.44,9188200,3.44
2014-10-29,3.69,3.69,3.48,3.50,6600900,3.50
2014-10-28,3.58,3.69,3.57,3.66,4806000,3.66
2014-10-27,3.71,3.71,3.50,3.56,9424000,3.56
2014-10-24,3.64,3.68,3.60,3.65,10312900,3.65
2014-10-23,3.61,3.70,3.48,3.64,9765300,3.64
2014-10-22,3.68,3.73,3.57,3.64,9227400,3.64
2014-10-21,3.44,3.68,3.40,3.64,6846400,3.64
2014-10-20,3.52,3.55,3.43,3.45,8433200,3.45
2014-10-17,3.31,3.48,3.30,3.48,9447600,3.48
2014-10-16,3.40,3.44,3.09,3.29,13781200,3.29
2014-10-15,3.55,3.63,3.35,3.37,9868100,3.37
2014-10-14,3.60,3.65,3.49,3.54,12053900,3.54
2014-10-13,3.57,3.74,3.55,3.63,9915000,3.63
2014-10-10,3.65,3.70,3.57,3.61,12958400,3.61
2014-10-09,4.00,4.01,3.68,3.72,9713600,3.72
2014-10-08,3.96,3.99,3.87,3.89,7915800,3.89
2014-10-07,4.13,4.14,3.98,3.99,7752800,3.99
2014-10-06,4.11,4.19,4.10,4.15,4814300,4.15
2014-10-03,4.09,4.12,4.00,4.07,5923600,4.07
2014-10-02,4.20,4.24,3.98,3.98,10645400,3.98
2014-10-01,4.25,4.30,4.18,4.22,4889900,4.22
2014-09-30,4.22,4.27,4.18,4.26,4760600,4.26
2014-09-29,4.23,4.29,4.15,4.20,4113400,4.20
2014-09-26,4.18,4.26,4.11,4.22,6180200,4.22
2014-09-25,4.37,4.39,4.18,4.20,6767200,4.20
2014-09-24,4.29,4.36,4.18,4.34,5733800,4.34
2014-09-23,4.36,4.36,4.23,4.28,7764700,4.28
2014-09-22,4.40,4.45,4.33,4.37,3440400,4.37
2014-09-19,4.51,4.53,4.40,4.43,7045000,4.43
2014-09-18,4.40,4.48,4.38,4.40,4909000,4.40
2014-09-17,4.29,4.43,4.27,4.40,4861800,4.40
2014-09-16,4.28,4.30,4.16,4.25,4668500,4.25
2014-09-15,4.31,4.38,4.26,4.28,4700600,4.28
2014-09-12,4.37,4.39,4.28,4.30,3073100,4.30
2014-09-11,4.45,4.49,4.30,4.35,5462600,4.35
2014-09-10,4.40,4.45,4.28,4.43,4901900,4.43
2014-09-09,4.53,4.58,4.40,4.43,3767700,4.43
2014-09-08,4.51,4.60,4.51,4.55,4171500,4.55
2014-09-05,4.42,4.57,4.41,4.50,6771600,4.50
2014-09-04,4.33,4.47,4.30,4.42,7521700,4.42
2014-09-03,4.30,4.36,4.27,4.33,3449300,4.33
2014-09-02,4.30,4.32,4.26,4.28,2217700,4.28
2014-09-01,4.25,4.31,4.25,4.28,2399600,4.28
2014-08-29,4.26,4.32,4.21,4.26,2725500,4.26
2014-08-28,4.39,4.40,4.23,4.26,5460800,4.26
2014-08-27,4.38,4.43,4.31,4.39,4362400,4.39
2014-08-26,4.22,4.40,4.18,4.40,6071900,4.40
2014-08-25,4.18,4.21,4.13,4.21,2524900,4.21
2014-08-22,4.17,4.18,4.06,4.11,3523400,4.11
2014-08-21,3.98,4.16,3.94,4.15,3839100,4.15
2014-08-20,3.97,3.98,3.91,3.97,1646900,3.97
2014-08-19,3.97,3.99,3.95,3.96,1544700,3.96
2014-08-18,3.98,3.99,3.90,3.94,2320300,3.94
2014-08-15,3.96,4.01,3.88,3.90,3029100,3.90
2014-08-14,3.99,4.03,3.93,3.95,2646400,3.95
2014-08-13,4.02,4.04,3.94,4.02,2882300,4.02
2014-08-12,4.03,4.06,3.93,3.99,9602800,3.99
2014-08-11,3.89,4.04,3.85,4.02,6203300,4.02
2014-08-08,3.73,3.87,3.64,3.78,8396700,3.78
2014-08-07,3.94,3.99,3.77,3.80,6331400,3.80
2014-08-06,4.00,4.05,3.88,3.96,7002000,3.96
2014-08-05,4.20,4.22,3.96,4.03,6439200,4.03
2014-08-04,4.18,4.26,4.12,4.16,6625200,4.16
2014-08-01,4.16,4.21,4.02,4.11,10263100,4.11
2014-07-31,4.45,4.46,4.16,4.24,13927600,4.24
2014-07-30,4.59,4.61,4.42,4.47,4695300,4.47
2014-07-29,4.57,4.64,4.55,4.60,3787500,4.60
2014-07-28,4.57,4.60,4.50,4.56,4560000,4.56
2014-07-25,4.58,4.66,4.52,4.55,5219800,4.55
2014-07-24,4.50,4.64,4.46,4.60,5383300,4.60
2014-07-23,4.47,4.55,4.45,4.50,3087400,4.50
2014-07-22,4.42,4.53,4.41,4.51,5320400,4.51
2014-07-21,4.46,4.49,4.35,4.40,1766600,4.40
2014-07-18,4.35,4.48,4.31,4.47,3394400,4.47
2014-07-17,4.47,4.54,4.41,4.44,3775600,4.44
2014-07-16,4.40,4.52,4.32,4.52,5413100,4.52
2014-07-15,4.33,4.40,4.26,4.34,4990200,4.34
2014-07-14,4.35,4.39,4.26,4.35,3417900,4.35
2014-07-11,4.33,4.43,4.25,4.29,5490800,4.29
2014-07-10,4.41,4.41,4.13,4.31,8686200,4.31
2014-07-09,4.32,4.41,4.28,4.40,7355800,4.40
2014-07-08,4.50,4.52,4.26,4.26,10517900,4.26
2014-07-07,4.64,4.65,4.46,4.49,6337900,4.49
2014-07-04,4.74,4.76,4.61,4.65,3742400,4.65
2014-07-03,4.77,4.81,4.73,4.74,3099000,4.74
2014-07-02,4.60,4.81,4.56,4.77,7030500,4.77
2014-07-01,4.65,4.68,4.51,4.55,9003200,4.55
2014-06-30,4.75,4.76,4.60,4.63,4247000,4.63
2014-06-27,4.72,4.74,4.60,4.70,5160200,4.70
2014-06-26,4.82,4.85,4.67,4.69,7341100,4.69
2014-06-25,4.80,4.86,4.72,4.78,5965300,4.78
2014-06-24,4.86,4.90,4.76,4.83,3591300,4.83
2014-06-23,4.98,5.02,4.81,4.86,8057800,4.86
2014-06-20,5.08,5.10,4.96,4.97,5966900,4.97
2014-06-19,5.16,5.18,5.07,5.09,2688600,5.09
2014-06-18,5.10,5.15,5.04,5.12,4164100,5.12
2014-06-17,5.06,5.13,5.02,5.04,3145000,5.04
2014-06-16,5.00,5.08,4.99,5.05,3212500,5.05
