Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,13.26,13.29,13.15,13.20,24161400,13.20
2015-03-17,13.27,13.36,13.15,13.27,22897300,13.27
2015-03-16,13.30,13.36,13.26,13.26,21418300,13.26
2015-03-13,13.38,13.38,13.23,13.24,16539600,13.24
2015-03-12,13.27,13.32,13.22,13.28,16827300,13.28
2015-03-11,13.27,13.40,13.21,13.29,22287300,13.29
2015-03-10,13.49,13.52,13.14,13.19,36093400,13.19
2015-03-09,13.57,13.67,13.45,13.53,19685800,13.53
2015-03-06,13.81,13.86,13.67,13.72,12339600,13.72
2015-03-05,13.84,13.90,13.78,13.80,12158800,13.80
2015-03-04,13.73,13.82,13.63,13.81,17323500,13.81
2015-03-03,13.98,14.00,13.67,13.70,26515300,13.70
2015-03-02,13.95,13.99,13.89,13.93,22355900,13.93
2015-02-27,13.85,13.92,13.70,13.90,26988200,13.90
2015-02-26,13.77,13.94,13.65,13.92,32078100,13.92
2015-02-25,13.39,13.93,13.31,13.80,31350600,13.80
2015-02-24,13.45,13.60,13.35,13.57,27262000,13.57
2015-02-23,13.45,13.48,13.33,13.43,15995500,13.43
2015-02-20,13.29,13.36,13.18,13.36,31717000,13.36
2015-02-19,13.10,13.33,13.05,13.27,22867900,13.27
2015-02-18,13.19,13.24,13.11,13.15,26413700,13.15
2015-02-17,12.97,13.14,12.85,13.14,18610000,13.14
2015-02-16,13.18,13.23,13.12,13.15,10602200,13.15
2015-02-13,13.15,13.31,13.12,13.18,19029500,13.18
2015-02-12,12.92,13.23,12.91,13.09,15819200,13.09
2015-02-11,13.10,13.16,12.91,12.96,31636700,12.96
2015-02-10,13.01,13.24,12.91,13.15,18893000,13.15
2015-02-09,13.02,13.04,12.84,13.00,20169400,13.00
2015-02-06,13.16,13.23,13.10,13.18,13087300,13.18
2015-02-05,13.05,13.13,13.01,13.12,15816000,13.12
2015-02-04,13.25,13.32,13.10,13.20,37597500,13.20
2015-02-03,13.06,13.26,13.01,13.24,31337000,13.24
2015-02-02,13.13,13.15,12.80,12.95,39741200,12.95
2015-01-30,13.40,13.42,13.20,13.31,27881900,13.31
2015-01-29,13.20,13.40,13.06,13.38,29328500,13.38
2015-01-28,13.38,13.41,13.14,13.25,32467300,13.25
2015-01-27,13.30,13.35,13.19,13.31,24798600,13.31
2015-01-26,13.07,13.38,13.06,13.37,29765900,13.37
2015-01-23,13.02,13.24,13.02,13.19,48648200,13.19
2015-01-22,12.55,12.80,12.52,12.76,38998000,12.76
2015-01-21,12.40,12.49,12.23,12.48,22343100,12.48
2015-01-20,12.26,12.44,12.24,12.42,31832500,12.42
2015-01-19,12.12,12.28,12.08,12.23,31178800,12.23
2015-01-16,11.79,11.99,11.73,11.94,21486700,11.94
2015-01-15,11.71,11.86,11.36,11.79,26470800,11.79
2015-01-14,11.55,11.81,11.48,11.60,27034200,11.60
2015-01-13,11.38,11.79,11.36,11.70,20098000,11.70
2015-01-12,11.38,11.55,11.38,11.47,23678300,11.47
2015-01-09,11.61,11.66,11.25,11.35,44417300,11.35
2015-01-08,11.53,11.69,11.43,11.65,19954400,11.65
2015-01-07,11.43,11.54,11.31,11.38,22077100,11.38
2015-01-06,11.55,11.55,11.34,11.37,29504200,11.37
2015-01-05,11.77,11.90,11.43,11.48,30651600,11.48
2015-01-02,12.00,12.04,11.77,11.89,23732900,11.89
2015-01-01,11.92,11.92,11.92,11.92,000,11.92
2014-12-31,11.85,11.92,11.82,11.92,9748200,11.92
2014-12-30,12.04,12.04,11.86,11.88,18013700,11.88
2014-12-29,12.00,12.10,11.84,12.07,26668700,12.07
2014-12-26,12.24,12.24,12.24,12.24,000,12.24
2014-12-25,12.24,12.24,12.24,12.24,000,12.24
2014-12-24,12.27,12.27,12.16,12.24,9602100,12.24
2014-12-23,12.10,12.24,12.04,12.22,20090600,12.22
2014-12-22,12.11,12.20,12.03,12.11,60191400,12.11
2014-12-19,12.31,12.39,11.97,12.06,57343000,12.06
2014-12-18,12.12,12.27,12.07,12.26,43229300,12.26
2014-12-17,11.93,12.01,11.79,11.97,43025700,11.97
2014-12-16,12.10,12.13,11.60,11.99,93098700,11.99
2014-12-15,12.42,12.60,12.07,12.07,42044600,12.07
2014-12-12,12.81,12.89,12.41,12.46,26051900,12.46
2014-12-11,12.91,13.04,12.81,12.92,30228200,12.92
2014-12-10,13.01,13.12,12.84,12.91,22792500,12.91
2014-12-09,13.11,13.21,12.92,12.92,30624700,12.92
2014-12-08,13.31,13.43,13.24,13.24,22862200,13.24
2014-12-05,13.08,13.39,13.04,13.37,27147400,13.37
2014-12-04,13.11,13.27,12.90,12.90,33401300,12.90
2014-12-03,12.97,13.11,12.94,13.11,39349700,13.11
2014-12-02,12.80,12.91,12.74,12.91,18004700,12.91
2014-12-01,12.83,12.92,12.72,12.78,23251900,12.78
2014-11-28,12.75,12.89,12.68,12.88,28344800,12.88
2014-11-27,12.62,12.74,12.56,12.74,20099800,12.74
2014-11-26,12.71,12.74,12.59,12.60,31880000,12.60
2014-11-25,12.62,12.80,12.56,12.70,45590000,12.70
2014-11-24,12.50,12.66,12.45,12.60,50244200,12.60
2014-11-21,12.14,12.48,12.11,12.47,55494800,12.47
2014-11-20,12.16,12.18,12.01,12.11,24704500,12.11
2014-11-19,12.19,12.29,12.12,12.17,208296400,12.17
2014-11-18,12.42,12.57,12.41,12.53,115866000,12.53
2014-11-17,12.23,12.47,12.20,12.42,24008300,12.42
2014-11-14,12.24,12.34,12.15,12.28,24057400,12.28
2014-11-13,12.25,12.35,12.14,12.20,20476600,12.20
2014-11-12,12.21,12.30,12.10,12.17,25427400,12.17
2014-11-11,12.09,12.30,12.08,12.18,208153400,12.18
2014-11-10,11.74,12.02,11.71,12.00,198585500,12.00
2014-11-07,11.98,11.98,11.69,11.81,39893100,11.81
2014-11-06,11.95,12.19,11.84,12.00,19649800,12.00
2014-11-05,11.90,12.06,11.77,11.99,22829200,11.99
2014-11-04,11.97,12.06,11.81,11.84,21140100,11.84
2014-11-03,11.95,12.09,11.91,11.96,24429700,11.96
2014-10-31,11.90,12.02,11.77,11.99,29264400,11.99
2014-10-30,11.75,11.77,11.36,11.69,21658300,11.69
2014-10-29,11.72,11.80,11.67,11.68,21180900,11.68
2014-10-28,11.40,11.70,11.39,11.65,30297500,11.65
2014-10-27,11.56,11.57,11.19,11.33,35012500,11.33
2014-10-24,11.47,11.52,11.39,11.44,21237600,11.44
2014-10-23,11.34,11.52,11.26,11.49,18813800,11.49
2014-10-22,11.28,11.37,11.15,11.37,28487200,11.37
2014-10-21,11.03,11.31,10.95,11.31,25313400,11.31
2014-10-20,11.08,11.14,10.94,11.09,22627700,11.09
2014-10-17,10.98,11.10,10.89,11.10,44943100,11.10
2014-10-16,11.32,11.41,10.76,10.97,57738800,10.97
2014-10-15,11.68,11.68,11.26,11.32,35963000,11.32
2014-10-14,11.65,11.76,11.55,11.69,21696400,11.69
2014-10-13,11.61,11.74,11.56,11.71,21728100,11.71
2014-10-10,11.80,11.85,11.60,11.70,18206200,11.70
2014-10-09,12.00,12.03,11.77,11.85,18614000,11.85
2014-10-08,11.90,12.09,11.90,11.92,39634300,11.92
2014-10-07,12.09,12.09,11.92,11.94,18587900,11.94
2014-10-06,12.09,12.19,12.07,12.09,13897700,12.09
2014-10-03,12.00,12.05,11.90,12.00,16132100,12.00
2014-10-02,12.21,12.25,11.88,11.88,29694400,11.88
2014-10-01,12.23,12.31,12.16,12.20,41566300,12.20
2014-09-30,12.19,12.30,12.11,12.26,44489700,12.26
2014-09-29,12.32,12.34,12.02,12.12,20781900,12.12
2014-09-26,12.24,12.38,12.15,12.30,19196200,12.30
2014-09-25,12.26,12.41,12.18,12.25,33617100,12.25
2014-09-24,12.24,12.34,12.15,12.31,20056100,12.31
2014-09-23,12.26,12.30,12.14,12.23,35632700,12.23
2014-09-22,12.23,12.37,12.22,12.29,48013400,12.29
2014-09-19,12.34,12.42,12.23,12.27,48492700,12.27
2014-09-18,12.13,12.19,12.08,12.15,51155100,12.15
2014-09-17,12.02,12.12,12.01,12.09,35419000,12.09
2014-09-16,11.95,11.97,11.90,11.94,41541700,11.94
2014-09-15,11.90,11.94,11.86,11.91,19083800,11.91
2014-09-12,11.95,11.96,11.85,11.92,27912500,11.92
2014-09-11,12.00,12.00,11.84,11.92,94930800,11.92
2014-09-10,12.23,12.24,12.07,12.16,19630800,12.16
2014-09-09,12.34,12.35,12.22,12.24,17978100,12.24
2014-09-08,12.40,12.43,12.30,12.37,9245900,12.37
2014-09-05,12.35,12.47,12.27,12.39,15449700,12.39
2014-09-04,12.10,12.38,12.07,12.35,35556000,12.35
2014-09-03,12.07,12.18,12.00,12.12,14210700,12.12
2014-09-02,12.10,12.12,11.95,12.02,18733800,12.02
2014-09-01,12.10,12.14,12.01,12.06,6379200,12.06
2014-08-29,12.12,12.12,11.91,12.07,15080300,12.07
2014-08-28,12.15,12.21,12.03,12.09,12452700,12.09
2014-08-27,12.10,12.20,12.10,12.14,10177200,12.14
2014-08-26,11.98,12.13,11.94,12.13,9908400,12.13
2014-08-25,11.95,12.06,11.90,12.03,15427700,12.03
2014-08-22,11.95,11.96,11.77,11.87,10711000,11.87
2014-08-21,11.80,11.95,11.76,11.91,10646100,11.91
2014-08-20,11.83,11.84,11.72,11.80,9545700,11.80
2014-08-19,11.88,11.89,11.78,11.82,8863600,11.82
2014-08-18,11.84,11.88,11.72,11.81,15527400,11.81
2014-08-15,11.78,11.93,11.67,11.72,19341800,11.72
2014-08-14,11.74,11.78,11.64,11.76,9544200,11.76
2014-08-13,11.75,11.84,11.69,11.76,10035500,11.76
2014-08-12,11.65,11.77,11.60,11.67,11279500,11.67
2014-08-11,11.69,11.72,11.59,11.65,17334000,11.65
2014-08-08,11.55,11.68,11.50,11.59,13806400,11.59
2014-08-07,11.78,11.78,11.57,11.63,26324100,11.63
2014-08-06,11.71,11.85,11.67,11.80,19342300,11.80
2014-08-05,11.80,11.89,11.72,11.78,25504100,11.78
2014-08-04,12.11,12.11,11.94,11.99,17576200,11.99
