Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,11.24,11.44,11.19,11.34,3356100,11.23
2015-03-17,11.47,11.49,11.19,11.24,1386100,11.14
2015-03-16,11.49,11.60,11.44,11.45,1114800,11.35
2015-03-13,11.55,11.69,11.40,11.47,1001800,11.36
2015-03-12,11.31,11.56,11.29,11.49,3063100,11.39
2015-03-11,11.12,11.35,11.07,11.27,1879700,11.17
2015-03-10,11.07,11.20,10.99,11.10,1222700,11.00
2015-03-09,10.96,11.20,10.90,11.10,3412000,11.01
2015-03-06,10.97,11.07,10.93,11.00,2126000,10.90
2015-03-05,10.99,11.11,10.93,10.97,2848300,10.87
2015-03-04,10.86,10.99,10.71,10.98,1868000,10.88
2015-03-03,11.10,11.11,10.81,10.85,2136900,10.75
2015-03-02,11.07,11.09,10.91,11.07,2030700,10.97
2015-02-27,11.15,11.24,10.94,11.04,2787100,10.94
2015-02-26,11.34,11.39,10.76,11.11,3109500,11.01
2015-02-25,11.42,11.47,11.35,11.42,1878000,11.32
2015-02-24,11.46,11.49,11.38,11.39,1633200,11.28
2015-02-23,11.38,11.45,11.31,11.41,1381200,11.31
2015-02-20,11.24,11.34,11.12,11.25,2757100,11.15
2015-02-19,11.04,11.31,10.94,11.29,1734000,11.19
2015-02-18,10.94,11.06,10.92,11.03,1959200,10.94
2015-02-17,10.86,10.91,10.79,10.88,948600,10.78
2015-02-16,11.00,11.06,10.93,10.94,706000,10.84
2015-02-13,10.96,11.20,10.90,11.02,2319000,10.92
2015-02-12,10.73,11.02,10.68,10.95,2661300,10.85
2015-02-11,10.78,10.80,10.68,10.71,1154400,10.61
2015-02-10,10.52,10.80,10.48,10.75,4520100,10.65
2015-02-09,10.61,10.67,10.48,10.52,1037500,10.43
2015-02-06,10.60,10.74,10.47,10.70,1692500,10.60
2015-02-05,10.65,10.76,10.56,10.62,1640100,10.53
2015-02-04,10.59,10.77,10.50,10.75,2704000,10.65
2015-02-03,10.52,10.69,10.42,10.59,3350900,10.50
2015-02-02,10.83,10.83,10.28,10.43,1967400,10.34
2015-01-30,10.71,10.90,10.63,10.80,6244000,10.70
2015-01-29,10.76,10.78,10.59,10.66,3520400,10.57
2015-01-28,10.76,10.90,10.67,10.81,2945700,10.71
2015-01-27,10.82,10.85,10.59,10.63,1378400,10.54
2015-01-26,10.79,10.95,10.66,10.85,1445300,10.75
2015-01-23,10.80,11.03,10.77,10.84,1796100,10.74
2015-01-22,10.67,10.79,10.59,10.74,1539700,10.64
