Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,38.56,38.74,38.21,38.58,248000,38.58
2015-03-17,38.63,38.72,38.10,38.39,322200,38.39
2015-03-16,38.72,38.95,38.22,38.44,350300,38.44
2015-03-13,38.99,39.18,38.30,38.72,470800,38.72
2015-03-12,37.82,39.14,37.78,38.80,641700,38.80
2015-03-11,37.95,38.18,37.40,37.78,253300,37.78
2015-03-10,38.20,38.26,37.42,37.96,435600,37.96
2015-03-09,37.70,38.28,37.58,38.07,367000,38.07
2015-03-06,37.80,37.81,37.34,37.74,253700,37.74
2015-03-05,37.60,37.73,37.24,37.64,429600,37.64
2015-03-04,37.32,37.88,36.88,37.35,416900,37.35
2015-03-03,37.28,37.65,37.21,37.38,366700,37.38
2015-03-02,37.21,37.38,36.62,37.03,321100,37.03
2015-02-27,38.00,38.07,36.38,37.04,501500,37.04
2015-02-26,37.60,37.90,37.21,37.37,288200,37.37
2015-02-25,37.80,37.88,37.11,37.41,253800,37.41
2015-02-24,37.17,37.95,36.85,37.79,346400,37.79
2015-02-23,37.99,38.00,36.85,37.18,379400,37.18
2015-02-20,37.90,38.18,37.31,37.65,201900,37.65
2015-02-19,38.22,38.22,37.50,37.76,342200,37.76
2015-02-18,38.22,38.40,37.85,38.08,303000,38.08
2015-02-17,37.90,38.50,37.38,37.94,428300,37.94
2015-02-16,38.01,38.34,37.81,38.29,382800,38.29
2015-02-13,37.18,38.14,37.01,37.94,555700,37.94
2015-02-12,36.25,37.26,36.10,36.79,352200,36.79
2015-02-11,36.88,36.92,36.15,36.23,469800,36.23
2015-02-10,37.59,37.67,36.93,37.03,638400,37.03
2015-02-09,37.04,37.48,36.73,37.38,450700,37.38
2015-02-06,37.00,37.40,36.67,37.07,468900,37.07
2015-02-05,35.65,36.87,35.00,36.87,310500,36.87
2015-02-04,37.29,37.50,35.51,36.04,499300,36.04
2015-02-03,36.00,36.78,35.65,36.69,472500,36.69
2015-02-02,34.67,36.05,34.32,35.58,550900,35.58
2015-01-30,33.94,34.66,33.81,34.47,308400,34.47
2015-01-29,34.00,34.19,33.50,33.85,430500,33.85
2015-01-28,34.61,34.73,34.15,34.32,256700,34.32
2015-01-27,34.22,34.75,33.81,34.51,473900,34.51
2015-01-26,33.88,34.49,33.36,34.39,364300,34.39
2015-01-23,34.65,34.65,34.03,34.04,488700,34.04
2015-01-22,33.54,34.62,33.53,34.24,524700,34.24
2015-01-21,33.21,33.47,32.78,33.43,373700,33.43
2015-01-20,33.52,33.88,33.01,33.06,508200,33.06
2015-01-19,34.85,34.90,33.20,33.41,817700,33.41
2015-01-16,34.64,35.44,33.79,35.10,2151400,35.10
2015-01-15,34.76,34.98,33.63,34.71,404000,34.71
2015-01-14,34.87,35.38,34.60,34.92,241200,34.26
2015-01-13,35.29,35.44,34.39,35.21,401900,34.54
2015-01-12,35.82,36.00,35.12,35.60,300800,34.92
2015-01-09,35.60,36.12,35.35,35.56,3109500,34.88
2015-01-08,36.32,36.38,35.35,35.65,669500,34.96
2015-01-07,35.72,36.39,35.40,35.72,165700,35.03
2015-01-06,35.69,35.96,35.10,35.44,153800,34.76
2015-01-05,36.29,37.07,35.37,35.54,266000,34.87
2015-01-02,36.51,36.87,36.14,36.63,141200,35.93
2015-01-01,36.29,36.29,36.29,36.29,000,35.60
2014-12-31,36.05,36.40,36.00,36.29,52100,35.60
2014-12-30,36.78,36.78,36.05,36.15,225800,35.46
2014-12-29,36.87,37.05,36.45,36.83,209200,36.12
2014-12-26,36.91,36.91,36.91,36.91,000,36.21
2014-12-25,36.91,36.91,36.91,36.91,000,36.21
2014-12-24,37.00,37.23,36.82,36.91,43500,36.21
2014-12-23,36.56,36.97,36.34,36.97,271600,36.26
2014-12-22,36.99,37.60,36.25,36.74,366500,36.04
2014-12-19,37.00,37.15,36.40,36.99,395500,36.28
2014-12-18,36.73,37.17,36.30,36.79,940700,36.09
2014-12-17,34.31,36.51,34.03,36.25,723800,35.56
2014-12-16,33.96,34.51,33.35,34.51,889400,33.86
2014-12-15,34.72,35.25,33.90,33.90,727700,33.25
2014-12-12,34.74,34.88,34.33,34.55,294300,33.89
2014-12-11,34.56,35.17,34.31,34.92,341500,34.26
2014-12-10,34.81,35.19,34.26,34.51,421100,33.85
2014-12-09,34.33,35.16,34.22,34.65,525600,33.99
2014-12-08,36.19,36.26,34.90,35.17,488100,34.50
2014-12-05,36.51,36.90,35.82,36.10,490900,35.41
2014-12-04,37.46,37.60,36.35,36.35,462200,35.66
2014-12-03,37.17,37.40,36.80,37.22,318700,36.51
2014-12-02,36.83,37.19,36.67,36.99,347600,36.28
2014-12-01,37.40,37.40,35.50,36.53,918600,35.84
2014-11-28,38.80,39.04,37.81,38.00,707100,37.27
2014-11-27,39.81,40.17,38.90,38.97,277600,38.23
2014-11-26,40.54,40.74,39.95,40.00,199100,39.24
2014-11-25,40.10,40.89,39.72,40.51,326800,39.74
2014-11-24,41.10,41.45,40.41,40.42,366300,39.64
2014-11-21,40.67,41.38,40.46,41.19,363800,40.40
2014-11-20,41.03,41.39,40.40,40.71,305500,39.93
2014-11-19,40.04,41.03,39.60,40.96,446700,40.18
2014-11-18,38.94,40.20,38.89,39.92,1055500,39.16
2014-11-17,38.54,39.10,38.05,39.04,218300,38.29
2014-11-14,38.49,38.72,38.19,38.70,176300,37.96
2014-11-13,38.58,38.93,38.09,38.37,216700,37.64
2014-11-12,38.26,38.70,38.10,38.65,202600,37.91
2014-11-11,39.42,39.57,38.16,38.28,396300,37.55
2014-11-10,38.15,39.58,37.85,39.52,387300,38.77
2014-11-07,39.34,39.73,38.15,38.33,250600,37.60
2014-11-06,38.67,39.69,38.61,39.36,407500,38.61
2014-11-05,37.95,38.83,37.87,38.66,406500,37.92
2014-11-04,39.65,39.74,37.37,37.46,539400,36.74
2014-11-03,39.40,39.99,39.28,39.73,195400,38.97
2014-10-31,39.42,39.62,38.81,39.25,246800,38.50
2014-10-30,39.04,39.28,38.06,38.65,142500,37.92
2014-10-29,39.38,39.48,38.84,38.98,283800,38.24
2014-10-28,38.62,39.32,38.51,39.11,166300,38.36
2014-10-27,39.41,39.56,38.10,38.44,190600,37.71
2014-10-24,39.14,39.39,38.76,38.83,217100,38.09
2014-10-23,38.92,39.33,38.21,39.15,199700,38.40
2014-10-22,39.22,39.45,38.85,39.22,532900,38.47
2014-10-21,38.12,39.28,37.62,39.11,471600,38.36
2014-10-20,39.10,39.29,38.20,38.25,354200,37.52
2014-10-17,37.94,38.96,37.80,38.92,504200,38.18
2014-10-16,38.24,38.58,36.84,37.69,1031500,36.98
2014-10-15,39.09,39.22,37.75,38.10,573700,37.37
2014-10-14,38.56,39.17,38.43,39.06,273100,38.32
2014-10-13,38.05,38.90,38.02,38.74,302600,38.01
2014-10-10,38.27,38.81,37.70,38.43,348200,37.70
2014-10-09,39.00,39.35,38.51,38.60,337100,37.86
2014-10-08,38.99,39.22,38.28,38.56,430800,37.82
2014-10-07,39.74,39.79,38.91,39.13,434200,38.39
2014-10-06,40.06,40.28,39.70,39.81,238700,39.05
2014-10-03,39.60,40.28,39.08,39.90,413400,39.14
2014-10-02,40.09,40.75,39.31,39.46,615400,38.70
2014-10-01,41.81,42.08,40.15,40.37,731800,39.59
2014-09-30,41.40,42.08,41.22,41.99,220800,41.19
2014-09-29,41.42,41.65,41.03,41.26,235800,40.47
2014-09-26,41.22,41.63,40.61,41.39,360300,40.60
2014-09-25,42.12,42.49,41.15,41.26,324600,40.48
2014-09-24,41.83,42.15,41.36,42.12,345100,41.32
2014-09-23,42.29,42.29,41.62,41.75,284200,40.95
2014-09-22,42.35,42.93,41.90,42.45,325600,41.64
2014-09-19,42.96,43.32,42.38,42.39,397800,41.58
2014-09-18,42.87,42.98,42.50,42.67,170500,41.86
2014-09-17,42.56,42.97,42.55,42.69,216200,41.87
2014-09-16,42.70,43.00,42.11,42.55,293500,41.74
2014-09-15,42.48,42.99,42.35,42.79,267200,41.97
2014-09-12,42.96,43.15,42.60,42.72,161800,41.91
2014-09-11,42.89,43.19,42.69,42.78,216200,41.96
2014-09-10,42.77,42.90,42.19,42.80,255200,41.98
2014-09-09,42.97,43.33,42.67,42.81,112800,42.00
2014-09-08,43.52,43.84,42.92,43.19,262300,42.37
2014-09-05,43.25,43.85,42.94,43.51,313900,42.68
2014-09-04,43.00,43.37,42.33,43.20,242600,42.37
2014-09-03,42.33,42.91,42.21,42.67,511400,41.86
2014-09-02,41.82,42.36,41.69,42.11,312000,41.31
